Metabolomic Feature,Compound Name
12oxoCA,12oxoCA
12oxoDCA,12oxoDCA
3oxoCA,3oxoCA
3oxoCDCA,3oxoCDCA
3oxoDCA,3oxoDCA
3oxoLCA,3oxoLCA
7_12oxoLCA,7_12oxoLCA
7oxoDCA,7oxoDCA
7oxoLCA,7oxoLCA
CA,CA
CA_gluc,CA_gluc
CA_S,CA_S
CDCA,CDCA
DCA,DCA
DCA_gluc,DCA_gluc
GCA,GCA
GCDCA,GCDCA
GDCA,GDCA
GHDCA,GHDCA
GLCA,GLCA
GUDCA,GUDCA
GUDCA_S,GUDCA_S
HCA,HCA
LCA,LCA
TCA,TCA
TCA_S,TCA_S
TCDCA,TCDCA
TCDCA_3S,TCDCA_3S
TDCA,TDCA
THCA,THCA
TLCA,TLCA
TLCA_3S,TLCA_3S
TUDCA,TUDCA
TUDCA_2,TUDCA_2
TUDCA_S_2,TUDCA_S_2
UCA,UCA
UDCA,UDCA
GCA_S,GCA_S
