Family,X1000IBD00001,X1000IBD00004,X1000IBD00006,X1000IBD00010,X1000IBD00014,X1000IBD00016,X1000IBD00017,X1000IBD00018,X1000IBD00025,X1000IBD00027,X1000IBD00028,X1000IBD00030,X1000IBD00031,X1000IBD00032,X1000IBD00033,X1000IBD00035,X1000IBD00036,X1000IBD00037,X1000IBD00039,X1000IBD00040,X1000IBD00041,X1000IBD00042,X1000IBD00043,X1000IBD00044,X1000IBD00046,X1000IBD00048,X1000IBD00049,X1000IBD00050,X1000IBD00053,X1000IBD00054,X1000IBD00058,X1000IBD00059,X1000IBD00060,X1000IBD00063,X1000IBD00064,X1000IBD00066,X1000IBD00067,X1000IBD00068,X1000IBD00069,X1000IBD00072,X1000IBD00074,X1000IBD00076,X1000IBD00077,X1000IBD00078,X1000IBD00082,X1000IBD00084,X1000IBD00086,X1000IBD00087,X1000IBD00088,X1000IBD00095,X1000IBD00097,X1000IBD00098,X1000IBD00099,X1000IBD00100,X1000IBD00103,X1000IBD00105,X1000IBD00106,X1000IBD00107,X1000IBD00108,X1000IBD00109,X1000IBD00111,X1000IBD00112,X1000IBD00114,X1000IBD00119,X1000IBD00121,X1000IBD00122,X1000IBD00123,X1000IBD00125,X1000IBD00126,X1000IBD00128,X1000IBD00132,X1000IBD00134,X1000IBD00135,X1000IBD00137,X1000IBD00141,X1000IBD00145,X1000IBD00146,X1000IBD00147,X1000IBD00149,X1000IBD00150,X1000IBD00154,X1000IBD00155,X1000IBD00156,X1000IBD00157,X1000IBD00161,X1000IBD00167,X1000IBD00171,X1000IBD00172,X1000IBD00173,X1000IBD00174,X1000IBD00177,X1000IBD00184,X1000IBD00185,X1000IBD00187,X1000IBD00188,X1000IBD00192,X1000IBD00193,X1000IBD00194,X1000IBD00195,X1000IBD00196,X1000IBD00197,X1000IBD00198,X1000IBD00200,X1000IBD00202,X1000IBD00204,X1000IBD00205,X1000IBD00206,X1000IBD00208,X1000IBD00215,X1000IBD00216,X1000IBD00219,X1000IBD00224,X1000IBD00225,X1000IBD00228,X1000IBD00229,X1000IBD00230,X1000IBD00232,X1000IBD00234,X1000IBD00235,X1000IBD00236,X1000IBD00237,X1000IBD00239,X1000IBD00248,X1000IBD00249,X1000IBD00250,X1000IBD00252,X1000IBD00253,X1000IBD00255,X1000IBD00256,X1000IBD00264,X1000IBD00265,X1000IBD00266,X1000IBD00269,X1000IBD00273,X1000IBD00275,X1000IBD00277,X1000IBD00278,X1000IBD00281,X1000IBD00286,X1000IBD00287,X1000IBD00293,X1000IBD00295,X1000IBD00296,X1000IBD00301,X1000IBD00304,X1000IBD00308,X1000IBD00309,X1000IBD00310,X1000IBD00311,X1000IBD00313,X1000IBD00322,X1000IBD00326,X1000IBD00327,X1000IBD00328,X1000IBD00329,X1000IBD00331,X1000IBD00332,X1000IBD00334,X1000IBD00339,X1000IBD00341,X1000IBD00342,X1000IBD00343,X1000IBD00345,X1000IBD00347,X1000IBD00349,X1000IBD00357,X1000IBD00358,X1000IBD00360,X1000IBD00361,X1000IBD00363,X1000IBD00364,X1000IBD00365,X1000IBD00367,X1000IBD00370,X1000IBD00371,X1000IBD00374,X1000IBD00375,X1000IBD00379,X1000IBD00384,X1000IBD00385,X1000IBD00386,X1000IBD00387,X1000IBD00389,X1000IBD00390,X1000IBD00393,X1000IBD00394,X1000IBD00395,X1000IBD00398,X1000IBD00401,X1000IBD00403,X1000IBD00407,X1000IBD00408,X1000IBD00409,X1000IBD00410,X1000IBD00412,X1000IBD00416,X1000IBD00419,X1000IBD00421,X1000IBD00423,X1000IBD00426,X1000IBD00427,X1000IBD00428,X1000IBD00431,X1000IBD00433,X1000IBD00435,X1000IBD00438,X1000IBD00442,X1000IBD00444,X1000IBD00448,X1000IBD00450,X1000IBD00453,X1000IBD00458,X1000IBD00467,X1000IBD00469,X1000IBD00470,X1000IBD00474,X1000IBD00475,X1000IBD00476,X1000IBD00477,X1000IBD00479,X1000IBD00480,X1000IBD00485,X1000IBD00486,X1000IBD00487,X1000IBD00490,X1000IBD00492,X1000IBD00494,X1000IBD00495,X1000IBD00497,X1000IBD00502,X1000IBD00505,X1000IBD00508,X1000IBD00509,X1000IBD00510,X1000IBD00511,X1000IBD00512,X1000IBD00514,X1000IBD00526,X1000IBD00529,X1000IBD00531,X1000IBD00534,X1000IBD00535,X1000IBD00536,X1000IBD00538,X1000IBD00539,X1000IBD00540,X1000IBD00541,X1000IBD00545,X1000IBD00546,X1000IBD00548,X1000IBD00550,X1000IBD00556,X1000IBD00559,X1000IBD00560,X1000IBD00563,X1000IBD00565,X1000IBD00566,X1000IBD00567,X1000IBD00569,X1000IBD00571,X1000IBD00577,X1000IBD00579,X1000IBD00580,X1000IBD00581,X1000IBD00583,X1000IBD00586,X1000IBD00588,X1000IBD00590,X1000IBD00593,X1000IBD00594,X1000IBD00596,X1000IBD00597,X1000IBD00598,X1000IBD00599,X1000IBD00600,X1000IBD00604,X1000IBD00605,X1000IBD00606,X1000IBD00607,X1000IBD00610,X1000IBD00611,X1000IBD00612,X1000IBD00613,X1000IBD00614,X1000IBD00616,X1000IBD00621,X1000IBD00624,X1000IBD00625,X1000IBD00626,X1000IBD00627,X1000IBD00628,X1000IBD00629,X1000IBD00630,X1000IBD00631,X1000IBD00633,X1000IBD00637,X1000IBD00639,X1000IBD00640,X1000IBD00641,X1000IBD00643,X1000IBD00644,X1000IBD00645,X1000IBD00646,X1000IBD00649,X1000IBD00652,X1000IBD00653,X1000IBD00654,X1000IBD00655,X1000IBD00662,X1000IBD00663,X1000IBD00664,X1000IBD00666,X1000IBD00667,X1000IBD00669,X1000IBD00670,X1000IBD00671,X1000IBD00672,X1000IBD00673,X1000IBD00675,X1000IBD00676,X1000IBD00679,X1000IBD00680,X1000IBD00681,X1000IBD00682,X1000IBD00683,X1000IBD00684,X1000IBD00686,X1000IBD00688,X1000IBD00689,X1000IBD00690,X1000IBD00691,X1000IBD00692,X1000IBD00693,X1000IBD00695,X1000IBD00698,X1000IBD00700,X1000IBD00701,X1000IBD00702,X1000IBD00703,X1000IBD00705,X1000IBD00708,X1000IBD00710,X1000IBD00711,X1000IBD00713,X1000IBD00715,X1000IBD00720,X1000IBD00722,X1000IBD00723,X1000IBD00726,X1000IBD00976,X1000IBD01011,X1000IBD01328,X1000IBD01329,X1000IBD01330,X1000IBD01332
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0
12aHSDH%GENOME002123_2620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12aHSDH%GENOME002242_845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12aHSDH%GENOME003090_1760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
12aHSDH%GENOME003940_2498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12aHSDH%GENOME011585_2041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12aHSDH%GENOME015584_936,3,1,4,0,2,0,0,3,1,2,0,0,3,9,8,1,6,0,3,2,0,0,0,2,0,4,0,0,2,1,7,5,0,3,2,4,1,1,2,0,0,0,2,1,3,1,1,0,1,2,2,5,5,0,0,3,0,2,0,2,0,2,4,0,2,3,4,3,1,0,4,2,3,0,2,0,4,4,9,0,9,1,0,4,1,2,1,3,1,1,7,3,2,0,0,3,1,0,0,3,10,0,0,0,2,0,2,1,0,0,1,0,1,6,1,0,2,2,0,0,3,7,1,6,0,0,1,0,1,1,0,0,4,1,1,0,0,0,0,4,1,0,4,7,1,0,0,2,2,1,0,2,4,0,0,2,0,1,3,1,3,1,0,0,0,0,3,0,2,0,0,0,2,2,1,0,3,1,2,1,2,2,3,3,2,1,0,3,0,0,0,3,0,1,3,1,1,0,1,1,2,0,4,1,0,1,9,0,0,6,1,5,0,2,2,4,2,3,2,5,4,0,4,0,3,4,1,2,2,0,0,2,0,1,10,0,4,1,4,1,0,0,3,2,5,2,2,1,3,4,0,0,6,1,6,3,0,2,1,1,3,0,1,0,1,0,0,0,1,0,1,2,3,3,3,1,0,4,1,2,0,3,4,3,2,4,0,2,4,1,0,0,3,0,0,2,2,1,7,2,0,1,3,0,2,2,3,2,2,1,1,0,4,0,0,11,5,3,1,0,1,1,4,5,0,0,2,3,0,2,0,2,3,0,4,3,5,0,2,0,1,1,0,2,1,0,1,7,1,0,0,2,1,0,0
12aHSDH%GENOME021931_1179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12aHSDH%GENOME033997_216,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12aHSDH%GENOME039827_736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
