Metabolomic Feature,Compound Name
Ala_DCA,Ala_DCA
Thr_DCA,Thr_DCA
Asn_DCA,Asn_DCA
Asp_DCA,Asp_DCA
Thr_CA,Thr_CA
Lys_DCA,Lys_DCA
Glu_CDCA,Glu_CDCA
Glu_DCA,Glu_DCA
IleLeu_CA,IleLeu_CA
Asn_CA,Asn_CA
Asp_CA,Asp_CA
Gln_CA,Gln_CA
Glu_CA,Glu_CA
Phe_CDCA,Phe_CDCA
Phe_DCA,Phe_DCA
Phe_CA,Phe_CA
Tyr_CA,Tyr_CA
Trp_DCA,Trp_DCA
Trp_CA,Trp_CA
LCA,LCA
CDCA,CDCA
DCA,DCA
UDCA,UDCA
7oxoDCA,7oxoDCA
isoCA_aMCA,isoCA_aMCA
CA,CA
GLCA,GLCA
GDCA,GDCA
GUDCA,GUDCA
TLCA,TLCA
TCDCA,TCDCA
3oxoLCA,3oxoLCA
TDCA,TDCA
isoLCA,isoLCA
TUDCA,TUDCA
3oxoDCA,3oxoDCA
isoDCA_isoCDCA,isoDCA_isoCDCA
isoUDCA,isoUDCA
