Metabolomic Feature,Compound Name
3oxoDCA,3oxoDCA
3oxoLCA,3oxoLCA
7oxoDCA,7oxoDCA
Ala_DCA,Ala_DCA
Asn_CA,Asn_CA
Asn_DCA,Asn_DCA
Asp_CA,Asp_CA
Asp_DCA,Asp_DCA
CA,CA
CDCA,CDCA
Citrulline_DCA,Citrulline_DCA
DCA,DCA
GCA,GCA
GCDCA,GCDCA
GDCA,GDCA
GLCA,GLCA
Gln_CA,Gln_CA
Glu_CA,Glu_CA
Glu_CDCA,Glu_CDCA
Glu_DCA,Glu_DCA
GUDCA,GUDCA
HCA,HCA
His_DCA,His_DCA
isoalloLCA,isoalloLCA
isoCA_aMCA,isoCA_aMCA
isoDCA,isoDCA
isoLCA,isoLCA
LCA,LCA
Lys_CDCA,Lys_CDCA
Met_CA,Met_CA
Met_CDCA,Met_CDCA
Phe_CA,Phe_CA
Phe_CDCA,Phe_CDCA
Phe_DCA,Phe_DCA
TCA,TCA
TCDCA,TCDCA
TDCA,TDCA
Thr_CA,Thr_CA
Thr_CDCA,Thr_CDCA
Thr_DCA,Thr_DCA
TLCA,TLCA
Trp_CA,Trp_CA
Trp_CDCA,Trp_CDCA
Trp_DCA,Trp_DCA
Tyr_CA,Tyr_CA
Tyr_UDCA,Tyr_UDCA
UDCA,UDCA
