Samples,STL10022,STL10037,STL10126,STL10177,STL10180,STL10191,STL10240,STL10263,STL10279,STL10323,STL10405,STL10458,STL10504,STL10562,STL10575,STL10590,STL10603,STL10705,STL10762,STL10793,STL10811,STL10836,STL10860,STL10877,STL10884,STL10896,STL10915,STL10956,STL11021,STL11040,STL11057,STL11073,STL11080,STL11089,STL11122,STL20014,STL20112,STL20117,STL20136,STL20184,STL20185,STL20276,STL20292,STL20316,STL20378,STL20461,STL20481,STL20497,STL20522,STL20539,STL20630,STL20631,STL20644,STL20648,STL20653,STL20654,STL20672,STL40001,STL40014,STL40017,STL40040,STL40066,STL40177,STL40180,STL40229,STL40244,STL40280,STL40437,STL40455,STL40487,STL40511,STL40521,STL40535,STL40539,STL40554,STL40555,STL40571,STL40593,STL40595,STL40626,STL40635,STL40673,STL40691,STL40701,STL40716,STL40720,STL50160,STL50315,STL50425,STL50520
10-Hydroxystearic Acid,35401684,11964914,36559720,5841751,14684210,2817644,3395152,4808583,13585601,2343976,536801,22956969,44473347,39218569,21064871,17255254,13306192,1634030,12745574,30401347,29227059,482414,25001239,15184363,24845262,74585976,58244595,9712224,2317561,11744138,6760343,7312804,16175177,28772551,24039585,20373752,11972667,60618534,30368999,40876675,314068,11589273,25620103,18366703,28868209,13026201,27241108,14583435,10613941,47972048,3512270,18079550,5070770,22101224,16726988,13856427,20599530,26410063,17686745,21176775,57386704,6862335,22123172,87668345,16219680,16136268,25235177,15165909,17273079,18485591,21441306,7599235,25454634,28653988,31853352,15593110,50265793,14796031,24962437,13747829,9904859,34716083,13318205,33169676,8051976,8832342,27979360,17655274,12119193,5192903
10Z-Heptadecenoic acid,533868,818071,448641,101097,145447,20769,811713,164409,343785,421922,68961,231576,1973973,582682,490969,129794,94893,255813,287573,605651,370120,67335,411934,114854,168830,532727,284799,146864,24793,237573,455503,229987,195561,166312,246188,122203,377551,1013666,263730,435500,43450,208478,378443,328271,237203,253245,357309,172734,164993,1768520,58603,216622,182368,217284,171865,594618,279849,290533,240971,338207,2529223,157772,386760,3308572,197077,174120,450170,168001,639518,178793,232656,129484,173479,101136,469422,299997,3235409,262732,301537,77493,84644,344121,118541,236376,434647,132622,172413,216215,109014,70657
11-HDoHE,90801,158637,326008,0,0,0,983195,138070,54238,490003,0,11179,266879,174290,10745,12365,43860,176262,9993,146666,28503,82413,54585,21657,350539,49201,2083,0,149133,0,362583,204699,138450,122121,413643,0,17422,0,53878,67178,0,8410,13508,0,0,0,0,27147,0,24840,0,0,16396,16841,8944,6273,0,0,216728,0,52787,0,0,25893,0,0,73062,74533,0,0,12360,0,0,37941,0,24042,0,0,24277,6675,0,58458,10701,130851,0,0,0,48110,14669,0
11-HETE,9624,8221,23072,698,349,0,44772,14191,9146,24769,1026,1963,20547,7385,382,2740,3918,22339,1204,12005,2183,4133,2015,4695,29762,1970,1107,701,11351,1105,29891,11834,14854,6007,26358,338,344,1112,1086,1748,92,176,520,933,440,154,793,534,233,1429,948,101,83,2037,1828,1130,205,430,32335,211,2091,684,251,952,994,546,3292,6871,1033,287,694,165,376,3836,528,2027,1663,109,1897,277,961,867,1474,8670,781,179,605,3845,5401,0
"12,13-diHOME",255379,64237,49636,665450,98580,192065,84274,137350,598374,35217,47544,184996,78403,60398,57867,27124,121641,628405,779636,124647,442717,44025,61443,424269,53864,167496,227715,32032,32088,129763,28590,65352,73887,291338,130612,282030,88200,161085,279192,101100,115047,253873,159200,354249,67677,247684,120838,124358,85701,1081290,119859,336054,58651,427221,169895,278994,52971,172177,74103,159199,183547,87829,124044,96531,567361,148765,243102,66979,446979,263296,225298,49723,129627,186288,119781,42576,379776,199172,66620,103842,405508,180753,148619,76505,258540,51259,247345,123905,77376,38389
12-HETE,20503,21082,43389,2175,2196,125,58763,28983,17339,58963,4117,2936,44700,15081,553,5026,9583,30584,2485,20377,4519,7403,12512,13599,60508,5019,1281,1723,53576,3786,73520,33166,36326,8362,59655,1889,87,1722,1188,2409,545,462,1258,2916,793,718,2551,780,257,3238,1896,654,703,4804,4630,2498,4807,278,78070,315,5341,1224,799,864,3085,827,5323,13216,1272,464,1480,479,1667,9247,166,4621,4310,2133,3578,929,2085,1418,3856,26385,1656,393,652,15259,11761,254
13-HODE,181065,85973,30211,33845,55345,27770,111045,32761,99284,31415,15116,75677,58489,60640,6626,7874,22806,57121,21358,85249,129454,9708,60251,84199,63702,142883,51648,22435,56846,36950,31835,54522,42045,41648,82344,82171,23388,365714,136087,114219,10919,40283,36885,142877,76305,121567,229692,138562,14629,2114307,13730,68676,37858,74301,26266,181211,143144,61984,63296,44979,89533,173469,313783,133203,30924,13529,37951,82616,182698,16540,14296,9272,66968,21585,180639,12929,52507,51107,40486,31023,64555,241460,32532,257864,22182,61767,62191,51670,77116,43497
14-pentadecenoic acid,16334,6972,20362,2953,3893,2033,14423,6953,40134,17291,7217,9073,76640,17348,16900,5886,5290,6248,18232,62482,9244,13435,16481,2306,8139,41166,10990,4265,5072,9451,9467,4571,4597,5379,7423,2936,82174,2596,4015,26853,5698,12395,7592,9070,5809,7131,1909,7258,10293,9984,5851,4636,8030,4038,7158,3135,3843,6215,6528,11521,3204,5738,8555,5692,6507,3647,20639,5347,55157,7984,6419,5290,2903,10791,15995,20642,6308,6431,6022,2325,2559,35073,3266,6540,9977,3230,4842,4484,3661,3518
15-HETE,17181,22700,51095,5953,9607,96,64512,43137,36886,48597,4252,4434,36033,11581,245,5885,8602,35267,2642,19578,2977,6055,4357,15140,97145,5191,1539,1038,344132,2800,85538,48572,35548,12168,81560,486,131,72,830,8625,1008,351,773,6511,620,800,3070,745,211,8512,4221,354,856,4330,8161,3442,340,173,71345,80,11269,1467,375,990,3208,935,5389,13803,5775,614,1014,505,2578,11066,311,4452,6009,116,5057,740,2636,768,4988,4677,1736,1250,428,11105,9070,204
15R-15-methyl PGA2 [iSTD],173214,323139,295459,269268,197237,570378,371743,358086,256132,588641,920038,272799,396249,183001,207246,335595,390063,481003,154053,241367,128481,782923,193340,292571,274274,170934,340192,219326,751073,306447,381434,399603,279327,301549,483864,183101,158619,188854,155459,294780,556701,192253,178860,162496,164619,195647,167471,188762,159350,195516,515827,235500,321282,170053,151617,216582,202769,176561,350600,184930,230902,218897,180424,144583,242870,152411,241114,310863,156492,202458,255475,169786,157344,211499,236899,222773,211216,160271,170353,200036,283510,130842,224501,503832,245108,196294,188205,247575,486312,220210
