Metabolomic Feature,Compound Name
LCA,LCA
CDCA,CDCA
DCA,DCA
UDCA,UDCA
7oxoDCA,7oxoDCA
isoCA_aMCA,isoCA_aMCA
CA,CA
GLCA,GLCA
GCDCA,GCDCA
GDCA,GDCA
GUDCA,GUDCA
GCA,GCA
TLCA,TLCA
TCDCA,TCDCA
TDCA,TDCA
TUDCA,TUDCA
TCA,TCA
3oxoLCA,3oxoLCA
isoLCA,isoLCA
3oxoDCA,3oxoDCA
isoUDCA,isoUDCA
isoDCA_isoCDCA,isoDCA_isoCDCA
Ala_CDCA,Ala_CDCA
Ala_DCA,Ala_DCA
Ala_CA,Ala_CA
Val_CDCA,Val_CDCA
Val_DCA,Val_DCA
Thr_CDCA,Thr_CDCA
Thr_DCA,Thr_DCA
Asn_CDCA,Asn_CDCA
Asn_DCA,Asn_DCA
Asp_DCA,Asp_DCA
Asp_CDCA,Asp_CDCA
Val_CA,Val_CA
Thr_CA,Thr_CA
Gln_CDCA,Gln_CDCA
Gln_UDCA,Gln_UDCA
Lys_DCA,Lys_DCA
Lys_CDCA,Lys_CDCA
Glu_DCA,Glu_DCA
Glu_CDCA,Glu_CDCA
IleLeu_CA,IleLeu_CA
Asn_CA,Asn_CA
Asp_CA,Asp_CA
Met_CDCA,Met_CDCA
His_CDCA,His_CDCA
His_DCA,His_DCA
Gln_CA,Gln_CA
Lys_CA,Lys_CA
Glu_CA,Glu_CA
Met_CA,Met_CA
Phe_DCA,Phe_DCA
Phe_CDCA,Phe_CDCA
His_CA,His_CA
Arg_DCA,Arg_DCA
Tyr_UDCA,Tyr_UDCA
Tyr_CDCA,Tyr_CDCA
Phe_CA,Phe_CA
Arg_CA,Arg_CA
Tyr_CA,Tyr_CA
Trp_DCA,Trp_DCA
Trp_CDCA,Trp_CDCA
Trp_CA,Trp_CA
isoalloLCA,isoalloLCA
