Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME051950_684,-1.0,-0.33042303,0.68175095,1.0,-0.7990382
12aHSDH%GENOME225739_454,1.0,1.0,-1.0,-1.0,-0.54346025
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.921127,0.2721249,-0.369576,-1.0,1.0
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.9930286,0.7978847,-0.6551456,-1.0,0.6989129
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,-1.0,-1.0,0.6744291,1.0,0.19080257
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,1.0,0.9501259,-1.0,-1.0,0.49207693
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,0.23814861,0.2793532,-0.25012106,0.10798179
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,1.0,1.0,-1.0,-1.0,-0.14248729
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,0.90304625,0.23286614,-0.93973714,0.6125133,-0.1087428
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,0.91628563,-0.3899411,-0.25111124,0.26645893,0.32782322
3aHSDH%HJA37032_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.27292082,-0.83864677,0.45032144,0.36839923,0.7892906
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.5809686,0.3020197,-0.0808191,-1.0,0.90480775
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,1.0,0.46803737,-0.77532184,-0.752178,0.28520966
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.88682115,-1.0,1.0,0.7440556,-1.0
3aHSDH%MFR0796835_1_SDR_family_NAD(P)-dependent_oxidoreductase__Oscillospiraceae_bacterium_,0.57903224,0.9573995,-0.568284,-0.167659,-1.0
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,1.0,-0.027090974,-0.7060017,-0.71445566,1.0
