Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME051950_684,-0.07877766,-0.017923316,0.036980588,0.05904748,-0.04334266
12aHSDH%GENOME225739_454,0.056422316,0.10173819,-0.073148586,-0.080142535,-0.029479207
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.04996519,0.014761018,-0.020047111,-0.09444482,0.08051079
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.053865388,0.04328009,-0.035537418,-0.08804584,0.037911512
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,-0.06842801,-0.07482225,0.036583424,0.1131425,0.010349807
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,0.08047604,0.05153819,-0.05987785,-0.0716141,0.026691996
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,-0.05874857,0.012918024,0.015153107,-0.013567451,0.005857315
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.08666223,0.12821914,-0.10406284,-0.11868973,-0.0077290153
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,0.048984427,0.012631484,-0.05097467,0.033224892,-0.005898595
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,0.049702577,-0.021151787,-0.013621164,0.014453676,0.017782293
3aHSDH%HJA37032_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.014804192,-0.04549117,0.02442703,0.019983279,0.04281392
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.031513795,0.016382618,-0.004383914,-0.08284034,0.049079977
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,0.07737281,0.025388004,-0.042056203,-0.0408008,0.015470781
