Family,Cluster
12aHSDH%GENOME051950_684,0
12aHSDH%GENOME225739_454,1
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,2
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,2
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,3
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,2
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,4
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,1
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,5
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,5
3aHSDH%HJA37032_1_SDR_family_oxidoreductase__Bacillota_bacterium_,3
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,2
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,2
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0
3aHSDH%MFR0796835_1_SDR_family_NAD(P)-dependent_oxidoreductase__Oscillospiraceae_bacterium_,5
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,2
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,3
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,1
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,2
3bHSDH%GENOME124823_1686,2
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,2
5AR%GENOME012336_2253,3
5AR%GENOME078645_81,0
5AR%GENOME107567_81,2
5AR%GENOME142018_414,0
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,2
5AR%MBO5195293_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,5
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,0
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,1
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,1
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,0
5BR%GENOME006024_4796,2
5BR%GENOME006521_2122,3
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,1
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,2
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,2
5BR%MDL2227349_1_NADH_flavin_oxidoreductase__Odoribacter_sp__OttesenSCG-928-L07_,5
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,3
5BR%WP_071425025_1_NADH_flavin_oxidoreductase__Tidjanibacter_massiliensis_,5
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,0
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,2
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,3
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,1
7aHSDH%GENOME011662_3430,6
7aHSDH%GENOME025100_397,2
7aHSDH%GENOME067790_2714,3
7aHSDH%GENOME070302_884,2
7aHSDH%GENOME103762_694,0
7aHSDH%GENOME122758_282,1
7aHSDH%GENOME215422_1346,4
7aHSDH%MBHC130__Clostridiales_bacterium_1_7_47FAA_,2
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,2
7aHSDH%WP_071121323_1_7alpha-hydroxysteroid_dehydrogenase__Romboutsia_timonensis_,0
BSH1%UPI0002624191,1
BSH1%UPI000289C842,3
BSH1%UPI0002CB0E7D,3
BSH1%UPI00073AFD00,2
BSH1%UPI00076E9CCB,6
BSH1%UPI000801FF16,3
BSH2%UPI0001971EB2,2
BSH2%UPI0001C1C05D,2
BSH2%UPI000508CF7A,2
BSH2%UPI00050FFCF5,0
BSH2%UPI0005D317A6,2
