Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
12aHSDH%GENOME051950_684,0.1800038,-0.32330742,-1.0,-0.9673922,-0.35382652,0.2491757,0.74153614,0.12103779,0.34128273,0.031050721,0.5480327,0.13711864,-0.7515511
12aHSDH%GENOME055489_1547,-0.32596624,-0.25651866,0.08590557,0.29600108,0.34151116,-0.25141627,-0.16310336,0.21016552,-0.2629062,0.23380613,-0.42317432,0.03379187,0.09756469
12aHSDH%GENOME077010_272,0.55565035,0.22383063,-0.0277618,-0.42010432,-0.67748314,0.6586281,-0.034591682,-0.18457818,0.8316053,-0.947366,0.23882763,0.40273413,0.32245034
12aHSDH%GENOME126416_2228,0.002368427,-0.086284906,0.61480707,0.31430298,-0.09329995,-0.044683646,0.1572531,0.10812237,-0.1777303,-0.5012847,0.2803565,-0.30162492,0.20314011
12aHSDH%GENOME187328_883,-0.3291621,-0.21971431,0.66796774,0.42106685,-0.12315495,-0.3609791,-0.34684685,0.53979945,0.089236006,-0.78024566,-0.47405344,1.0,0.37003317
12aHSDH%GENOME211747_1057,-0.33768424,0.27133083,0.5836079,0.07690941,-0.13721925,-0.36025584,-0.36768848,0.019022249,0.15581164,0.30274993,-0.3985689,-0.107267424,-0.35713905
12aHSDH%GENOME225739_454,-0.87142015,0.0028790352,0.5026572,0.60258836,0.9465743,-0.81966513,-0.72405696,0.2118146,-0.850131,1.0,-0.072567984,-0.019490097,-0.14294212
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.70245475,0.82600737,0.28099865,0.47244292,0.36859545,-0.44005364,-0.10733839,0.604034,-0.2057295,0.8923189,-0.36015904,-1.0,-0.43403265
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,0.0941103,0.24717319,0.06497074,-0.14789009,0.16113389,-0.05722974,-0.07058602,0.117857255,-0.60535234,0.2305946,0.85424674,0.058236092,-0.013732105
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.21242914,-0.87818855,-0.012782809,0.51620275,0.4378484,-0.44406515,-0.17852527,0.3623206,-0.80169183,0.5274254,-0.040200908,0.17659615,0.29461983
