Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GUDCA,LCA,TCDCA,TDCA,TUDCA,UDCA
12aHSDH%GENOME051950_684,0.016349927,-0.029366339,-0.12744567,-0.087869205,-0.03213842,0.022632878,0.06735447,0.010993984,0.030999053,0.0028203682,0.04977836,0.012454623,-0.06826414
12aHSDH%GENOME055489_1547,-0.029607842,-0.023299847,0.007802889,0.026886074,0.031019801,-0.022836393,-0.014814842,0.019089544,-0.023880033,0.021236846,-0.038437348,0.0030693496,0.008861898
12aHSDH%GENOME077010_272,0.05047028,0.02033076,-0.0025216322,-0.0381585,-0.061536476,0.059823852,-0.0031419971,-0.016765421,0.07553554,-0.086050205,0.021692954,0.036580745,0.029288488
12aHSDH%GENOME126416_2228,0.00021512661,-0.007837345,0.055843543,0.028548455,-0.008474528,-0.0040586605,0.014283458,0.009820864,-0.016143423,-0.045532197,0.025465062,-0.027396895,0.01845142
12aHSDH%GENOME187328_883,-0.029898124,-0.019956872,0.060672183,0.038245924,-0.011186288,-0.032788094,-0.03150445,0.049030527,0.008105396,-0.0708705,-0.04305875,0.098020725,0.033610485
12aHSDH%GENOME211747_1057,-0.0306722,0.024645252,0.053009693,0.0069857584,-0.012463762,-0.0327224,-0.033397514,0.0017278099,0.014152527,0.02749908,-0.036202412,-0.009743208,-0.0324393
12aHSDH%GENOME225739_454,-0.079151966,0.00026150566,0.045656856,0.054733705,0.08597829,-0.07445101,-0.06576682,0.019239333,-0.07721825,0.10429248,-0.006591423,-0.001770305,-0.012983576
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.06380467,0.07502708,0.025523389,0.042912465,0.033479895,-0.039970513,-0.009749654,0.054865018,-0.018686617,0.081050225,-0.032713607,-0.09295802,-0.039423622
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,0.008548133,0.02245099,0.005901357,-0.013433006,0.014635953,-0.0051982347,-0.0064113988,0.010705093,-0.054984763,0.02094514,0.07759209,0.0052896426,-0.0012473009
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.019295152,-0.07976675,-0.0011610754,0.04688721,0.03977021,-0.040334884,-0.01621563,0.032909945,-0.07281847,0.04790658,-0.0036514888,0.016040405,0.026760614
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.031300735,0.012816284,-0.082159415,-0.034761693,-0.006660115,0.018740296,0.04393826,-0.0017242259,0.0050139064,0.0803115,0.004402006,0.04383872,-0.04046334
