RENAME,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
LCA,0.7023962194130883,0.702971669085904,0.7187331181856189,0.7326437332356243,0.7162058371735792,0.7463699695129112,0.7047954922326038,0.7109187465061986,0.7312403406662062,0.7210807179732898,0.7187355843985024
CDCA,0.6382112675394712,0.6535769481907393,0.6638387425602578,0.6613807503863733,0.6245754590679125,0.6463791297321928,0.6412494069345209,0.6652256937104525,0.6572116762261776,0.6440174372994735,0.6495666511647571
DCA,0.628353462328011,0.6225050146328631,0.6188538451782015,0.6526116020049137,0.6315160867543229,0.658737205052683,0.6633537206931702,0.6410074831945207,0.6604212761359847,0.6426469275685021,0.6420006623543173
CA,0.6282806503285935,0.6447819632933572,0.6451765573547166,0.6316711058498571,0.6006614148076119,0.6268713858237386,0.6578716817692847,0.6247516171310195,0.6159120055243169,0.6446715709071437,0.632064995278964
3oxoDCA,0.6166847522278124,0.6324438525533524,0.625085143063835,0.6415794097060745,0.60097145299868,0.6365318940045191,0.6379493792189858,0.6499821493162719,0.6436169713026771,0.620150368522668,0.6304995372914877
3oxoLCA,0.5110556800405869,0.4992014167805822,0.5373337655077816,0.5355768824250623,0.5166704247053463,0.5176921414713662,0.49080102594455954,0.5079400310977701,0.5178154521155409,0.5455004533134157,0.5179587273402012
7oxoDCA,0.4978614411138827,0.470053129271833,0.4797817519036815,0.4988162178159219,0.5160761848391325,0.498732836332718,0.48002015248241947,0.5040575073868948,0.4850019025070816,0.48185219633873083,0.49122533199922974
TCDCA,0.4457245263696877,0.47819750372280706,0.45856175162182855,0.4699897123691146,0.45507382197231266,0.4573345171155174,0.4530491786336711,0.46761040413008453,0.4771476016666902,0.4470809434556105,0.46097699610573234
GDCA,0.4366946640548298,0.4633379839061994,0.42438356421783474,0.43822489042968477,0.438640623458617,0.48469891063853776,0.4791698962311569,0.46046425870338276,0.4563034052527986,0.45318305876163234,0.45351012556546744
GUDCA,0.41475711326258824,0.4207171277310372,0.4121065216063737,0.41144416728909183,0.38956063830286974,0.4035569836102538,0.416246236089385,0.39988702396219417,0.4179702363336575,0.3902781888132583,0.407652423700071
TDCA,0.3421200975211038,0.31914791170488127,0.3496925454605242,0.3305958370326527,0.3314378725743035,0.3263680435180879,0.3484805779863489,0.32880724549857426,0.34455929950159014,0.31333704439652943,0.3334546475194596
TLCA,0.1922835722036669,0.19487074695716308,0.16668898002132687,0.22456512446154356,0.18712566411589793,0.19100701343968582,0.18469703161919795,0.18771520643376224,0.19448437360541534,0.21867792199251213,0.19421156348501717
isoUDCA,0.1517660433020007,0.1429076415019002,0.15913414788821714,0.13105455262898297,0.1265178953104375,0.17337241693560132,0.18989839202919997,0.16780699652851178,0.18369175627240145,0.12593657370218483,0.1552086416099438
TUDCA,0.12374869055839757,0.12370054068781504,0.1524013867162728,0.1657882251253071,0.1640242957200637,0.156231063008216,0.16346411307938388,0.1711152449536587,0.13262705693898355,0.16574594719016147,0.15188465639782597
GLCA,0.10808823874819734,0.17307882016375656,0.1808697041014295,0.16646114892637534,0.1488429938415141,0.1461571705726781,0.10289040149945744,0.1621029984451115,0.17438826176618424,0.1492998304185046,0.15121795684832087
UDCA,-0.15897560563142096,-0.13300286080694487,-0.15458104915044837,-0.15624045810491505,-0.14678077011607643,-0.1630859604372478,-0.17661842284511714,-0.12351381314092176,-0.10431140987518614,-0.12891364496869084,-0.1446023995076969
