Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
12aHSDH%GENOME015584_936,-0.056667376,-1.0,0.7518785,0.9105259,-0.006146975,-0.31877536,-0.22087362,-0.5867306,-0.051046584,-1.0,0.36041877,-0.60364485,0.60992897,0.53390414,-0.0074975207,-0.12835932
12aHSDH%GENOME051950_684,0.24133344,-0.45585164,-1.0,-1.0,-0.46098974,0.34487262,0.44399604,1.0,1.0,0.29815552,-1.0,0.43539128,-0.043377973,0.13722126,0.8163116,-1.0
12aHSDH%GENOME055489_1547,-0.54869336,-0.40059513,0.048726466,0.42983964,0.43467134,-0.47377327,0.9118325,0.37635615,-0.3490898,0.26450226,0.31896964,-0.44328117,0.16277869,0.3084243,-0.75200623,0.14270832
12aHSDH%GENOME077010_272,0.860157,0.4346917,0.022051364,-0.43575862,-0.9684718,0.9525136,-0.025593616,-1.0,0.078214616,-0.14199278,0.09776136,1.0,-0.25555864,-1.0,0.36584008,0.51268405
12aHSDH%GENOME136792_1072,0.29973432,-0.04489131,0.050367348,-0.3574739,-0.20136824,0.39480293,-1.0,-0.2211426,0.51394147,-0.19502386,-0.5937183,0.083107136,-0.56448734,-0.60923195,0.6999961,0.26142102
12aHSDH%GENOME211747_1057,-0.54020524,0.35560012,0.82271063,0.046334364,-0.21608075,-0.5116767,0.5019748,0.33632708,-0.5526562,-0.046283238,0.28562656,0.08323971,0.13419315,0.4498752,-0.5567879,-0.5395405
12aHSDH%GENOME225739_454,-1.0,-0.20061979,0.6034239,0.7567059,1.0,-1.0,-0.060938824,0.7351681,-1.0,0.22154185,-0.10012116,-1.0,1.0,1.0,-0.17117558,-0.44363376
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.22808906,-0.29077417,0.2133956,0.18851869,0.10986045,0.38887855,0.15907861,0.3210934,0.4228651,-0.22552311,-0.47623152,0.30163327,-1.0,-0.041142005,-0.38952595,0.09370826
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.3590787,0.60755056,-0.068200864,0.42932537,0.21111116,-0.37931013,-0.2845054,-0.2950305,-0.41602004,0.032630187,0.1163705,-1.0,0.64410675,0.87963974,-0.31499875,0.8822672
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.4435925,0.22564878,0.21187258,-0.13399339,-0.2518904,0.72049373,-0.45261943,-1.0,0.658245,-0.49517944,-0.6391435,0.52903986,-0.27915356,-0.6630616,0.57013375,-0.036792457
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,0.91200733,0.2631756,0.4887563,0.4634132,-0.7199098,0.1424014,-0.3871099,-0.34197515,0.7155645,1.0,-0.48423725,0.3472898,1.0,-0.49216488,-0.724702
