Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,HCA,LCA,TCA,TCDCA,TDCA,UDCA
12aHSDH%GENOME015584_936,-0.0034803662,-0.06380889,0.046178464,0.055922188,-0.00037753157,-0.019578371,-0.013565497,-0.0360355,-0.0031351515,-0.079389855,0.022136005,-0.03707433,0.037460286,0.032791033,-0.00046047865,-0.007883503
12aHSDH%GENOME051950_684,0.014822086,-0.027997248,-0.12526445,-0.09155989,-0.028312817,0.0211812,0.027269108,0.07540081,0.062239356,0.018311953,-0.09938704,0.026740626,-0.0026641649,0.008427781,0.050135784,-0.06992433
12aHSDH%GENOME055489_1547,-0.033699352,-0.024603534,0.0029926556,0.026399657,0.026696408,-0.02909795,0.056002434,0.023114838,-0.021440208,0.016245056,0.019590303,-0.027225202,0.009997454,0.018942636,-0.04618631,0.008764782
12aHSDH%GENOME077010_272,0.052828655,0.026697658,0.0013543387,-0.026763186,-0.059481077,0.05850096,-0.0015718949,-0.07740323,0.0048037427,-0.008720836,0.0060042543,0.07716084,-0.015695762,-0.08778546,0.022468967,0.03148775
12aHSDH%GENOME136792_1072,0.01840892,-0.00275711,0.0030934345,-0.021955138,-0.012367525,0.024247792,-0.062503524,-0.013582016,0.031564977,-0.01197787,-0.03646467,0.005104229,-0.034669377,-0.037417475,0.04299198,0.016055815
12aHSDH%GENOME211747_1057,-0.03317803,0.021840055,0.050528795,0.0028457388,-0.013271131,-0.031425882,0.030830016,0.020656353,-0.033942737,-0.0028425988,0.017542457,0.0051123714,0.008241802,0.027630191,-0.034196496,-0.033137206
12aHSDH%GENOME225739_454,-0.082549915,-0.012321557,0.03706076,0.046474952,0.08815636,-0.0778583,-0.0037427077,0.045152154,-0.07349764,0.013606537,-0.006149187,-0.08280346,0.10040314,0.10204485,-0.010513169,-0.027246857
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.014008651,-0.01785861,0.013106215,0.011578338,0.0067473496,0.023883931,0.009770203,0.01972074,0.025971299,-0.013851056,-0.029248929,0.018525548,-0.06936311,-0.0025268374,-0.023923693,0.005755323
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.0220537,0.03731421,-0.0041887234,0.026368072,0.01296591,-0.023296263,-0.017473597,-0.018120022,-0.025550893,0.002004063,0.00714718,-0.07117936,0.039559398,0.054025237,-0.019346422,0.054186605
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.027244322,0.013858774,0.013012675,-0.008229533,-0.0154704675,0.044250894,-0.027798735,-0.09248059,0.040427737,-0.030412663,-0.03925457,0.032492284,-0.017144902,-0.04072356,0.035016164,-0.0022596992
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.06872575,0.05601317,0.016163576,0.03001817,0.028461661,-0.044215027,0.008745932,-0.023775306,-0.021003244,0.04394815,0.06543156,-0.02974062,0.021329656,0.07312768,-0.030227516,-0.044509355
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.04961112,0.045436364,0.04021078,0.038237747,0.02466098,-0.034499478,0.041917466,0.011697197,-0.014820696,-0.04422374,0.049310323,-0.021476768,0.025118895,-0.03893832,0.016090788,-0.0029151784
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,0.005382107,0.021730153,0.007067719,-0.018169705,0.0102371685,-0.0022827832,-0.03245171,-0.022320885,-0.001705449,0.009195283,0.0599988,-0.048434705,-0.013574795,0.011057152,0.071631394,0.002217259
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.0261912,-0.08204051,-0.005378659,0.045954775,0.03404471,-0.04375064,0.08115523,0.038490485,-0.017537735,0.033425517,0.029587744,-0.07617441,0.01170012,0.044217825,-0.007895869,0.020997254
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.03142779,0.01402198,-0.08407101,-0.038952485,-0.010331472,0.016752433,0.0050246324,0.065515235,0.03245102,-0.0040507945,-0.063351035,0.007864991,0.025787475,0.085431844,-0.0070462124,-0.044423647
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,-0.016077748,-0.02711462,-0.022587992,0.0141427955,0.024290392,-0.019013114,-0.0010062141,-0.0006980229,0.012363386,-0.020452702,-0.0103151575,0.0016545351,-0.007835187,0.051547073,0.011906762,-0.011144783
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.04852046,0.071131475,0.032194197,-0.014431905,-0.05407689,0.04687279,-0.023898175,-0.012485537,0.051409975,-0.067284204,-0.031594016,0.03568189,-0.026706398,-0.10207735,-0.002560675,0.04833523
