Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,LCA,TCA,TCDCA,TDCA,UDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,-0.82760304,-1.0,0.44748336,0.9769439,1.0,-0.8279851,0.12541324,1.0,-0.5577882,-0.105899595,-1.0,-0.15245949,0.427973,-0.4708054,0.04723344
12aHSDH%GENOME051950_684,0.260065,-0.6195009,-1.0,-1.0,-0.70997965,0.40826416,0.31443614,1.0,1.0,0.21266218,0.55399066,-0.23882623,0.04692451,0.95935845,-1.0
12aHSDH%GENOME055489_1547,-0.68209696,-0.49113715,0.021087786,0.5106898,0.6498261,-0.6011687,1.0,0.5922164,-0.41464347,0.37132272,-0.5773289,0.35267815,0.506819,-0.9774342,0.06814312
12aHSDH%GENOME077010_272,1.0,0.57764775,-0.009915516,-0.62882507,-1.0,1.0,-0.097102486,-1.0,0.16351919,-0.2399971,1.0,-0.32739463,-1.0,0.5399431,0.7106543
12aHSDH%GENOME136792_1072,0.3264504,-0.03787323,0.018765692,-0.59018457,-0.24895859,0.50652087,-1.0,-0.40617606,0.60158664,-0.3396206,-0.014702296,-0.7112085,-0.79139173,0.9589596,0.24766639
12aHSDH%GENOME211747_1057,-0.6049325,0.475762,1.0,0.053843994,-0.30352297,-0.61796707,0.6965366,0.4418106,-0.7433634,-0.0053822845,0.19849813,0.19876987,0.5903342,-0.7403933,-0.764015
12aHSDH%GENOME225739_454,-1.0,-0.19327594,0.78324455,0.9881659,1.0,-1.0,-0.14375283,0.9627741,-1.0,0.21578647,-1.0,1.0,1.0,-0.24338992,-0.536894
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.34686232,-0.31292838,0.31173933,0.260133,0.16486926,0.55647457,0.2838877,0.4876372,0.58262235,-0.2714606,0.4973683,-1.0,-0.0058314386,-0.5645092,0.17346235
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.49589303,0.19473556,0.22558123,-0.36363783,-0.30330235,0.8325804,-0.79929096,-1.0,0.7980139,-0.76291376,0.54344267,-0.5094459,-1.0,0.67164814,-0.13364136
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,1.0,0.54397845,0.9847646,0.74564713,-0.8317049,0.4949519,-0.17120817,-0.371011,1.0,-0.44157216,0.5246841,1.0,-0.6117029,-0.87658954
