Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GUDCA,LCA,TCA,TCDCA,TDCA,UDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,-0.038107954,-0.048184093,0.020604897,0.04498453,0.048744775,-0.03812555,0.0057747997,0.04757204,-0.025684014,-0.0048762714,-0.052878924,-0.007020176,0.01970652,-0.021678789,0.0021749192
12aHSDH%GENOME051950_684,0.011974998,-0.028525645,-0.12960917,-0.09302845,-0.032691848,0.018799003,0.014478581,0.06442222,0.06030756,0.009792279,0.02550915,-0.010997035,0.0021606942,0.044174787,-0.07247312
12aHSDH%GENOME055489_1547,-0.031407956,-0.022614988,0.0009710119,0.023515312,0.029922007,-0.027681518,0.06258833,0.027269298,-0.019092746,0.017097991,-0.026583789,0.01623948,0.023337075,-0.045007106,0.00313773
12aHSDH%GENOME077010_272,0.051024742,0.02659847,-0.00045657158,-0.02895499,-0.059057426,0.058790598,-0.004471198,-0.076689705,0.007529433,-0.011050949,0.06830676,-0.01507527,-0.083393596,0.024862314,0.032722913
12aHSDH%GENOME136792_1072,0.015031792,-0.0017439175,0.0008640883,-0.027175743,-0.011463591,0.023323348,-0.06638165,-0.018702853,0.027700763,-0.015638229,-0.0006769845,-0.03274843,-0.036440562,0.04415642,0.01140409
12aHSDH%GENOME211747_1057,-0.027854826,0.02190702,0.049551975,0.00247931,-0.013976072,-0.02845502,0.032072846,0.02034369,-0.03422904,-0.0002478336,0.00914008,0.009152592,0.027182631,-0.034092277,-0.03517997
12aHSDH%GENOME225739_454,-0.080178834,-0.008899618,0.036065415,0.045501262,0.085308746,-0.07684676,-0.0066192676,0.044332065,-0.07118723,0.009936142,-0.07879888,0.09643055,0.10114424,-0.0112071745,-0.024721915
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.015971683,-0.014409155,0.014354404,0.011978129,0.007591599,0.025623526,0.013071943,0.022453828,0.026827531,-0.012499723,0.022901908,-0.07143691,-0.00026851543,-0.025993489,0.007987278
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.022833977,0.008966828,0.010387152,-0.016744131,-0.013965913,0.03833714,-0.036804292,-0.09802644,0.03674549,-0.03512926,0.025023455,-0.023458036,-0.050271224,0.03092683,-0.0061536734
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.05730462,0.06003848,0.025048127,0.045344643,0.034334198,-0.03829683,0.022790642,-0.007883482,-0.017083637,0.050545134,-0.020332709,0.024159694,0.08039192,-0.028166581,-0.040363595
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,0.007908573,0.021691408,0.009954985,-0.011111715,0.014820952,-0.001631592,-0.026682308,-0.01599705,-0.0046168347,0.013425898,-0.043380257,-0.007994977,0.019311527,0.07146802,0.0016805392
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.028997995,-0.07675822,-0.0053089224,0.04643556,0.038769625,-0.04593458,0.077254504,0.03955982,-0.021797787,0.032799512,-0.07106289,0.011490857,0.042938743,-0.008620953,0.02020486
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.02373676,0.012186637,-0.08643735,-0.046262536,-0.008966228,0.013057649,0.0051265056,0.057205077,0.032899067,-0.004856117,0.0008916635,0.026976286,0.08121905,-0.0024953056,-0.04457882
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,0.045733776,0.055773858,-0.05091982,-0.037565764,-0.05107699,0.047460184,0.026427813,0.030672338,0.020998748,-0.028885001,0.10237804,-0.045230582,-0.004236367,0.0030338273,0.01734484
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.03884506,-0.05087282,0.04355858,0.058211688,0.04499124,-0.048893336,0.008063605,-0.013682493,-0.023671608,0.007623412,-0.06243892,0.011468542,0.018562935,-0.005669449,0.022131385
12bHSDH%GENOME225741_180,-0.02905527,0.07383237,0.017403144,-0.0014244226,0.010437833,-0.028255837,0.071896926,0.09226944,-0.032277912,0.0213577,-0.017412715,-0.0043232157,0.02482219,-0.044097923,0.06965006
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.013166819,0.014776018,-0.010897312,-0.0063508707,-0.027910823,0.010596794,0.042220127,0.010612155,0.06642084,-0.0055052573,0.03105474,-0.030192656,-0.05963345,-0.019939397,-0.04077631
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.05123159,-0.044878125,0.05458132,0.04450421,0.07883174,-0.060703926,0.0009761221,-0.029573552,-0.05752006,0.003786306,-0.004725592,0.034654953,0.01958438,-0.0061842697,0.024574572
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-0.07332123,-0.022841055,0.06038472,0.08284003,0.110106856,-0.08586891,0.05096485,0.10223447,-0.046247028,0.038196452,-0.09504411,0.008233898,0.06821238,-0.08556318,0.012829645
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,-0.03689205,-0.02337976,0.027397182,0.06614862,0.026467888,-0.03839072,0.033359274,0.025165465,-0.042798977,0.03636973,0.038624555,0.017223123,0.030131431,-0.033836804,0.025222419
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,0.005447168,-0.038848173,0.013859422,-0.031972796,0.0025558963,0.0024995902,-0.061321236,-0.07762132,-0.0021266476,-0.0021508895,-0.02644285,0.07059636,0.042600397,0.031525735,-0.062031537
3aHSDH%GENOME060426_131,0.020703794,0.0583083,-0.0647461,-0.05863278,-0.01237956,0.014288158,0.05393842,0.029085966,-0.03215406,-0.00020094503,0.012052409,0.020891096,0.034347974,-0.01756868,-0.01638248
3aHSDH%GENOME084674_3322,-0.021300305,0.03240097,0.013192997,0.00043922916,0.02332694,-0.0042430325,0.021141348,0.06440047,-0.03514595,-0.045739055,-0.02786648,-0.017711084,-0.010030572,-0.0066657215,0.03754507
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,-0.043337617,-0.03395557,-0.010788801,-0.020102598,0.0030093798,-0.04254379,0.034576826,-0.015525378,-0.022917166,0.014664285,-0.10131368,0.080309756,0.00014541567,0.05144554,0.00032281206
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,-0.004771613,-0.004548695,-0.001959486,0.007498,0.040532872,-0.011295611,-0.016880363,-0.028504658,-0.046351828,0.042100754,-0.021245012,0.03502117,0.01786938,0.015430117,-0.0044652056
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,-0.03740231,-0.056772117,0.037270032,0.057824798,0.025542421,-0.04685306,0.0837467,0.0628445,0.0070124953,0.04143432,-0.035473976,-0.008357139,0.008822498,-0.07750066,0.007376243
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.0011525293,0.043474115,-0.018974803,-0.043769125,0.01868665,0.0040279725,-0.10881663,-0.013135711,-0.031159922,-0.048867203,0.018227536,0.006699083,0.0073675336,0.0038257733,-0.026897972
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.057748448,-0.0013735117,-0.028299483,-0.054006834,-0.049092617,0.07512222,-0.09050345,-0.030667584,0.05721823,-0.08022273,0.037127413,-0.038093675,-0.023880899,0.062198874,-0.064033076
3aHSDH%MFR0796835_1_SDR_family_NAD(P)-dependent_oxidoreductase__Oscillospiraceae_bacterium_,-0.05387625,0.012702707,0.006275641,0.026653223,0.046042167,-0.036060482,0.037913702,0.029147295,-0.060737625,-0.010942458,-0.016128814,0.03542819,0.088674776,0.022465095,-0.043208733
3aHSDH%WP_008977467_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecalimonas_umbilicata_,-0.014631374,-0.041404083,-0.004726575,0.0054989792,0.029565329,-0.009227719,0.03650008,-0.03828556,0.006289569,-0.024188198,-0.013217104,0.03292886,-0.030380363,0.061636433,-0.04534105
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,0.028714364,-0.007952956,-0.035681773,-0.009497075,-0.039373133,0.019195426,-0.0317962,0.025017219,-0.030070039,0.054692555,-0.0012382057,0.025288822,-0.044048358,0.052084163,0.023412855
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.01058222,-0.026357522,0.014263588,0.0034762907,0.007646474,-0.018797144,0.009600923,0.009519557,0.012697152,0.028599152,-0.002064521,0.039858516,0.004769245,-0.015804747,0.018765064
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,-0.061131295,-0.008602018,0.012470243,0.0035020804,-0.011285259,-0.057346553,0.02580754,0.036876306,-0.009854859,0.019802963,-0.076239616,0.03587924,0.04269312,0.017002797,0.013830554
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,-0.03472626,-0.027425129,0.02876213,0.028439319,0.027487796,-0.038973924,0.051400147,-0.0068855416,-0.026713224,0.048143376,-0.016031062,0.031741336,0.023545709,-0.01684392,0.019231627
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,0.023131637,-0.11746959,-0.047009706,-0.021016946,-0.0017994551,0.022394802,-0.048205346,-0.008874645,0.015289127,-0.014341426,0.009856,0.053321943,-0.023952648,0.05956905,-0.040069956
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,0.022569606,0.03405117,-0.039370336,-0.04608182,-0.042595543,0.022010114,0.032491323,0.07320569,0.08323429,-0.03097798,0.03392041,-0.05445213,0.015896719,-0.03452918,-0.0048874747
3aHSDH%WP_182279434_1_SDR_family_NAD(P)-dependent_oxidoreductase__Collinsella_intestinalis_,0.0003206711,0.0119892955,-0.012546696,-0.012732588,0.008427072,-0.0138936695,-0.003826089,0.023748055,-0.0085647525,0.009530886,0.015806712,-0.0834943,-0.01969885,-0.020169187,-0.004613651
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.03255812,-0.058651265,0.008698115,0.020157065,0.06267206,-0.04450903,0.003225131,0.012438233,-0.055207234,-0.010825306,-0.054879054,0.07533175,0.008424379,0.027938126,-0.027485227
3aHSDH%WP_289544896_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enorma_phocaeensis_,-0.0068933344,0.057288475,0.03414989,0.025807029,0.0026838633,-0.015150424,-0.05332055,-0.02462692,-0.035103515,-0.026295712,0.018527322,0.012218436,-0.04925352,0.05722707,0.0007321723
3aHSDH%WP_316269050_1_SDR_family_NAD(P)-dependent_oxidoreductase__Claveliimonas_bilis_,0.03865928,0.0015094642,-0.01680725,-0.027955223,-0.03430688,0.048054844,-0.044879016,-0.026939383,0.074252285,-0.0012310457,0.0056257104,-0.008741734,-0.055498824,0.034875873,-0.034279622
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.0718431,0.020710338,0.012739687,0.023402402,0.028888874,-0.08523603,0.038530495,0.06314029,-0.055751137,0.06431058,-0.069099754,0.026950717,0.036470383,0.016767275,0.05382713
