RENAME,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
LCA,0.5072350265974713,0.46442932715685714,0.5047154015464872,0.49485700567469887,0.48375073949911274,0.47561067622371034,0.4910091606026719,0.4850879008758855,0.4916400773610998,0.4896016932233099,0.48879370087613055
DCA,0.4508209511887717,0.44777599086756875,0.4614895808708881,0.43756251293740694,0.4327352832021323,0.45528783203969475,0.445294458441681,0.43772688690164885,0.44553967206046813,0.45302787375785586,0.4467261042268116
GDCA,0.39233039901718586,0.4211993420142058,0.44273808809317633,0.4131494272020539,0.44480427617275686,0.41713408726518225,0.42132697068092717,0.39522764324235615,0.4205712423952545,0.3910930623653438,0.4159574538448442
TCA,0.4031896143091088,0.3682786420407849,0.3974666567046083,0.3692654982478618,0.3939353111285584,0.38319233346112536,0.4039136191545888,0.3986644309194531,0.4059461240447754,0.40079908773674694,0.39246513177476117
3oxoLCA,0.3286946478024475,0.3419581079111402,0.345550328196749,0.38197483926994447,0.3639377975603573,0.3611689169078588,0.3611147788361785,0.3748618070602415,0.3716963221631712,0.3500344793375068,0.35809920250455957
CA,0.34931145436662747,0.3228828890622723,0.30618325369810806,0.3037036810214213,0.30097424032159487,0.2908898608700552,0.2975439443137265,0.3405314104927422,0.3009498659409063,0.32155822108665644,0.31345288211741107
3oxoDCA,0.3050623996394062,0.29917996744366643,0.3012664879212083,0.2702652153090708,0.29798096838557087,0.2966322934822417,0.28233139114021893,0.2540582119003321,0.2620023002556248,0.2988147191863122,0.28675939546636514
7oxoDCA,0.3074122614158453,0.2857586250399605,0.2983486663294266,0.2681094911878653,0.25657257012533824,0.2801275306792613,0.2090300343813501,0.21701539995419086,0.2966962302999274,0.2684131298297101,0.26874839392428757
TCDCA,0.28442954762864225,0.26091880391606886,0.26112531248813436,0.27635195135902485,0.2396838189632682,0.24425640378672545,0.253439298605761,0.20412894659805914,0.27536007329462014,0.27803072151841374,0.25777248781587175
CDCA,0.26709385116439727,0.22529105337744407,0.23318970004813638,0.2321623015294618,0.25305800490182273,0.2312163550869578,0.2221697853217235,0.26110020320149535,0.24685993060038144,0.23787986982365933,0.24100210550554796
GCA,0.23785721022352166,0.2266334815801948,0.20279803192186482,0.23991653918089836,0.23944730173156095,0.21949668741142855,0.2544799254315429,0.18129407139121373,0.22150824748202852,0.233126498136401,0.22565579944906555
GCDCA,0.2637759957669418,0.2212000769201562,0.24488450340567672,0.16857995348045335,0.20501303845640356,0.22376796079521724,0.2525699048664248,0.2140038778537317,0.21659540120353102,0.21332213010040044,0.22237128428489367
TDCA,0.20071653330165073,0.1486180706024147,0.1722737132715441,0.18861471453190778,0.15610982434522946,0.17458903446831395,0.20691987442906995,0.12989695393731987,0.18907415323523974,0.2046867402144211,0.17714996123371113
TUDCA,0.15662229876131603,0.18631568375037205,0.1455527778832504,0.15162971518719892,0.19644011557620916,0.1538068740652915,0.18194152353352583,0.21407810335472321,0.20336243969178044,0.15336862515019645,0.1743118156953864
GUDCA,0.1681175751533198,0.16328593598234267,0.13949458068103737,0.11241452125164283,0.11762990381305953,0.10673247341171514,0.12474550819358894,0.1339198291098697,0.12995733870957868,0.06867328653615554,0.126497095284231
isoUDCA,0.09564531479083965,0.10508138470979177,0.09422302680814425,0.09214361042145633,0.10951078535724391,0.13001306907748483,0.0915196752695574,0.10838454198823907,0.11059060716704781,0.09040090344438172,0.10275129190341867
TLCA,0.0744040831374605,0.07253301258771411,0.09417060351701492,0.11051295210495439,0.09589077337827694,0.08968057312865386,0.0410061597367077,0.06292877169044292,0.07135704058273143,0.10895103199168087,0.08214350018556377
GLCA,0.09892275036102256,0.0443874620145487,0.08504527633076157,-0.0005836378089513996,0.18373580203764328,0.02185671538684837,0.09760579889788605,0.1165871947537514,0.10668433707196323,0.06071596987375541,0.08149576689192291
UDCA,0.031072313520677197,-0.05806834870307473,-0.005053580768001216,-0.029410201229497657,-0.06866752977287732,-0.05506344075616924,0.019619906642447435,0.005237307255603965,-0.02183785280078782,-0.027298448980991662,-0.020946987559267105
