Family,12oxoCA,12oxoDCA,3oxoCA,3oxoCDCA,3oxoDCA,3oxoLCA,7_12oxoLCA,7oxoDCA,7oxoLCA,CA,CA_S,CDCA,DCA,GCA,GCA_S,GCDCA,GDCA,GLCA,GUDCA,HCA,LCA,TCA,TCA_S,TCDCA,TDCA,TLCA,TUDCA_2,UCA,UDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,-1.0,-0.5322188,-0.90538055,0.1417151,-0.44490153,-0.48340562,-0.15726635,-1.0,-1.0,-0.8901529,-1.0,-0.2972704,-0.6178492,0.29448366,0.14672522,1.0,-0.4371975,-0.70745677,-0.5327422,-0.8515332,-0.30508685,-0.7819817,0.027131405,-0.19972068,-1.0,-0.59754556,-0.028621305,-0.34442,-1.0
12aHSDH%GENOME051950_684,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.8691716,-1.0,0.80734986,1.0,0.0503963,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-0.6153921,-0.11118835,-1.0,-1.0,-1.0
12aHSDH%GENOME055489_1547,0.65623623,0.6312626,-0.1423618,-0.5918613,0.4683842,0.35355738,-0.46403918,-0.110465646,-0.0757793,-0.043478865,-0.40578702,-0.3202434,0.5427359,0.20443958,-0.85209024,-0.57596976,0.1563667,-0.17835271,0.13136822,-0.023214497,0.3803674,0.116751574,-0.56651145,0.23768646,0.23998117,-0.43416604,-0.60860604,-0.47388113,-0.015122786
12aHSDH%GENOME077010_272,1.0,-1.0,1.0,1.0,-1.0,-0.552538,0.77637696,0.8408588,0.9983289,0.8940333,0.97447234,1.0,-1.0,0.14759873,0.9100052,-0.20165072,-0.97378314,-0.628792,0.44744268,0.6195365,-1.0,1.0,1.0,0.7767019,0.2725742,-0.015651153,1.0,0.15788768,0.76997894
12aHSDH%GENOME126416_2228,0.5864016,-0.041698456,0.67423993,0.16463308,-0.108269505,0.13610648,0.23657885,0.462969,0.40534022,0.649616,-0.17114566,0.38451803,-0.035695452,0.50372183,0.114699766,-0.31727967,0.13415545,0.21741992,0.44155753,0.26801032,-0.17874382,0.7528964,0.40616485,0.4535788,0.49122426,0.07547612,0.54373527,0.08630965,0.19148415
12aHSDH%GENOME136792_1072,-0.535115,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-0.55690217,-1.0,1.0,-0.95213634,-1.0,-0.84839493,1.0,1.0,-0.7906665,-0.85153836,1.0,-1.0,-1.0,-1.0,1.0,0.74964666,-1.0,-0.6940437,-0.8082062
12aHSDH%GENOME211747_1057,0.7753181,0.050792657,0.27304837,-0.28171632,0.07231701,0.20686914,-0.37518078,0.47090125,0.30102983,0.30909908,0.03266308,-0.0065611154,0.10914754,0.2140976,-0.27810994,-0.30699787,0.005793702,0.10561703,0.20215237,0.31015155,-0.11473841,0.41915157,-0.0058522276,0.4273551,0.4036011,-0.13534495,-0.112666264,-0.113471344,0.5466428
12aHSDH%GENOME225739_454,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-0.10482921,1.0,-1.0,0.6687507,1.0,0.18892889,-1.0,-1.0,0.64985824,0.51940143,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,0.3059331,0.1738409
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.13757682,-1.0,-0.027643854,1.0,0.37790585,-0.7799498,-1.0,1.0,-1.0,-1.0,-0.42180416,-0.18177328,-0.34087592,-1.0,-0.94679064,-1.0
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.5083736,-1.0,1.0,1.0,-1.0,-0.76959777,0.4684638,0.657672,0.33521697,0.88835937,-0.33147874,1.0,-1.0,0.522344,0.85037434,0.27972087,-1.0,-1.0,0.1698117,0.27719358,-1.0,1.0,1.0,1.0,-0.6573825,-0.76834303,1.0,-0.15185541,0.3125524
