Family,12oxoCA,12oxoDCA,3oxoCA,3oxoCDCA,3oxoDCA,3oxoLCA,7_12oxoLCA,7oxoDCA,7oxoLCA,CA,CA_S,CDCA,DCA,GCA,GCA_S,GCDCA,GDCA,GLCA,GUDCA,HCA,LCA,TCA,TCA_S,TCDCA,TDCA,TLCA,TUDCA_2,UCA,UDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,-0.009826478,-0.0030136579,-0.0051266644,0.00080245343,-0.002519229,-0.0027372562,-0.0008905115,-0.00627397,-0.00651736,-0.005040439,-0.0074373363,-0.0016832763,-0.003498535,0.0016674965,0.00083082303,0.0062924493,-0.0024756053,-0.0040059327,-0.0030166216,-0.004821757,-0.0017275364,-0.0044279257,0.00015363,-0.0011309067,-0.008797372,-0.003383567,-0.00016206647,-0.0019502582,-0.0068563726
12aHSDH%GENOME051950_684,-0.017268695,0.011082943,-0.018227613,-0.0132112065,0.0114621045,0.006277019,-0.013521674,-0.017370583,-0.014703641,-0.018659906,-0.009275469,-0.016223522,0.010758455,-0.0049216338,-0.0102686025,0.0045715715,0.00880365,0.0002853661,-0.0065631648,-0.011374891,0.011605087,-0.012866394,-0.008691092,-0.006985155,-0.0034846219,-0.0006295976,-0.008241952,-0.0067397994,-0.010458347
12aHSDH%GENOME055489_1547,0.0037158993,0.0035744878,-0.0008061154,-0.0033513801,0.0026521983,0.002001998,-0.0026275949,-0.0006255053,-0.00042909585,-0.00024619655,-0.0022977453,-0.0018133594,0.0030732104,0.0011576272,-0.0048249112,-0.003261395,0.00088541734,-0.0010099119,0.0007438649,-0.00013145074,0.0021538083,0.000661099,-0.003207838,0.0013458857,0.0013588794,-0.00245844,-0.0034461962,-0.0026833243,-8.5631895e-05
12aHSDH%GENOME077010_272,0.0060427873,-0.0059465887,0.008154962,0.0060749636,-0.006685909,-0.003128714,0.0043961895,0.004761314,0.0056529795,0.0050624115,0.005517893,0.0077044414,-0.0062612123,0.0008357692,0.0051528513,-0.0011418355,-0.0055139903,-0.0035604981,0.0025336181,0.0035080896,-0.0069093336,0.0076320996,0.0076316004,0.0043980293,0.0015434355,-8.862375e-05,0.006944393,0.0008940298,0.004359961
12aHSDH%GENOME126416_2228,0.0033204649,-0.00023611508,0.0038178442,0.0009322252,-0.00061306974,0.000770695,0.0013396139,0.002621535,0.0022952154,0.0036784126,-0.0009691024,0.0021773109,-0.00020212342,0.0028522955,0.00064948073,-0.0017965776,0.00075964746,0.0012311277,0.0025002938,0.0015175928,-0.0010121264,0.004263232,0.0022998848,0.0025683634,0.0027815287,0.00042737913,0.0030788693,0.00048872334,0.0010842679
12aHSDH%GENOME136792_1072,-0.0030300575,0.020582316,-0.012280505,-0.01574078,0.018744841,0.012152476,-0.0110953525,-0.008586515,-0.010770373,-0.011628479,-0.003153426,-0.015910137,0.01936773,-0.0053914166,-0.013891846,-0.0048039868,0.015921474,0.008320473,-0.0044771032,-0.004821786,0.020032123,-0.008978087,-0.0122035695,-0.0058317413,0.007892015,0.0042448305,-0.008585575,-0.003929982,-0.0045764204
12aHSDH%GENOME211747_1057,0.0043901936,0.00028761046,0.0015461205,-0.0015952023,0.00040949087,0.0011713845,-0.0021244392,0.0026664508,0.0017045639,0.0017502555,0.00018495279,-3.7151935e-05,0.0006180416,0.0012123152,-0.0015747814,-0.0017383576,3.28065e-05,0.0005980503,0.001144676,0.001756215,-0.0006496996,0.0023734213,-3.3137898e-05,0.0024198734,0.0022853678,-0.0007663829,-0.00063796615,-0.00064252486,0.003095333
12aHSDH%GENOME225739_454,0.006536803,-0.016997239,0.014088774,0.015616958,-0.016650833,-0.011012839,0.0123131825,0.009000393,0.006946629,0.012513449,-0.00059358927,0.016906442,-0.017275475,0.0037867618,0.0103732385,0.0010697988,-0.013846796,-0.0075465436,0.0036797842,0.0029410804,-0.017552583,0.0106253,0.012043485,0.008541094,-0.007162185,-0.006720513,0.011484882,0.0017323282,0.000984364
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.0065217363,0.012592243,-0.011652951,-0.010637175,0.011259726,0.0057064,-0.008534865,-0.009778073,-0.012330551,-0.010073204,-0.009569141,-0.011772319,0.011328706,-0.0007790207,-0.010770148,-0.0001565317,0.00861819,0.0021398698,-0.00441642,-0.0069385483,0.012999825,-0.008698163,-0.009270162,-0.0023884415,-0.0010292806,-0.00193019,-0.0064842333,-0.0053611468,-0.008035972
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.002878636,-0.009760698,0.005910518,0.0064373757,-0.009694071,-0.0043578027,0.002652649,0.0037240293,0.0018981466,0.0050302832,-0.0018769791,0.0076772417,-0.009602742,0.0029577424,0.004815195,0.0015839031,-0.008288306,-0.0057662516,0.0009615488,0.0015695924,-0.011115807,0.006550561,0.008478167,0.007684859,-0.0037223902,-0.0043506976,0.0073664705,-0.0008598724,0.0017698098
