RENAME,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
X1_methyl_5_imidazoleacetate,0.7056798156227891,0.7106053060434165,0.703059040337412,0.7030526362580888,0.7094683936082767,0.7071535072882189,0.7111560568652106,0.7045191704230985,0.7070691241253722,0.7128339256478856,0.7074596976219768
enterolactone,0.6982966655842515,0.7088725042806125,0.7022607906853042,0.6975127309329838,0.7022095580507187,0.704090097108445,0.7057781370759274,0.7056383774624626,0.7063910451382113,0.7051829344094195,0.7036232840728337
X___23062,0.6935798728074504,0.7044762254205783,0.6927334042051444,0.6959742450532254,0.6893350983478227,0.6944278482519499,0.6961723948016957,0.7007407636224185,0.6994347081510367,0.698868135486209,0.6965742696147531
X___25983,0.6884004794771859,0.6964116059999441,0.6896507817874011,0.6874112375770278,0.691081905160859,0.6942421299515775,0.6947721616932083,0.6977089971287121,0.6928253215789596,0.6942394929777386,0.6926744113332615
X___25508,0.6883100689455646,0.6955515758178951,0.6853540212720912,0.6852903571894077,0.6869399726809509,0.6886649302821787,0.6848631674274963,0.6887745530517697,0.6915124853177063,0.6897935550852533,0.6885054687070313
X___25511,0.6782658355929686,0.6795146310609901,0.678434601918662,0.6725243901244574,0.6752796510756216,0.6777602900369853,0.6817839354046887,0.6806440092851616,0.6801388404397266,0.6771778955291238,0.6781524080468386
X___25506,0.6793093238120997,0.6793944603960432,0.6749990017170466,0.6740719170573781,0.6786335050882293,0.6823734874129703,0.6766109461537475,0.6733056878018864,0.678317821648651,0.6723074048485661,0.6769323555936619
dehydrolithocholate,0.6673819144279386,0.678463985341439,0.6666428083319331,0.6719668585127918,0.6710401505636719,0.6794588778998235,0.6748309888124501,0.6650154187627468,0.6699951555023471,0.6719314477212401,0.6716727605876381
X3_methylglutarate_2_methylglutarate,0.6640423754161708,0.673234112797686,0.6631910095767355,0.6704261123697428,0.6677819810303635,0.6731866472685848,0.6762511875800038,0.6628666617945435,0.6754092395042789,0.6699849843175397,0.669637431165565
X5_hydroxyhexanoate,0.6636829935529756,0.673600275450753,0.6624989922992829,0.6662024337008269,0.6589160982732342,0.6638449790887974,0.6707858709434866,0.6765559464136778,0.6707278575190294,0.6729440456754006,0.6679759492917464
X___25946,0.6577663776794479,0.6719242902208201,0.6665501375370212,0.6611575260363496,0.6642631277975467,0.6688337568815598,0.6734838718912902,0.6673593117950332,0.6687188601642909,0.6605886931082311,0.6660645953111591
X___25947,0.6598812306982932,0.669832793255977,0.6645196676810224,0.661908310159356,0.6611940669595465,0.66092810931236,0.6654407249719161,0.6702068668305607,0.6656976415659405,0.6605638302120352,0.6640173241647006
sitostanol,0.6612614981477141,0.6641361763427281,0.6693845077033539,0.6518395906211126,0.66559743656006,0.6670063340111612,0.66456562636793,0.6594521573836396,0.6643422370127154,0.6626395053338445,0.6630225069484259
X___25944,0.6554096764885151,0.6658954146038624,0.6611334165612504,0.6573813794989598,0.6586976061551489,0.6684706079128804,0.6740617458725708,0.6607137610103074,0.6576974396490864,0.6628158058705064,0.6622276853623088
X___12096,0.6600515038661803,0.658970344592207,0.6655424368199903,0.6529098252891817,0.6600246312215312,0.6593022265853674,0.6667976363673348,0.6674414346945894,0.6620378985880134,0.6635488845977371,0.6616626822622133
X___25509,0.644976677849947,0.6612844774911679,0.6446786998061447,0.652232876433666,0.6544592357748444,0.6580993898042535,0.6589014065618456,0.6567315538029306,0.660718658247437,0.6580440133536355,0.6550126989125873
L_urobilin,0.6523692456521951,0.6603573928314995,0.6558293320394581,0.6467396832165655,0.6529546538444441,0.6504468917235938,0.6532326662291801,0.6554699501762628,0.6584116828488961,0.6541838603639475,0.6539995358926043
X2.3_dimethylsuccinate,0.6561284402149057,0.6572657293605941,0.6498223056343089,0.642455730859902,0.652230992880924,0.6568984365758819,0.6619162210808729,0.6485166268734756,0.6512628467714775,0.6488771388683162,0.6525374469120659
7oxoDCA,0.650455932776756,0.6517122624557458,0.6344611796012743,0.6527274973837451,0.6531573241194955,0.6529550305549925,0.6533920147911628,0.6544294756415191,0.6488409746556676,0.6512477783495405,0.65033794703299
7oxoLCA,0.6453496212928855,0.656468233129583,0.6410573813041567,0.6477933426205039,0.6527659218596843,0.6540422171977406,0.6557189558487703,0.6517849675915914,0.6493672392918142,0.6426934352159567,0.6497041315352687
X___25500,0.6469653328350707,0.6540433473293857,0.6480577934254967,0.6437173344865699,0.644591679669459,0.6526438676419952,0.6623946434773698,0.6456430788101069,0.6395644774007574,0.649312616262293,0.6486934171338504
gamma_tocopherol_beta_tocopherol,0.6481086493495338,0.6527146892250988,0.6469766341515234,0.6454739357738651,0.6424353884902871,0.6543379349782523,0.6590268511744705,0.6501451465743072,0.6474573168113109,0.6389734185502821,0.6485649965078931
coprostanol,0.64562085288775,0.6493386092901341,0.654549646306466,0.6364377798488485,0.6499654556427095,0.6505327817286342,0.6488368308396351,0.642472682834581,0.6472214960079982,0.6499526474840631,0.6474928782870819
X___25518,0.6388502342009479,0.6498580931364091,0.6437421973827657,0.6460676315981793,0.6486160784582593,0.6456001338075867,0.6549625210675374,0.6434551439448676,0.6499078189288009,0.6455473943308075,0.6466607246856162
adipate,0.6492022400716051,0.6575866867478501,0.6387451319579378,0.6358531250776964,0.6524487315779123,0.6367165456546814,0.6535879042763427,0.6472975915387796,0.6459376664589734,0.6486917972784922,0.6466067420640271
azelate_C9_DC,0.638724789588323,0.6517665087747188,0.6398583116285271,0.6401498855930065,0.6473714268062705,0.6483523810743632,0.6507742531901732,0.6385537629993391,0.6422967590084676,0.6410554977514147,0.6438903576414604
CA,0.640193207306075,0.6520400006328737,0.6343978922291393,0.6406652256232487,0.644089147797863,0.6479549514457773,0.6478803627571896,0.6454343811662807,0.6425186415214886,0.6429695640479506,0.6438143374527886
suberate_C8_DC,0.6364332593222675,0.6474991316821859,0.6402798507322122,0.6402749534950827,0.6434736027617403,0.6460627343610499,0.6509562043850614,0.6385887970803424,0.6456283870987184,0.6387828030127801,0.6427979723931441
X___24238,0.6413975509293826,0.6476095078728736,0.632646564889522,0.6394932791071055,0.6436035679009462,0.6461331792336049,0.648529435032122,0.6447419871782797,0.6359883641645802,0.6405932739085,0.6420736710216917
X___25521,0.6371068177828473,0.6401694745415243,0.64248247730884,0.6294433950962833,0.6421396707097753,0.6448922946871004,0.6538128004737511,0.6384456470719418,0.6401672142782339,0.644501645848386,0.6413161437798685
X3_methyladipate,0.6376813013691921,0.6474332073362118,0.6405804657498535,0.6324649904051822,0.6403307066562494,0.6401755019102991,0.6487825845206622,0.6323802305317872,0.6399426947913738,0.6393719783105134,0.6399143661581325
X3_carboxyadipate,0.630381404361856,0.637977019149704,0.6315597549573224,0.6321854711782526,0.628311379898273,0.6386720501115438,0.6390043088152528,0.630532088581225,0.6376183907076054,0.623859414637013,0.6330101282398048
X___25507,0.6290116848077909,0.6383755789099352,0.6327648520017267,0.626653100064116,0.6305211639753209,0.6289205208550726,0.6298818861746475,0.6288933976955862,0.6340177912857808,0.6314350637657944,0.6310475039535771
X3_hydroxyisonicotinic_acid,0.6290173354660172,0.6336832723187814,0.630739656093406,0.621147852109466,0.6217227124063591,0.6395633472691121,0.6319477668221978,0.6394661559476191,0.6312463317810346,0.6317620485218254,0.6310296478735818
X___23734,0.6238590379264645,0.636359800765325,0.6231689042017541,0.6303798975196624,0.6313585915244646,0.6381017103412319,0.6306473620090425,0.6271254950918382,0.6322992377638762,0.6258729325183325,0.6299172969661992
N_acetylmuramate,0.6214055221245872,0.617909648235224,0.6229315765562476,0.6269680300825974,0.6267792980978376,0.6335389921787355,0.6277252182849272,0.6185719053793513,0.6211651807946934,0.6250170461523161,0.6242012417886518
X___25546,0.6187022472291055,0.6271940564116512,0.6195615239900577,0.6200862817840106,0.6241671871550744,0.6326823523916222,0.6350578891099761,0.6255591326314963,0.6188988901353822,0.6200523778346526,0.6241961938673029
X___25499,0.6133213137554349,0.6202026853434732,0.6260533768710271,0.6239012295078878,0.612760015038285,0.6191049508053693,0.6333935819070443,0.6275300822208442,0.6273583022107635,0.6275617259069117,0.6231187263567041
ethylmalonate,0.6175566704513519,0.626982721793986,0.615261373079812,0.6208728534091174,0.6243871861153532,0.6315326317978359,0.6258556038331051,0.6176135537441637,0.6217991846476889,0.6184136869490137,0.6220275465821429
X___22835,0.6181481060123756,0.6201849799476974,0.6163361282744622,0.625810021856746,0.6140709677467961,0.6208860382783121,0.6249081768038218,0.6127905285927072,0.6202339523189924,0.6205353207577307,0.6193904220589641
X___23105,0.6202949794278368,0.6202957328489337,0.6196131333351917,0.6169094817291617,0.6186370763042284,0.6173487262286225,0.6223521957327734,0.6181624210132157,0.6165448259182883,0.6147980191052521,0.6184956591643506
X___25502,0.6165666751300969,0.6226173999588632,0.614890689900164,0.6131604583512584,0.6176071496648404,0.6222542509901836,0.614486102771158,0.609205374303368,0.6164529085444732,0.6084798297871057,0.6155720839401512
palmitoylcarnitine__C16,0.6108749554539776,0.6233124309207031,0.6203891570649426,0.6082602075373752,0.6101863285714608,0.6167320510608545,0.6135262442937769,0.6014673629282161,0.6152937701869765,0.618219681016576,0.613826218903486
3oxoCA,0.6097964331538432,0.6220218205818068,0.6019043471643867,0.6082515431947616,0.6129012814939435,0.6134682308693198,0.6135292579781643,0.6158317128501241,0.6201812128422132,0.6056537472528382,0.6123539587381401
alpha_tocopherol,0.6101388630423594,0.6151751063642232,0.6102383146271431,0.6136486752220143,0.6065488115158907,0.6152651401852962,0.6264519366312582,0.611248652318013,0.6130930271630908,0.6003692516795639,0.6122177778748852
carotene_diol__2,0.6076416488168651,0.6152794551861364,0.6119783406503079,0.6051052566943348,0.6185172823498299,0.6157243503438237,0.61915435819771,0.6056948087026163,0.6129743633403375,0.6100729386963856,0.6122142802978348
sebacate_C10_DC,0.6133152863866602,0.6115575549677196,0.6113982064057368,0.6038798172803155,0.6052122424900868,0.62203538216155,0.6176723205897177,0.6074653482802033,0.6184061527380451,0.6032386559269,0.6114180967226934
X5alpha_androstan_3beta.17beta_diol_monosulfate_1,0.6057185414671669,0.6202859383746747,0.6047055668024582,0.6107419766303843,0.6098525630255582,0.6141527139358038,0.615561611386905,0.6037852629326614,0.6132203553284575,0.6121749835565845,0.6110199513440655
carotene_diol__1,0.6070957952322005,0.612515906602907,0.6123113527751134,0.6076160324995723,0.6135315182414548,0.6119708064393394,0.6174956433425074,0.6011690081738654,0.6069967203579654,0.6062960387378991,0.6096998822402824
indolin_2_one,0.6054650152680784,0.6107981065020992,0.5999435687598461,0.6013377744995588,0.6144412742158957,0.6166284556600382,0.610458313587422,0.6107830380801624,0.6138875097097143,0.6082398651677604,0.6091982921450576
X2_hydroxylaurate,0.5925095627972716,0.6049398807635772,0.6032420463218358,0.6046042316649324,0.6032831077716139,0.6141353852505764,0.6192115598905731,0.6030713964434002,0.608461370970233,0.602039209540722,0.6055497751414737
X___24829,0.6047515254893657,0.6078966818581473,0.6054484400039478,0.6021947909972206,0.6063111071598359,0.6129672058399175,0.6122296065861057,0.6056401856730951,0.6005986684035535,0.5946259226583107,0.60526641346695
X___25505,0.6033042035623255,0.6131318283495782,0.5988149439567716,0.596604406458627,0.6074370949890715,0.6070788432575215,0.5990044293626282,0.6014684930598615,0.6080096950226741,0.6115432399668795,0.6046397177985938
N_methylpipecolate,0.6040662890017847,0.6030001981497484,0.5956780752200553,0.60207311349008,0.604913887735736,0.6068814469301479,0.6185606040628985,0.6048958056294116,0.5965938585632711,0.6086169524267315,0.6045280231209864
X___24556,0.6004645594483149,0.6120954976308672,0.6028593084046382,0.6067857624508487,0.6022844481077452,0.6063035729488674,0.6104748888515527,0.5952885565129862,0.6071681236574977,0.6001424719294133,0.6043867189942731
X___17438,0.59295897848154,0.6116050204968209,0.5970621097749605,0.6071108636541374,0.6030487938104949,0.6053704609204243,0.6038319750406658,0.5960431077414771,0.6053395706554537,0.6042844044093214,0.6026655284985296
m_tyramine,0.5940578431512891,0.6068708990347921,0.6018693130833832,0.5997887407244444,0.5987358347416029,0.6021654075744435,0.6023127013988768,0.596794268575032,0.6075632930227932,0.6049670039230636,0.6015125305229722
LCA,0.5986341228935287,0.6074355881468778,0.5949099624118214,0.5994805914958347,0.5983715556412781,0.6095417768231094,0.5976463878355642,0.5939161999850823,0.5922556598876347,0.5994044959650533,0.5991596341085785
X___19232,0.5894574539339504,0.6032548544804822,0.5940107543327363,0.6006864419613359,0.5973996424263474,0.6048110457560165,0.6074050745924556,0.5923946660800027,0.5936412012847335,0.5915323756346631,0.5974593510482723
X___24811,0.5814715670179366,0.597892003113136,0.5885947867780624,0.5967893713379026,0.6035012231791507,0.6039984811030686,0.6035520791031876,0.5918454221004024,0.5972342664955897,0.6041005696616912,0.5968979769890127
hexadecanedioate__C16,0.5893282422158415,0.6047978608868217,0.5859001762251944,0.5965317013227813,0.5947555110869681,0.5993815166215996,0.6088456157296243,0.5988307657998053,0.5934426748257148,0.5902485460856383,0.5962062610799989
X4_cholesten_3_one,0.5888765662682827,0.5965463930341699,0.5947799972726155,0.5869304795751306,0.5934407912729727,0.5931171969118775,0.5978746744279084,0.5929088759785998,0.5979899478557258,0.6014583218750541,0.5943923244472336
X___20100,0.5868016445675701,0.588899168901188,0.5901634095016948,0.6005417851107415,0.593312709686509,0.5891413937838238,0.5904922778104679,0.6012654460742616,0.5928881568984364,0.5828966630226199,0.5916402655357313
X___15461,0.5815725254449139,0.5977077916549571,0.5856112392345542,0.5799048278470463,0.5959587245786303,0.601427054899535,0.6014025687138874,0.5832925858090122,0.5918017236767853,0.5869142810215485,0.590559332288087
X___23748,0.5836199472755916,0.5929514442705714,0.5915975465595401,0.588625677043033,0.5911707335081772,0.5874740728965047,0.6077614427712635,0.5866905149557854,0.5908343309884357,0.5806951665776374,0.590142087684654
X___23438,0.5861981542689968,0.6005866136660037,0.5828559782833902,0.5877848590989535,0.5775970990274086,0.606469702300722,0.6017453753129522,0.5840121029564996,0.5753515274482606,0.5988043960614158,0.5901405808424605
