Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-1.0,-1.0,1.0,1.0,-0.7195547
12aHSDH%GENOME136792_1072,-0.36039463,-0.21386775,0.8863332,0.5551136,-1.0
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.97086173,1.0,-1.0,-1.0,1.0
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.9041429,1.0,-0.96790814,-0.8284034,-0.14315115
12aHSDH%MEI3500246_1_SDR_family_oxidoreductase__Anaerovoracaceae_bacterium_,-0.357921,-0.16706625,0.6782446,0.6253038,-1.0
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.90465575,-1.0,0.63445777,0.5631801,1.0
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.019255653,-0.37744543,-0.20841955,-0.124734595,1.0
12aHSDH%WP_251178417_1_SDR_family_NAD(P)-dependent_oxidoreductase__Adlercreutzia_agrestimuris_,0.7293516,0.94171596,-0.58177614,-0.8776144,-0.02073911
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-1.0,-1.0,1.0,1.0,0.0009970429
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,1.0,0.91609573,-0.5333301,-0.6615178,-1.0
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.006716079,0.28548405,0.69500047,0.0845049,-1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.12371048,-0.3872548,0.67417216,0.39209196,-1.0
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.63389206,0.6780398,-0.22039308,-0.5569241,-0.76845545
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,1.0,1.0,-0.8839079,-1.0,-0.6366612
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-0.34641346,-0.33568498,0.7983093,0.37982365,-0.9749388
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,0.9047085,0.60361063,-0.8048207,-0.9687744,0.72826064
3aHSDH%GENOME084620_3418,0.5712011,0.74505216,-0.29532728,-0.68919235,-0.29871684
3aHSDH%GENOME084674_3322,1.0,1.0,-1.0,-1.0,0.56915647
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.53983957,0.4850447,-0.93581665,-0.62321585,1.0
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.8192047,0.72450584,-1.0,-0.9588588,1.0
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.79382145,-0.69894385,0.6473082,0.7934788,-0.1417339
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,1.0,1.0,-1.0,-1.0,-0.68011826
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-1.0,-1.0,1.0,1.0,-0.088489264
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,1.0,1.0,-1.0,-1.0,0.041167367
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,1.0,0.974255,-1.0,-1.0,1.0
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,1.0,1.0,-1.0,-1.0,-0.4348562
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,-0.37987557,-0.34226054,-0.08901789,0.18414807,1.0
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,1.0,1.0,-1.0,-1.0,0.12692913
3aHSDH%WP_182279434_1_SDR_family_NAD(P)-dependent_oxidoreductase__Collinsella_intestinalis_,-0.04834232,-0.09275027,0.500074,0.17586936,-1.0
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.39753848,-0.33857077,0.081128076,0.12652962,0.9288767
3aHSDH%WP_296966155_1_SDR_family_NAD(P)-dependent_oxidoreductase__uncultured_Mediterraneibacter_sp__,0.6752538,0.608566,-1.0,-0.80779094,1.0
3aHSDH%WP_349134822_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecousia_intestinalis_,0.43047693,0.3414063,-0.67752355,-0.5859374,1.0
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.7756649,-0.95333815,0.30274674,0.5092973,1.0
3bHSDH%GENOME124823_1686,1.0,0.92598575,-1.0,-1.0,1.0
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,1.0,1.0,-1.0,-1.0,1.0
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-1.0,-1.0,1.0,1.0,-0.21044236
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0.40127566,0.1977985,-0.688627,-0.8447258,1.0
3bHSDH%WP_240277402_1_SDR_family_NAD(P)-dependent_oxidoreductase__Holdemania_massiliensis_,1.0,1.0,-1.0,-1.0,-0.17605852
5AR%GENOME006039_2690,1.0,0.9860306,-1.0,-0.844479,-0.026501616
5AR%GENOME012336_2253,-0.5064095,-0.501577,-0.04781149,0.53724927,0.7302221
