Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-0.028586421,-0.026503395,0.032683775,0.027589161,-0.017178614
12aHSDH%GENOME136792_1072,-0.008604044,-0.0051058684,0.021160277,0.013252756,-0.040324744
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.023178305,0.029606793,-0.03625302,-0.031132767,0.038213775
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.021585464,0.027376782,-0.023107791,-0.019777263,-0.0034175836
12aHSDH%MEI3500246_1_SDR_family_oxidoreductase__Anaerovoracaceae_bacterium_,-0.008544989,-0.0039885314,0.016192378,0.014928473,-0.03757865
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.029116282,-0.026694765,0.03940168,0.02968136,-0.032078966
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.021597708,-0.024538236,0.0151470145,0.013445334,0.026941013
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.00045970854,-0.009011114,-0.004975798,-0.0029779077,0.028290218
12aHSDH%WP_251178417_1_SDR_family_NAD(P)-dependent_oxidoreductase__Adlercreutzia_agrestimuris_,0.017412504,0.02248248,-0.013889296,-0.020952122,-0.0004951245
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.034571785,-0.034652688,0.035953123,0.028732901,2.3803352e-05
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.0265621,0.021870825,-0.012732697,-0.015793044,-0.032285437
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.00016033935,0.006815632,0.016592408,0.002017466,-0.044468593
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.002953458,-0.0092453025,0.016095154,0.009360785,-0.028600989
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.015133508,0.016187489,-0.0052616536,-0.013295979,-0.018346068
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.03382695,0.029026007,-0.021102374,-0.028903913,-0.0151996175
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-0.008270258,-0.008014127,0.019058798,0.009067891,-0.023275642
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,0.021598967,0.014410571,-0.01921425,-0.023128472,0.017386459
3aHSDH%GENOME084620_3418,0.013636827,0.01778734,-0.0070506292,-0.016453745,-0.0071315514
3aHSDH%GENOME084674_3322,0.040827714,0.0406631,-0.036975306,-0.044104118,0.013588014
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.012888104,0.011579934,-0.02234164,-0.014878625,0.027015252
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.019557653,0.017296817,-0.02443167,-0.022891749,0.02559335
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.018951654,-0.016686551,0.015453803,0.018943474,-0.0033837482
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,0.0611615,0.06611739,-0.050127402,-0.057064567,-0.01623711
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.035363857,-0.029664667,0.029891826,0.03170684,-0.0021125884
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,0.030253783,0.031348847,-0.024320055,-0.031669565,0.0009828277
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.024389189,0.023259318,-0.025345689,-0.031519443,0.027211592
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,0.048651658,0.0431701,-0.03828312,-0.041235223,-0.010381736
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,-0.009069131,-0.008171111,-0.0021252087,0.004396342,0.025587875
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,0.028620765,0.03540701,-0.026954388,-0.03189595,0.0030303001
3aHSDH%WP_182279434_1_SDR_family_NAD(P)-dependent_oxidoreductase__Collinsella_intestinalis_,-0.0011541222,-0.0022143156,0.011938742,0.0041986965,-0.024118738
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.009490814,-0.008083022,0.0019368478,0.003020762,0.022175957
3aHSDH%WP_296966155_1_SDR_family_NAD(P)-dependent_oxidoreductase__uncultured_Mediterraneibacter_sp__,0.016120976,0.014528875,-0.028904099,-0.019285161,0.036988355
3aHSDH%WP_349134822_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecousia_intestinalis_,0.010277186,0.008150717,-0.016175164,-0.013988641,0.024971116
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.018518187,-0.022759948,0.0072277607,0.01215894,0.034338012
3bHSDH%GENOME124823_1686,0.027127337,0.022106938,-0.0364296,-0.03445293,0.04871159
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0.024248794,0.028652951,-0.026945898,-0.033787724,0.026807012
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-0.037450105,-0.032107152,0.038336266,0.030097364,-0.005024091
