Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME051950_684,-0.51256114,-0.4394334,0.7203734,0.52547497,-0.66210973
12aHSDH%GENOME136792_1072,-0.2364007,-0.13644324,0.5758326,0.3610241,-1.0
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.6402433,0.8153033,-0.99705094,-0.86278814,1.0
12aHSDH%MEI3500246_1_SDR_family_oxidoreductase__Anaerovoracaceae_bacterium_,-0.2200838,-0.10553125,0.43916407,0.39944082,-1.0
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.81681126,-0.7491352,1.0,0.8376472,-0.8813612
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.97308713,-0.9722949,1.0,0.80972785,0.0020057603
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.7219338,0.5939771,-0.34819978,-0.42866954,-0.87566525
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.23746498,-0.45388758,0.40371922,0.3549771,-0.2941294
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.0020877386,0.18464142,0.46392328,0.05934046,-1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.08493199,-0.25382566,0.44119456,0.2563431,-0.77598643
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.9307924,0.7927598,-0.57571614,-0.79699755,-0.41524878
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,-0.077443734,-0.3300923,0.31732884,0.17920604,-0.28376243
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-0.22674106,-0.22717687,0.51882696,0.2538393,-0.6398546
3aHSDH%GENOME084674_3322,1.0,1.0,-1.0,-1.0,0.37009883
3aHSDH%HBH21386_1_7-alpha-hydroxysteroid_dehydrogenase__Rikenellaceae_bacterium_,-0.28004885,-0.27986246,0.07747702,0.124022044,0.6156559
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.537935,0.47989422,-0.6725594,-0.6300003,0.700024
