Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME051950_684,-0.018674273,-0.016009992,0.026245551,0.019144766,-0.024122817
12aHSDH%GENOME136792_1072,-0.008612848,-0.004971072,0.020979458,0.013153286,-0.039850496
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.023326151,0.02970416,-0.036325816,-0.031434186,0.038084384
12aHSDH%MEI3500246_1_SDR_family_oxidoreductase__Anaerovoracaceae_bacterium_,-0.008018371,-0.0038448477,0.01600018,0.014552932,-0.037231714
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.029759098,-0.027293438,0.03983222,0.030518219,-0.032110862
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.03545274,-0.035423875,0.036434826,0.029501026,7.307639e-05
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.026302403,0.021640522,-0.012686053,-0.015617829,-0.03190334
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.0086516235,-0.016536605,0.014708808,0.012932973,-0.010716094
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,7.606312e-05,0.006727089,0.016902238,0.0021619664,-0.04443659
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.0030943495,-0.009247697,0.016074156,0.009339415,-0.028271716
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.033911802,0.028882824,-0.020975217,-0.02903722,-0.015128868
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,-0.0028215277,-0.01202634,0.011561325,0.0065290607,-0.01033839
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-0.008260916,-0.008276794,0.018902559,0.009248194,-0.02331199
3aHSDH%GENOME084674_3322,0.041000202,0.0409152,-0.037069384,-0.04449293,0.013483907
3aHSDH%HBH21386_1_7-alpha-hydroxysteroid_dehydrogenase__Rikenellaceae_bacterium_,-0.010203092,-0.010196302,0.0028227405,0.0045185275,0.022430351
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.019598726,0.017484112,-0.024503531,-0.022952965,0.025504157
