Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-1.0,-1.0,1.0,1.0,-1.0
12aHSDH%GENOME051950_684,-1.0,-0.94618833,1.0,1.0,-1.0
12aHSDH%GENOME136792_1072,-0.5122302,-0.3086912,1.0,0.77027214,-1.0
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,1.0
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,1.0,-1.0,-1.0,-0.17900613
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,0.87500477,0.7664045,1.0
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-1.0,-1.0,1.0,1.0,0.0049308697
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,1.0,1.0,-0.7546102,-0.9132716,-1.0
3aHSDH%3aHSDH%MBO5891903_1_3-oxoacyl-ACP_reductase_FabG__Oscillospiraceae_bacterium_,0.7382954,0.42155796,-0.77081335,-0.7653252,0.814791
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.013066645,0.41461635,0.9975622,0.113921285,-1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.16737777,-0.5517527,0.9498905,0.5503421,-1.0
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,1.0,1.0,-1.0,-1.0,-0.87390316
3aHSDH%GENOME084674_3322,1.0,1.0,-1.0,-1.0,0.7764737
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.74396515,0.6714393,-1.0,-0.864407,1.0
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,1.0,1.0,-1.0,-1.0,1.0
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-1.0,-0.98479915,0.91318744,1.0,-0.1911473
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,1.0,1.0,-1.0,-1.0,-0.9835108
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.3408894,-0.015641155,0.6069701,0.45664293,-1.0
3aHSDH%WP_034661165_1_SDR_family_oxidoreductase__Cellulomonas_sp__KRMCY2_,0.01963701,-0.108921185,0.6519675,0.22629935,-1.0
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,1.0,1.0,-1.0,-1.0,0.1061381
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,1.0,1.0,-1.0,-1.0,1.0
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,1.0,1.0,-1.0,-1.0,-0.64483064
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-1.0,-1.0,1.0,1.0,0.9629552
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.5587902,-0.46340594,0.102334745,0.18407197,1.0
3aHSDH%WP_252528238_1_3-oxoacyl-ACP_reductase__Streptococcus_infantarius_,1.0,1.0,-1.0,-1.0,-0.32217646
3aHSDH%WP_296966155_1_SDR_family_NAD(P)-dependent_oxidoreductase__uncultured_Mediterraneibacter_sp__,0.91977537,0.837764,-1.0,-1.0,1.0
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-1.0,-1.0,0.43021795,0.7243699,1.0
3bHSDH%GENOME124823_1686,1.0,1.0,-1.0,-1.0,1.0
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,1.0,1.0,-1.0,-1.0,1.0
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-1.0,-1.0,1.0,1.0,-0.27692172
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0.56258494,0.29335162,-0.9502313,-1.0,1.0
3bHSDH%WP_240277402_1_SDR_family_NAD(P)-dependent_oxidoreductase__Holdemania_massiliensis_,1.0,1.0,-1.0,-1.0,-0.23251402
5AR%GENOME006039_2690,1.0,1.0,-1.0,-1.0,-0.028697358
5AR%GENOME012336_2253,-0.70249766,-0.6973645,-0.0776018,0.75630385,1.0
5AR%GENOME084343_2181,1.0,1.0,-1.0,-1.0,-1.0
5AR%GENOME170052_106,-0.9392516,-0.96733224,0.6596145,1.0,-0.39622942
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,1.0,1.0,-1.0,-1.0,0.23607302
5AR%MBQ5678765_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-0.0023929493,0.03771261,0.76800853,0.2517484,-1.0
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,1.0,1.0,-1.0,-1.0,-0.24529469
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
5AR%WP_099292233_1_MULTISPECIES__DUF1295_domain-containing_protein__Butyricimonas_,0.7212468,0.7589212,-0.8438074,-1.0,1.0
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,1.0,1.0,-1.0,-1.0,0.20747149
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,1.0,1.0,-1.0,-1.0,0.7209613
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,1.0,1.0,-1.0,-1.0,0.26514614
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-1.0,-1.0,0.8510784,1.0,-0.13304153
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,1.0,1.0,-1.0,-1.0,-1.0
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,1.0,1.0,-1.0,-1.0,0.47124356
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,1.0,1.0,-1.0,-0.93105805,-0.058449462
5BR%MFO0559492_1_NADH_flavin_oxidoreductase__Polyangiales_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,0.72404176,0.75106,-0.55715597,-0.3931428,-0.8491619
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-1.0,-1.0,0.9093155,1.0,-0.34181577
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-1.0,-1.0,1.0,1.0,0.8219456
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0.62292796,0.67647564,-1.0,-0.9653183,1.0
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.99444133,-0.8097988,0.70404863,1.0,-0.7093767
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,1.0
7aHSDH%GENOME025100_397,0.6428746,0.8316634,-0.1758712,-0.27978548,-1.0
7aHSDH%GENOME122758_282,-0.07761887,-0.15227701,-0.38424256,-0.16728076,1.0
7aHSDH%GENOME125242_1669,-0.45159173,-0.5976771,-0.34483856,0.07934625,1.0
7aHSDH%GENOME150027_3593,1.0,1.0,-1.0,-1.0,-0.57504845
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,0.9786097
7aHSDH%HEX5818085_1_7-alpha-hydroxysteroid_dehydrogenase__Gemmatimonadales_bacterium_,1.0,1.0,-0.9082503,-1.0,-1.0
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,1.0,1.0,-1.0,-1.0,1.0
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,0.8153783,1.0,-1.0,-1.0,1.0
7aHSDH%WP_221221011_1_7-alpha-hydroxysteroid_dehydrogenase__Phenylobacterium_haematophilum_,-1.0,-1.0,1.0,1.0,-0.28286973
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,-1.0,-0.6889117,0.7352513,0.66393167,0.70798475
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,0.81378907,0.462762,-1.0,-1.0,1.0
BSH1%UPI00022FF9E1,-0.9978143,-1.0,1.0,1.0,-1.0
BSH1%UPI0002624191,-0.26401493,-0.29317266,-0.5319162,0.19632152,1.0
BSH1%UPI0002802AC4,1.0,1.0,-1.0,-1.0,-0.51788145
BSH1%UPI00033F0DE9,1.0,1.0,-1.0,-1.0,-1.0
BSH1%UPI00035D264B,1.0,1.0,-1.0,-1.0,1.0
BSH1%UPI0003A10C39,-1.0,-1.0,0.8979487,1.0,-0.32028756
BSH1%UPI0004D6A0E9,-1.0,-1.0,1.0,1.0,-1.0
BSH1%UPI0004F8D610,0.34983042,0.52838546,-0.9449902,-0.3502491,0.86057156
BSH1%UPI0005DBBD01,-1.0,-1.0,0.97506607,0.98775774,1.0
BSH1%UPI00070D1B8F,1.0,1.0,-1.0,-1.0,1.0
BSH1%UPI00076E9CCB,-0.8755874,-1.0,0.36399755,0.70307344,1.0
BSH1%UPI0007933BD5,-0.018343914,0.061259236,-0.6738871,-0.4782866,1.0
BSH1%UPI00095C7CBB,-0.05755006,0.02986826,-0.86634916,-0.5248513,1.0
BSH2%UPI0001E69B03,1.0,1.0,-1.0,-1.0,1.0
BSH2%UPI000335FD2D,-0.9218252,-0.8419028,1.0,1.0,-1.0
BSH2%UPI000396CDDF,1.0,1.0,-1.0,-1.0,-0.27526993
BSH2%UPI0005DCCFF2,-1.0,-1.0,1.0,1.0,-0.82430106
BSH2%UPI0006C0EB58,-1.0,-1.0,1.0,1.0,0.15096214
BSH2%UPI0006C1ADDE,1.0,1.0,-1.0,-1.0,0.9075302
BSH2%UPI0006C28698,-1.0,-1.0,1.0,1.0,-0.60144013
BSH2%UPI0006CAB5AD,1.0,1.0,-1.0,-1.0,1.0
BSH2%UPI000820857A,-0.853829,-1.0,0.932833,0.526209,0.60419065
BSH2%UPI000821232B,-1.0,-1.0,1.0,1.0,0.465679
BSH2%UPI0008219BA0,1.0,1.0,-1.0,-1.0,1.0
BSH2%UPI0008D5E4DE,-0.01083342,0.0888353,0.3668769,0.21691996,-1.0
BSH2%UPI000960BD65,0.9146413,0.5607704,-1.0,-1.0,1.0
BSH2%UPI0009611255,-0.065170646,0.13758007,0.6279995,0.03970041,-1.0
BSH2%UPI000D1261F9,1.0,1.0,-1.0,-1.0,0.9666758
BSH2%UPI000D58F0CE,-1.0,-1.0,1.0,1.0,0.3994296
BSH2%UPI000D7ABA35,1.0,1.0,-1.0,-1.0,0.7217047
