Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-0.028132357,-0.0261832,0.03256501,0.027120735,-0.01728213
12aHSDH%GENOME051950_684,-0.018733537,-0.016228465,0.026532682,0.019265352,-0.024223832
12aHSDH%GENOME136792_1072,-0.008785471,-0.0052944897,0.021378433,0.013211255,-0.039373502
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.022659807,0.029654529,-0.03613764,-0.03090734,0.03791962
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.021849431,0.027772129,-0.023540482,-0.02018713,-0.0030702078
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.029412987,-0.027123896,0.03976402,0.030177278,-0.032071043
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.021219185,-0.024184082,0.015007567,0.013144919,0.026482446
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.03496493,-0.035026398,0.03650572,0.028929805,8.457137e-05
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.026612546,0.02177339,-0.01294263,-0.015663898,-0.031985372
3aHSDH%3aHSDH%MBO5891903_1_3-oxoacyl-ACP_reductase_FabG__Oscillospiraceae_bacterium_,0.0126628075,0.007230314,-0.013220537,-0.013126408,0.013974817
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.0002241114,0.0071112555,0.0171096,0.0019539108,-0.045003586
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.002870765,-0.009463337,0.016291963,0.009439143,-0.028704762
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.034027256,0.028915985,-0.021154337,-0.029031215,-0.014988673
3aHSDH%GENOME084674_3322,0.04084486,0.04091679,-0.03690158,-0.044367228,0.01331762
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.012760052,0.011516131,-0.022167817,-0.0148258,0.026835408
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.019590398,0.017493872,-0.024505835,-0.022913227,0.025445294
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.01918118,-0.016890695,0.015662454,0.019094484,-0.003278446
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,0.062155433,0.0671349,-0.050662592,-0.058004912,-0.016868599
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.005846734,-0.00026826788,0.010410394,0.007832071,-0.022438541
3aHSDH%WP_034661165_1_SDR_family_oxidoreductase__Cellulomonas_sp__KRMCY2_,0.00033680242,-0.0018681521,0.011182163,0.0038813532,-0.025608724
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,0.030771,0.03179436,-0.024906365,-0.032452967,0.0018204183
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.024490705,0.023472708,-0.025458556,-0.031723298,0.027185928
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,0.048303913,0.04317423,-0.03798601,-0.040833782,-0.011059755
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-0.034068592,-0.025624061,0.020883545,0.026262656,0.016516041
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.00958404,-0.007948066,0.0017551853,0.0031570941,0.022237206
3aHSDH%WP_252528238_1_3-oxoacyl-ACP_reductase__Streptococcus_infantarius_,0.031111203,0.030939417,-0.02883974,-0.026051499,-0.005525781
3aHSDH%WP_296966155_1_SDR_family_NAD(P)-dependent_oxidoreductase__uncultured_Mediterraneibacter_sp__,0.015775446,0.014368836,-0.028574966,-0.018976213,0.0363131
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.01871979,-0.023390742,0.007378845,0.012423966,0.0348029
3bHSDH%GENOME124823_1686,0.027528638,0.022747375,-0.036950916,-0.035006322,0.048544906
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0.023811271,0.028565433,-0.026534317,-0.03374675,0.02675237
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-0.037647713,-0.032454256,0.038740624,0.030025754,-0.0047495984
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0.009649126,0.0050313943,-0.016297808,-0.020474358,0.045277096
3bHSDH%WP_240277402_1_SDR_family_NAD(P)-dependent_oxidoreductase__Holdemania_massiliensis_,0.032971907,0.032622952,-0.029532954,-0.028762542,-0.0039879438
5AR%GENOME006039_2690,0.027066557,0.023982132,-0.027482703,-0.020475257,-0.0004922002
5AR%GENOME012336_2253,-0.012048827,-0.011960786,-0.0013309803,0.012971679,0.017477613
5AR%GENOME084343_2181,0.05662,0.060012687,-0.044717148,-0.047724787,-0.027436966
5AR%GENOME170052_106,-0.01610949,-0.016591113,0.01131332,0.020934451,-0.006795894
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,0.040912673,0.037647653,-0.033814088,-0.040207487,0.0040489854
5AR%MBQ5678765_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,-4.1042458e-05,0.00064682454,0.013172431,0.0043178406,-0.03320174
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,0.018083455,0.023120694,-0.017715283,-0.017263854,-0.00420715
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.017382527,-0.018712228,0.027761357,0.021261752,-0.030550115
5AR%WP_099292233_1_MULTISPECIES__DUF1295_domain-containing_protein__Butyricimonas_,0.0123704,0.01301657,-0.014472488,-0.01904143,0.021446861
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,0.028352363,0.026199223,-0.030525923,-0.022756787,0.003558429
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.030676639,0.026713373,-0.03613049,-0.024904836,0.012365503
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,0.027376296,0.025546944,-0.028415414,-0.023416033,0.0045476304
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.022555612,-0.021217639,0.014597196,0.025661556,-0.00228185
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0.04503441,0.04781301,-0.030522455,-0.03407766,-0.03910084
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,0.018963356,0.022185529,-0.023225633,-0.018875778,0.008082492
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0.01964404,0.024203025,-0.02404253,-0.01596896,-0.0010024908
5BR%MFO0559492_1_NADH_flavin_oxidoreductase__Polyangiales_bacterium_,-0.025338124,-0.024166416,0.03227895,0.030426282,-0.032759212
5BR%WP_259010233_1_NADH_flavin_oxidoreductase__Parabacteroides_distasonis_,0.012418338,0.012881739,-0.009556011,-0.006742954,-0.014564326
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.02200372,-0.021909375,0.015596045,0.026399445,-0.005862623
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.032323822,-0.037044004,0.020593548,0.03383091,0.014097528
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0.010684094,0.011602513,-0.0188357,-0.016556572,0.028645623
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.017056072,-0.013889193,0.012075428,0.021771098,-0.012166811
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,0.064901054,0.058575522,-0.06590395,-0.06355238,0.028961128
7aHSDH%GENOME025100_397,0.011026206,0.014264202,-0.0030164393,-0.004798716,-0.028894836
7aHSDH%GENOME122758_282,-0.0013312731,-0.0026117656,-0.0065903026,-0.0028691012,0.024463696
7aHSDH%GENOME125242_1669,-0.0077454355,-0.010251006,-0.0059144683,0.0013609001,0.039150074
7aHSDH%GENOME150027_3593,0.05652291,0.06324997,-0.05371841,-0.050990388,-0.009862892
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,0.059568062,0.058287088,-0.05944675,-0.057908073,0.016784538
7aHSDH%HEX5818085_1_7-alpha-hydroxysteroid_dehydrogenase__Gemmatimonadales_bacterium_,0.028762156,0.039363127,-0.0155777745,-0.025125042,-0.03848817
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,0.056069016,0.05059265,-0.053752862,-0.05972191,0.029899085
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,0.013984889,0.019866103,-0.020242672,-0.02091647,0.021547593
7aHSDH%WP_221221011_1_7-alpha-hydroxysteroid_dehydrogenase__Phenylobacterium_haematophilum_,-0.03147814,-0.03012622,0.030566052,0.029014485,-0.004851615
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,-0.019461745,-0.011815808,0.012610598,0.011387365,0.012142938
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,0.013957632,0.007937022,-0.025048265,-0.019469071,0.04474503
BSH1%UPI00022FF9E1,-0.017113924,-0.020925574,0.028194254,0.017693898,-0.020229973
BSH1%UPI0002624191,-0.0045282287,-0.005028325,-0.009123114,0.0033671912,0.025442015
BSH1%UPI0002802AC4,0.025221441,0.03185568,-0.02549891,-0.021896847,-0.008882398
BSH1%UPI00033F0DE9,0.055779587,0.059915334,-0.04423956,-0.04740902,-0.027126009
BSH1%UPI00035D264B,0.018677454,0.02208537,-0.026790028,-0.022065971,0.022654671
