Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-0.8172535,-0.75449973,0.9362777,0.7853157,-0.4974541
12aHSDH%GENOME126416_2228,-0.5456006,-0.53890944,0.20676121,0.4799848,0.55274135
12aHSDH%GENOME136792_1072,-0.24136452,-0.13968776,0.60564417,0.37207553,-1.0
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.65528095,0.85122734,-1.0,-0.896055,1.0
12aHSDH%MEI3500246_1_SDR_family_oxidoreductase__Anaerovoracaceae_bacterium_,-0.25770468,-0.1229401,0.47280377,0.43062812,-1.0
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.86591536,-0.7978549,1.0,0.88389915,-0.9327783
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.6104521,-0.6915028,0.4178606,0.3760273,0.7803743
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.027451927,-0.25048435,-0.16151337,-0.09589054,0.8234636
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.50328636,0.5404664,-0.37678182,-0.67001086,0.2549475
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-1.0,-1.0,1.0,0.8365532,0.0075440323
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.77180237,0.6261918,-0.3705842,-0.45406947,-0.9179158
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.004510985,0.20427781,0.49009013,0.055208378,-1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.081061035,-0.27041718,0.46706438,0.2715601,-0.8263633
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.9842464,0.8319804,-0.60708445,-0.8394252,-0.42911035
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-0.23515086,-0.23666538,0.54917634,0.25980335,-0.66873544
3aHSDH%GENOME052056_2389,-0.58857465,-0.6818252,0.43205902,0.47374547,0.46994007
3aHSDH%GENOME084674_3322,1.0,1.0,-1.0,-1.0,0.38338262
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.3631901,0.3233403,-0.6320386,-0.4188502,0.7718576
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.5644518,0.50600857,-0.7090818,-0.659022,0.72984636
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.5484676,-0.48279944,0.44677362,0.54436207,-0.087591425
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,1.0,1.0,-1.0,-1.0,-0.48268223
3aHSDH%MDO5412646_1_SDR_family_NAD(P)-dependent_oxidoreductase__bacterium_,0.07449646,0.05685393,-0.24515551,-0.12570502,0.4579714
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,0.4275219,0.30298918,-0.4065557,-0.5792015,0.6273076
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-1.0,-0.85966814,0.86939245,0.91681325,-0.06445802
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.7025237,0.67823964,-0.7352313,-0.91437936,0.78517944
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,1.0,1.0,-1.0,-1.0,-0.31691566
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-1.0,-0.75952,0.62177694,0.7799647,0.47315943
