Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-0.028386023,-0.026206369,0.03252014,0.027276713,-0.017278291
12aHSDH%GENOME126416_2228,-0.018950583,-0.018718177,0.0071815276,0.016671522,0.019198606
12aHSDH%GENOME136792_1072,-0.008383419,-0.0048518362,0.021036103,0.012923462,-0.040058974
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.02276016,0.029566051,-0.036008578,-0.03112307,0.038026944
12aHSDH%MEI3500246_1_SDR_family_oxidoreductase__Anaerovoracaceae_bacterium_,-0.008950969,-0.004270132,0.0164221,0.014957195,-0.036732502
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.030076217,-0.027712243,0.040378574,0.030700855,-0.032398596
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.0212031,-0.024018269,0.014513735,0.01306072,0.027105082
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.00095349975,-0.008700183,-0.0056099147,-0.003330608,0.02860172
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.017480865,0.018772257,-0.013086928,-0.02327178,0.008855203
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.035092663,-0.035143957,0.036282375,0.029056368,0.00026203017
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.02680735,0.021749793,-0.012871662,-0.015771393,-0.03188237
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.00015668203,0.007095271,0.017022515,0.0019175767,-0.045036685
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.0028155283,-0.009392519,0.01622275,0.009432215,-0.028702438
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.03418626,0.028897539,-0.02108613,-0.029156122,-0.014904478
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,-0.008167597,-0.008220202,0.01907478,0.009023864,-0.023227481
3aHSDH%GENOME052056_2389,-0.02044322,-0.023682134,0.015006895,0.016454808,0.016322633
3aHSDH%GENOME084674_3322,0.041008,0.04091428,-0.037001062,-0.044375636,0.013316196
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.012614841,0.01123072,-0.021952873,-0.014548107,0.026809268
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.019605352,0.017575417,-0.02462885,-0.022890098,0.025350071
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.019050164,-0.016769284,0.015517984,0.018907566,-0.0030423512
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,0.061950162,0.06660519,-0.05032102,-0.05775288,-0.016765213
3aHSDH%MDO5412646_1_SDR_family_NAD(P)-dependent_oxidoreductase__bacterium_,0.0025875182,0.0019747324,-0.0085150935,-0.0043661674,0.01590692
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,0.014849305,0.010523856,-0.014121077,-0.02011766,0.021788549
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.03570447,-0.029859228,0.030196987,0.031844076,-0.0022388485
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.024401063,0.023557594,-0.025537109,-0.031759538,0.02727198
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,0.04867888,0.043162964,-0.038090836,-0.04102527,-0.01100757
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-0.035072647,-0.02638074,0.02159645,0.027090855,0.016434453
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,0.028505709,0.035562526,-0.026874298,-0.031951725,0.002802522
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.00929702,-0.0074858414,0.0015380116,0.0028194499,0.021912524
3aHSDH%WP_252528238_1_3-oxoacyl-ACP_reductase__Streptococcus_infantarius_,0.031243902,0.031285852,-0.028742775,-0.02613913,-0.0060060117
3aHSDH%WP_296966155_1_SDR_family_NAD(P)-dependent_oxidoreductase__uncultured_Mediterraneibacter_sp__,0.015522673,0.0138931,-0.028220963,-0.018808648,0.036835805
3bHSDH%GENOME124823_1686,0.027458405,0.022626016,-0.036951732,-0.03473784,0.048724417
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0.02375597,0.02846201,-0.026736787,-0.033729848,0.02719273
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-0.03768194,-0.03219765,0.03858621,0.029969431,-0.004947824
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0.009511459,0.0048560738,-0.016364926,-0.020215452,0.045757163
3bHSDH%WP_240277402_1_SDR_family_NAD(P)-dependent_oxidoreductase__Holdemania_massiliensis_,0.032798894,0.031989284,-0.029265815,-0.028265338,-0.0039817947
5AR%GENOME006039_2690,0.027189363,0.023952618,-0.027379246,-0.020475896,-0.0009629421
5AR%GENOME084343_2181,0.05678344,0.060108002,-0.04458388,-0.04778023,-0.02816165
5AR%GENOME086572_2986,-0.00921575,-0.0045024366,-3.741048e-05,0.0025863054,0.020540554
5AR%GENOME142018_414,0.01973364,0.017587222,-0.015987342,-0.015725376,-0.005963596
5AR%GENOME170052_106,-0.01678482,-0.01728979,0.01194706,0.021594144,-0.0068818983
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,0.041321058,0.037803415,-0.03378085,-0.04056278,0.0040001464
5AR%MBP3601379_1_DUF1295_domain-containing_protein__Alistipes_sp__,-0.01789137,-0.013751154,0.012632888,0.015705429,0.0019418211
5AR%MBQ5678765_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,2.2871262e-05,0.00076587516,0.013132968,0.004233316,-0.033537224
5AR%MCR5660240_1_DUF1295_domain-containing_protein__Bacteroidales_bacterium_,0.009192544,0.008354137,-0.0053233798,-0.007250028,-0.0067001525
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.017428255,-0.01857721,0.02759946,0.021313027,-0.030436525
5AR%WP_005657188_1_DUF1295_domain-containing_protein__Bacteroides_stercoris_,0.024147656,0.020716589,-0.016528811,-0.022903882,-0.002956946
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.0310351,0.026894456,-0.03611017,-0.025138268,0.011945396
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,0.027236698,0.025276382,-0.028074495,-0.023175824,0.0039684344
5BR%MBO5195292_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.0237395,0.024672395,-0.027333643,-0.025011398,0.014991023
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-0.023417985,-0.02199512,0.015480965,0.02644319,-0.002751704
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,0.045395806,0.04817002,-0.030740684,-0.034410227,-0.039367836
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,0.018672159,0.021742845,-0.022687633,-0.01841584,0.007734876
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.022685582,-0.022585776,0.016300254,0.027029004,-0.0059787566
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.03284852,-0.03740237,0.02103009,0.034191143,0.014194718
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0.010098531,0.011019085,-0.018263645,-0.015941106,0.028320093
5BR%WP_418992344_1_NADH_flavin_oxidoreductase__Alistipes_sp__,-0.01761462,-0.014268168,0.012608767,0.022212481,-0.012442108
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,0.06495374,0.05843296,-0.065814584,-0.06359031,0.029079989
7aHSDH%GENOME025100_397,0.010303181,0.013570919,-0.0023978024,-0.0040752464,-0.029388072
7aHSDH%GENOME071922_1142,0.0025691115,0.0011842798,-0.004403046,-0.009528962,0.021560576
7aHSDH%GENOME122758_282,-0.0009652841,-0.0022161687,-0.0067853346,-0.0031747816,0.024245515
7aHSDH%GENOME125242_1669,-0.007780413,-0.010415882,-0.00618819,0.0013193919,0.04025178
7aHSDH%GENOME141447_876,0.026772872,0.025068877,-0.024033932,-0.030735094,0.015252611
7aHSDH%GENOME150027_3593,0.056225747,0.06273243,-0.05285525,-0.050600678,-0.010480255
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,0.05941202,0.058082517,-0.059072442,-0.05795945,0.01656326
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,0.056518234,0.05066103,-0.05393406,-0.059826083,0.029593712
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,0.014277699,0.02050111,-0.020725325,-0.021411527,0.021711783
7aHSDH%WP_288686302_1_SDR_family_NAD(P)-dependent_oxidoreductase__partial__uncultured_Bacteroides_sp__,-0.019723732,-0.011654954,0.012545747,0.011389366,0.01219579
7bHSDH%GENOME075272_507,-0.019007985,-0.027788332,0.02566062,0.01209437,0.01147391
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,0.013234347,0.0071903933,-0.024627708,-0.018707445,0.045170747
BSH1%UPI0001B1C28E,0.02258002,0.01894674,-0.027784994,-0.018535746,0.012782462
BSH1%UPI00022FF9E1,-0.016515061,-0.020372793,0.027452046,0.017124616,-0.019647593
BSH1%UPI0002624191,-0.004865236,-0.0053779245,-0.008644047,0.0037557844,0.0251655
BSH1%UPI0002802AC4,0.025548963,0.03231223,-0.025834026,-0.022256244,-0.00915197
BSH1%UPI00033F0DE9,0.05612317,0.060156774,-0.044330347,-0.047604848,-0.027427224
BSH1%UPI00035D264B,0.018747134,0.022103686,-0.026766753,-0.022116557,0.022526393
BSH1%UPI0003A10C39,-0.022000195,-0.022933934,0.015927618,0.02686407,-0.0058110063
BSH1%UPI0004D69CD5,-0.011357622,-0.015050295,0.0046821972,0.012251007,0.01155012
BSH1%UPI0004D6A0E9,-0.021485126,-0.022003831,0.021221044,0.031340934,-0.027839832
BSH1%UPI00064A1F29,0.0018100942,-0.004484191,-0.008769217,-0.0027072784,0.02463977
BSH1%UPI00070D1B8F,0.02636217,0.025957463,-0.03817072,-0.029313857,0.036194712
BSH1%UPI0007933BD5,-0.00036210605,0.0010642238,-0.011759723,-0.008172043,0.037710786
BSH1%UPI00095C7CBB,-0.0002422551,0.0012419715,-0.015635632,-0.009720619,0.046791192
BSH1%UPI000BCCCB22,-0.014690001,-0.013952493,0.02590935,0.012216231,-0.01951074
BSH1%UPI000BD3EFD5,0.028016618,0.022942109,-0.02323343,-0.022622347,-0.0039819786
BSH2%UPI000335FD2D,-0.015626261,-0.014083129,0.030393813,0.017703893,-0.037139885
BSH2%UPI00033F049A,-0.020589154,-0.026790328,0.016679978,0.02254831,0.0055622878
BSH2%UPI000396CDDF,0.024101028,0.0267792,-0.017718943,-0.025264246,-0.0050348234
BSH2%UPI0005DCCFF2,-0.036060438,-0.038986295,0.043694235,0.033365212,-0.0139949145
BSH2%UPI0006BFFEB7,0.03457792,0.026694374,-0.0359241,-0.03293938,0.02163641
BSH2%UPI0006C0EB58,-0.033978228,-0.039241575,0.033180512,0.032294888,0.0025919697
BSH2%UPI0006C1ADDE,0.021615496,0.019698607,-0.024303904,-0.022421028,0.016003218
BSH2%UPI0006C28698,-0.023998981,-0.026824553,0.029533004,0.023147231,-0.010876597
BSH2%UPI0006C52F45,0.019537281,0.019732643,-0.027857795,-0.024845352,0.03227553
BSH2%UPI0006CAB5AD,0.04826632,0.048867747,-0.049872857,-0.050309766,0.022078682
BSH2%UPI000821232B,-0.043185625,-0.041235056,0.03814702,0.035810538,0.0082222
BSH2%UPI000965B48B,0.013294805,0.018021638,-0.009244148,-0.010931585,-0.015211562
BSH2%UPI000966A84B,0.019657347,0.020191383,-0.027481942,-0.019480074,0.018857198
BSH2%UPI000DC2EE55,0.020677697,0.024452906,-0.005857791,-0.017455712,-0.032277994
BSH2%UPI000E40484B,0.03827251,0.03716507,-0.03805543,-0.036632653,0.009778725
BSH2%UPI000E53BC4B,0.036388263,0.038461596,-0.022063397,-0.035675537,-0.018062185
BSH2%UPI000E53DAEE,0.025912546,0.030092478,-0.017630275,-0.027573543,-0.00878359
BSH2%UPI000E92006C,0.017766625,0.020264832,-0.006730377,-0.012239942,-0.029359244
BSH3%UPI000238BE2F,0.032729052,0.031165542,-0.023896156,-0.03345215,-0.00080974447
BSH3%UPI00033CE23D,0.030806337,0.033935227,-0.036441315,-0.02812089,0.008454516
BSH3%UPI00092A5378,0.039677918,0.036359604,-0.04044373,-0.036102414,0.0110863615
BSH3%UPI0009648BEC,0.029587144,0.032316327,-0.034196973,-0.03127248,0.016738154
BSH3%UPI000B61906D,0.013545689,0.016559327,-0.019517858,-0.01772625,0.019338904
BSH3%UPI000C9D0DE6,-0.014644176,-0.016977204,0.033966746,0.029095374,-0.066373736
BSH3%UPI000E3F1C35,0.012749024,0.016289465,-0.023308795,-0.01571202,0.023598704
BSH3%UPI000E902C94,0.014363447,0.011582605,-0.022309143,-0.017030055,0.028525786
BSH4%UPI0001653940,0.041741714,0.04360058,-0.036275085,-0.052455682,0.024249246
BSH4%UPI0001FAB233,-0.00772323,-0.009167687,0.00024575312,-0.005127415,0.041223377
BSH4%UPI000822CCAE,-0.046728186,-0.047466602,0.043700576,0.048175313,-0.011362832
BSH4%UPI000E54B9B5,-2.1586851e-05,-0.0026814786,-0.010137987,-0.008610469,0.041096892
BaiA%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_861,-0.022917066,-0.020297825,0.02634762,0.019353129,-0.009699035
BaiB%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3065,-0.018324653,-0.017895998,0.018287664,0.018449547,-0.0066431677
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,-0.023187177,-0.022765659,0.02443775,0.021449322,-0.006434454
BaiCD%bai_cluster_1%midas_Clostridium_hiranonis_61655%Clostridium_hiranonis_61655|NZ_DS995354_290,-0.022480683,-0.022606371,0.022728756,0.02190932,-0.0062865233
BaiCD%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3076,-0.014363413,-0.01312801,0.01393703,0.014375451,-0.005965689
BaiE%LiJ_2017__H3M515915__bin_8_fa_COLEEGFP_01274__Bile_acid_7-alpha_dehydratase,-0.0035216599,-0.004151358,0.008462745,0.00823602,-0.019077944
