Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME051950_684,-0.9454551,-0.8108158,1.0,0.9609239,-1.0
12aHSDH%GENOME126416_2228,-0.96601045,-0.9467114,0.36280617,0.8460043,0.9828401
12aHSDH%GENOME136792_1072,-0.43618712,-0.26044062,1.0,0.64527124,-1.0
12aHSDH%GENOME187328_883,-0.93870467,-1.0,0.77184564,1.0,-0.04831852
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,1.0
12aHSDH%MEE0095826_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.9520335,0.80687153,-1.0,-1.0,0.8407529
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,0.729214,0.6435167,1.0
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.03976552,-0.461999,-0.2725139,-0.14575453,1.0
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.89064413,0.9424616,-0.6595825,-1.0,0.42689815
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-1.0,-1.0,1.0,1.0,0.0017385425
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,1.0,1.0,-0.66279286,-0.7721816,-1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.12919715,-0.45442465,0.7861976,0.45028445,-1.0
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.76151246,0.8032518,-0.26679617,-0.67312646,-0.8811499
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,1.0,1.0,-1.0,-1.0,-0.7663421
3aHSDH%GENOME084674_3322,1.0,1.0,-1.0,-1.0,0.6835036
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.6060793,0.54451644,-1.0,-0.70227855,1.0
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,1.0,0.9134286,-1.0,-1.0,1.0
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.96923304,-0.8428943,0.7871282,0.9527355,-0.14481637
3aHSDH%MCI8339304_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.5726671,0.4922539,-0.108122684,-0.19671169,-1.0
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,1.0,1.0,-1.0,-1.0,-0.9199829
3aHSDH%MFR8251798_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerovoracaceae_bacterium_,0.84876066,0.9845131,-0.44382823,-0.6201778,-1.0
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-1.0,-1.0,1.0,1.0,-0.09797242
3aHSDH%WP_034661165_1_SDR_family_oxidoreductase__Cellulomonas_sp__KRMCY2_,0.035199545,-0.08503428,0.5407413,0.18487756,-1.0
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,1.0,1.0,-1.0,-1.0,0.05614326
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,1.0,1.0,-1.0,-1.0,1.0
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,1.0,1.0,-1.0,-1.0,-0.58084935
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-1.0,-1.0,1.0,1.0,0.8204594
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,1.0,1.0,-1.0,-1.0,0.12457445
3aHSDH%WP_231385278_1_SDR_family_NAD(P)-dependent_oxidoreductase__Candidatus_Stoquefichus_massiliensis_,-0.4886828,-0.3978737,0.10494952,0.15835655,1.0
3aHSDH%WP_252528238_1_3-oxoacyl-ACP_reductase__Streptococcus_infantarius_,1.0,1.0,-1.0,-1.0,-0.3041413
3aHSDH%WP_296966155_1_SDR_family_NAD(P)-dependent_oxidoreductase__uncultured_Mediterraneibacter_sp__,0.76851517,0.68993783,-1.0,-0.9510917,1.0
3aHSDH%WP_349134822_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecousia_intestinalis_,0.5001837,0.40506563,-0.79810977,-0.6927973,1.0
3aHSDH%WP_427737837_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bariatricus_sp__SGI_154_,-0.9144103,-1.0,0.3629164,0.60611564,1.0
3bHSDH%GENOME124823_1686,1.0,1.0,-1.0,-1.0,1.0
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,1.0,1.0,-1.0,-1.0,1.0
3bHSDH%MEY8522072_1_aldo_keto_reductase__Lachnospiraceae_bacterium_38-10_,-1.0,-1.0,1.0,1.0,-0.20857736
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0.49594048,0.2660654,-0.83165115,-1.0,1.0
5AR%GENOME006039_2690,1.0,1.0,-1.0,-1.0,-0.07062676
5AR%GENOME084343_2181,1.0,1.0,-1.0,-1.0,-1.0
5AR%MBQ5678765_1_DUF1295_domain-containing_protein__Rikenellaceae_bacterium_,0.015461282,0.042424064,0.65017337,0.19698973,-1.0
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,0.89969933,1.0,-0.8984061,-0.86734974,-0.16712447
5AR%MDE7159808_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,-0.857071,-0.9116325,1.0,1.0,-1.0
5AR%WP_346709278_1_DUF1295_domain-containing_protein__Phocaeicola_salanitronis_,1.0,1.0,-1.0,-1.0,0.13203584
5AR%WP_418203978_1_DUF1295_domain-containing_protein__Bacteroides_sp__,1.0,1.0,-1.0,-1.0,0.61989224
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,-0.58850425,-0.43790624,0.53268343,0.8348369,-0.8615054
5BR%HIX74022_1_NADH_flavin_oxidoreductase__Candidatus_Parabacteroides_intestinipullorum_,1.0,1.0,-1.0,-1.0,0.1970577
5BR%MBO5195292_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,1.0,1.0,-1.0,-1.0,0.76226044
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,-1.0,-1.0,0.75256366,1.0,-0.09269741
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,1.0,1.0,-1.0,-1.0,-1.0
5BR%MDD6582580_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,0.8432201,1.0,-1.0,-1.0,1.0
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,0.9932999,1.0,-1.0,-0.80931526,-0.031812523
5BR%MFO0559492_1_NADH_flavin_oxidoreductase__Polyangiales_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
5BR%WP_295936477_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-1.0,-1.0,0.80662996,1.0,-0.29195613
5BR%WP_300748828_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-0.75599927,-0.51930606,0.7181178,0.7203807,-0.46413356
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,-1.0,-1.0,1.0,1.0,0.72080016
5BR%WP_394671717_1_NADH_flavin_oxidoreductase__Muribaculum_sp__,0.503447,0.5302849,-0.91853225,-0.7818228,1.0
7aHSDH%EOW9602512_1_SDR_family_NAD(P)-dependent_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,1.0
7aHSDH%GENOME025100_397,0.5440651,0.7339882,-0.1534463,-0.23881634,-1.0
7aHSDH%GENOME067790_2714,-0.9611159,-1.0,0.92408705,0.7629316,0.31848782
7aHSDH%GENOME122758_282,-0.068846405,-0.12829576,-0.3206715,-0.14390868,1.0
7aHSDH%GENOME125242_1669,-0.40429747,-0.5451302,-0.26907778,0.09277543,1.0
7aHSDH%GENOME150027_3593,1.0,1.0,-1.0,-1.0,-0.48338434
7aHSDH%HAY2965420_1_SDR_family_oxidoreductase__Escherichia_coli_,1.0,1.0,-1.0,-1.0,0.82555556
7aHSDH%HEX5818085_1_7-alpha-hydroxysteroid_dehydrogenase__Gemmatimonadales_bacterium_,1.0,1.0,-0.79860616,-1.0,-1.0
7aHSDH%MEO8122524_1_7-alpha-hydroxysteroid_dehydrogenase__Burkholderiales_bacterium_,1.0,1.0,-1.0,-1.0,1.0
7aHSDH%WP_025075670_1_7alpha-hydroxysteroid_dehydrogenase__Bacteroides_faecichinchillae_,0.6993788,1.0,-1.0,-1.0,1.0
7aHSDH%WP_221221011_1_7-alpha-hydroxysteroid_dehydrogenase__Phenylobacterium_haematophilum_,-1.0,-1.0,1.0,1.0,-0.24079627
7aHSDH%WP_262434703_1_7alpha-hydroxysteroid_dehydrogenase__Jilunia_laotingensis_,-0.33702675,-0.7674221,0.047642004,0.4200387,0.84589815
7bHSDH%GENOME075272_507,-0.95028037,-1.0,1.0,0.60567695,0.5730113
7bHSDH%WP_394860677_1_7beta-hydroxysteroid_dehydrogenase__Mediterraneibacter_gnavus_,0.7317288,0.42588118,-1.0,-1.0,1.0
BSH1%UPI0001B1C28E,1.0,0.97112995,-1.0,-0.9409893,0.6460955
BSH1%UPI00022FF9E1,-0.83911306,-1.0,1.0,0.8631038,-1.0
BSH1%UPI0002624191,-0.2060465,-0.2449982,-0.47007698,0.14435357,1.0
BSH1%UPI0002802AC4,1.0,1.0,-1.0,-1.0,-0.42363158
BSH1%UPI00033F0DE9,1.0,1.0,-1.0,-1.0,-1.0
BSH1%UPI0003A10C39,-1.0,-1.0,0.7777745,1.0,-0.25760126
BSH1%UPI0004F8D610,0.27129135,0.42186546,-0.78673106,-0.26812166,0.73437315
BSH1%UPI0005DBBD01,-1.0,-1.0,0.8361004,0.83830875,1.0
BSH1%UPI00064A1F29,0.10835222,-0.21124817,-0.44092602,-0.13888536,1.0
BSH1%UPI00070D1B8F,1.0,1.0,-1.0,-1.0,1.0
BSH1%UPI00076E9CCB,-0.7161399,-0.8367063,0.2700553,0.56729424,1.0
BSH1%UPI0007933BD5,-0.027550057,0.052364822,-0.57371134,-0.39566448,1.0
BSH1%UPI00095C7CBB,-0.030053886,0.021788875,-0.7497087,-0.44908318,1.0
BSH1%UPI000BD3EFD5,1.0,1.0,-1.0,-1.0,-0.17390124
BSH1%UPI000FDE1EFA,0.80923504,0.801161,-1.0,-0.8424746,0.96914124
BSH2%UPI000335FD2D,-0.8378143,-0.75944936,1.0,0.92890245,-1.0
BSH2%UPI000396CDDF,1.0,1.0,-0.8914387,-1.0,-0.22390671
BSH2%UPI0005D317A6,0.14851724,0.3261938,0.34692472,0.00014070098,-1.0
BSH2%UPI0005DCCFF2,-1.0,-1.0,1.0,1.0,-0.7348778
BSH2%UPI0006C0EB58,-1.0,-1.0,1.0,1.0,0.094425276
BSH2%UPI0006C28698,-1.0,-1.0,1.0,1.0,-0.5191938
BSH2%UPI0006C52F45,0.9805083,0.98307997,-1.0,-1.0,1.0
BSH2%UPI0006CAB5AD,1.0,1.0,-1.0,-1.0,1.0
BSH2%UPI0006CABE2C,1.0,1.0,-1.0,-0.9260926,-0.25542843
BSH2%UPI000821232B,-1.0,-1.0,1.0,1.0,0.38758957
BSH2%UPI0008219BA0,1.0,1.0,-1.0,-1.0,1.0
BSH2%UPI000821B1D8,0.9000647,1.0,-0.696154,-1.0,-0.39633402
BSH2%UPI000960BD65,0.74848753,0.44018608,-1.0,-0.83528024,1.0
BSH2%UPI000965B48B,0.676061,0.9228692,-0.47109795,-0.5536194,-0.7866116
BSH2%UPI000966A84B,0.9987609,1.0,-1.0,-0.98415786,0.9445426
BSH2%UPI000D58F0CE,-1.0,-1.0,1.0,1.0,0.37559155
BSH2%UPI000D7AF0AB,-1.0,-1.0,1.0,1.0,-1.0
BSH2%UPI000DC2EE55,1.0,1.0,-0.26583892,-0.8375914,-1.0
BSH2%UPI000E53BC4B,1.0,1.0,-1.0,-1.0,-0.910082
BSH3%UPI000238BE2F,1.0,1.0,-1.0,-1.0,-0.049428266
BSH3%UPI00033CE23D,1.0,1.0,-1.0,-1.0,0.4549747
BSH3%UPI0004DA32C0,0.8973075,0.72725034,-1.0,-0.6446837,0.18351981
BSH3%UPI00092A5378,1.0,1.0,-1.0,-1.0,0.5682097
BSH3%UPI0009648BEC,1.0,1.0,-1.0,-1.0,0.84161884
BSH3%UPI000C9D0DE6,-0.7309335,-0.8566393,1.0,1.0,-1.0
BSH4%UPI0001653940,1.0,1.0,-1.0,-1.0,1.0
BSH4%UPI0001FAB233,-0.3937135,-0.4690177,0.041145083,-0.22415109,1.0
BSH4%UPI000822CCAE,-1.0,-1.0,1.0,1.0,-0.61027575
BSH4%UPI000E54B9B5,-0.006492124,-0.13819747,-0.49271572,-0.40016353,1.0
BaiA%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_861,-1.0,-1.0,1.0,0.96702665,-0.49101838
BaiB%CosteaPI_2017__SID713A038-11-90-0__bin_26_fa_FGHNBBEK_00429__Bile_acid-coenzyme_A_ligase,-0.7072214,-0.81050754,0.6182377,0.7137176,0.0646405
BaiB%bai_cluster_10%midas_Lachnoclostridium_nov_76594%Lachnoclostridium_nov_76594|ERS138182_8080_1_84_3_3065,-0.90381455,-0.8744588,0.90489894,0.8934742,-0.31385288
BaiCD%MEI3381486_1_FAD-dependent_oxidoreductase__Dorea_sp__,-1.0,-1.0,1.0,1.0,-0.3500979
BaiCD%SRR5580120_bin_52_JEIALLOE_00740__Metal_reductase,0.38184547,0.6719481,-0.03801219,-0.30572167,-1.0
BaiE%FengQ_2015__SID531416__bin_49_fa_CEDOFBAM_00064__Bile_acid_7-alpha_dehydratase,0.68392277,0.7304624,-0.30691633,-0.45327377,-1.0
BaiF%ERR688512_bin_36_KMFCMBJN_00514__Bile_acid-CoA_transferase,-1.0,-0.9768555,1.0,1.0,-0.76908314
BaiF%LiJ_2014__MH0358__bin_56_fa_NPCPOAJM_00305__Bile_acid-CoA_transferase,-1.0,-1.0,0.9881177,1.0,-0.09941839
BaiF%SRR5127813_bin_22_DKEDJIEF_00985__Bile_acid-CoA_transferase,-0.95830077,-0.80254996,0.8064837,0.9719278,-0.30852214
BaiF%bai_cluster_17%midas_Proteocatella_sphenisci_59007%Proteocatella_sphenisci_59007|AUID01000012_911,-0.7734199,-0.61127734,0.6529144,0.6716132,-0.06534385
BaiF%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_892,-0.8582187,-0.757718,0.82482654,0.8149211,-0.2755145
BaiG%MBR4017991_1_MFS_transporter__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,0.7893387
BaiH%MFR3389927_1_7-beta-dihydroxy-3-oxo-5-beta-cholanoyl-CoA_4-oxidoreductase_BaiH___Clostridium__scindens_,-0.84300905,-0.89724135,1.0,0.85549587,-0.50298035
BaiH%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01962__NADH_oxidase,-1.0,-1.0,1.0,1.0,-0.5623059
BaiH%bai_cluster_11%midas_Romboutsia_sp_25236%Romboutsia_sp_25236|FJTZ01000011_310,1.0,1.0,-1.0,-1.0,-0.64883876
BaiH%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_836,-1.0,-1.0,1.0,1.0,-0.96392095
