Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME051950_684,-0.01884952,-0.01616522,0.026484722,0.019157922,-0.023870908
12aHSDH%GENOME126416_2228,-0.019259332,-0.018874567,0.0072332597,0.016866772,0.019594865
12aHSDH%GENOME136792_1072,-0.008696254,-0.0051923995,0.020989086,0.01286476,-0.038715173
12aHSDH%GENOME187328_883,-0.018714936,-0.022114087,0.015388272,0.021582577,-0.0009633254
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.021984499,0.02862557,-0.03533332,-0.030006383,0.037559483
12aHSDH%MEE0095826_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.018980674,0.016086582,-0.020593336,-0.020473333,0.016762074
12aHSDH%MFR3407498_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,-0.029578347,-0.027333278,0.04007722,0.030374652,-0.0324374
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.020854697,-0.023698725,0.014538325,0.012829781,0.026551198
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.00079280435,-0.009210865,-0.005433104,-0.0029059052,0.028400801
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.017756755,0.018789839,-0.013150084,-0.023165897,0.00851106
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.03512938,-0.035300072,0.036481105,0.02919564,3.4661287e-05
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.026950978,0.021295179,-0.013214089,-0.015394969,-0.031927977
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.0025758012,-0.009059856,0.015674407,0.008977313,-0.028154451
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.0151822595,0.016014416,-0.00531911,-0.013420109,-0.017567469
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.034637358,0.029314954,-0.021599976,-0.029301208,-0.015278548
3aHSDH%GENOME084674_3322,0.041372504,0.041174892,-0.037360534,-0.044737473,0.013626998
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.012083391,0.010856014,-0.021743681,-0.014001314,0.026949875
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.02006134,0.018211009,-0.02503778,-0.023247572,0.024966648
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.01932358,-0.016804768,0.01569296,0.018994668,-0.002887201
3aHSDH%MCI8339304_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.011417254,0.009814057,-0.00215564,-0.003921837,-0.027150225
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,0.062497325,0.06712275,-0.05100095,-0.057375297,-0.018341681
3aHSDH%MFR8251798_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerovoracaceae_bacterium_,0.016921725,0.01962822,-0.0088485945,-0.012364473,-0.022853475
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.035772048,-0.03003507,0.03052709,0.03162738,-0.0019532742
3aHSDH%WP_034661165_1_SDR_family_oxidoreductase__Cellulomonas_sp__KRMCY2_,0.00070177263,-0.0016953268,0.010780749,0.0036859002,-0.025718307
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,0.030535107,0.03132233,-0.024562294,-0.031827547,0.0011193271
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.024693608,0.024123918,-0.025852127,-0.03195475,0.026828298
3aHSDH%WP_066586045_1_SDR_family_oxidoreductase__Cellulomonas_timonensis_,0.04877315,0.043116406,-0.038383327,-0.040702306,-0.0115803825
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-0.035118565,-0.026510157,0.02195349,0.027079925,0.016357483
