Sample,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,LCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0.043307025,0.4649191,-0.91982144,-0.0039232764,0.12979041,-0.61544377,0.42882496,1.0,-0.47378558,-0.2871,0.50824434,0.80926865,1.0,-0.27687103,-1.0,-1.0
12aHSDH%GENOME015584_936,0.3238256,0.6374775,-0.56272906,-0.32801545,-0.56282,0.31275752,0.5090153,0.9509975,-0.33427206,0.15099692,0.2891904,1.0,0.40384284,-0.55725133,-1.0,-1.0
12aHSDH%GENOME051950_684,0.21649955,0.28556022,0.34449163,0.08703914,-0.58664554,-0.107256465,0.12270676,0.73563576,-1.0,-0.05486249,0.8956799,0.4635015,0.5055457,-0.28560436,0.32169476,-1.0
12aHSDH%GENOME126416_2228,-0.9122831,-0.84054655,-0.04380478,0.042934112,-0.06653623,-0.6731108,1.0,-0.22288531,1.0,-0.9158632,0.788732,0.627592,-0.41251874,0.7717181,-0.20936954,-0.8051007
12aHSDH%GENOME136792_1072,0.96970224,0.5830168,-0.3325961,-0.4625368,-0.4609288,0.8596893,0.45312575,0.8646031,-1.0,1.0,-0.804199,-0.109184474,-0.58673906,-0.022287771,-0.16529785,-0.1500469
12aHSDH%GENOME187328_883,-0.30046132,-0.44751054,-1.0,-0.14875333,-0.49482945,-1.0,-0.16079293,1.0,1.0,-0.7902987,1.0,0.54949385,0.43990958,1.0,-1.0,-1.0
12aHSDH%GENOME211747_1057,0.73103714,0.73608595,-0.83764756,-0.33905604,-0.27373216,0.36891094,0.19151549,-1.0,-0.39855272,0.45997176,0.26334032,0.7509283,1.0,-0.41529447,-0.12546794,-1.0
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.65317035,0.95173305,-0.74994075,-1.0,-0.48590448,0.6689432,-0.031109584,1.0,-0.045669686,0.96641195,-0.6549388,-1.0,0.08190841,-0.24366379,0.39440686,-0.24776942
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,0.05259539,-0.2582129,-0.18061373,-0.4752539,1.0,-0.109068304,-0.87192446,-1.0,0.569637,-0.6191412,1.0,-0.008389499,0.24812025,0.03226117,0.061058167
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,1.0,-0.3128061,0.11275955,0.4903399,-0.14184733,-0.83832574,-0.46240044,-1.0,0.70106816,-1.0,-0.3295534,0.21212906,-1.0,1.0,1.0
