Sample,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,LCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0.0027177304,0.029175974,-0.05772335,-0.00024620502,0.008144991,-0.038622145,0.02691089,0.09233961,-0.029732391,-0.018016946,0.031894848,0.050785616,0.072000906,-0.017375028,-0.08097798,-0.08511624
12aHSDH%GENOME015584_936,0.02032166,0.04000487,-0.035314035,-0.020584593,-0.03531974,0.019627083,0.03194323,0.0596798,-0.020977227,0.009475805,0.01814813,0.07815364,0.025343137,-0.03497028,-0.067007005,-0.1003294
12aHSDH%GENOME051950_684,0.013586419,0.017920317,0.021618556,0.005462137,-0.036814913,-0.006730874,0.007700457,0.046164785,-0.08708474,-0.003442893,0.05620835,0.029087014,0.031725496,-0.017923087,0.020187939,-0.089250706
12aHSDH%GENOME126416_2228,-0.057250284,-0.052748457,-0.002748967,0.002694328,-0.004175478,-0.042241033,0.06338987,-0.013987157,0.11567586,-0.057474952,0.049496837,0.039384507,-0.025887594,0.04842913,-0.013138975,-0.050524052
12aHSDH%GENOME136792_1072,0.060853615,0.036587194,-0.02087205,-0.029026475,-0.028925564,0.05394976,0.028435884,0.054258127,-0.09813459,0.06592191,-0.05046747,-0.0068518664,-0.03682078,-0.001398668,-0.010373259,-0.009416186
12aHSDH%GENOME187328_883,-0.018855436,-0.028083501,-0.078102656,-0.009335008,-0.031052997,-0.08581856,-0.010090552,0.070392445,0.105523676,-0.049595155,0.11782591,0.03448346,0.027606504,0.124933645,-0.12015591,-0.09499373
12aHSDH%GENOME211747_1057,0.0458762,0.046193037,-0.052566532,-0.021277446,-0.017178047,0.023150988,0.0120185455,-0.08473628,-0.025011156,0.028865505,0.01652591,0.047124468,0.07012716,-0.026061784,-0.007873734,-0.06443642
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.040989675,0.059725963,-0.047062494,-0.0666335,-0.030492913,0.0419795,-0.0019522804,0.075211026,-0.002865999,0.060647134,-0.041100655,-0.077744335,0.0051401583,-0.015291109,0.024750983,-0.015548757
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.06810352,0.003300621,-0.016204137,-0.011334405,-0.029824536,0.0635486,-0.006844576,-0.054717578,-0.08264054,0.035747543,-0.038854178,0.06304115,-0.0005264826,0.015570774,0.0020245481,0.0038317023
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.17755957,0.0894021,-0.019630132,0.00707622,0.030771257,-0.008901622,-0.05260909,-0.029017918,-0.105389364,0.0439955,-0.124274194,-0.020681107,0.013312149,-0.08509207,0.066796854,0.06556126
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.003486848,-0.0004281436,-0.02740678,-0.0027360525,-0.03751513,-0.016175186,0.001035313,-0.0043898155,0.06672485,-0.013169413,0.017331809,0.017243983,-0.0077875443,0.059101276,-0.04946505,-0.016863225
12aHSDH%MBR2608425_1_SDR_family_oxidoreductase__Bacteroidales_bacterium_,0.013871806,0.024264904,-0.041690335,0.0036031622,-0.00945201,0.062109824,0.043037172,0.073236585,-0.033046003,0.04014284,-0.030037202,0.0051686913,-0.07809332,-0.010037479,-0.027044585,-0.042415496
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.016712273,0.0037149794,0.031595297,0.022680819,0.011091896,-0.055482578,-0.050322633,-0.025178926,0.019678572,-0.052067462,0.04564176,-0.011685324,0.014221548,0.018056417,-0.021274088,0.012695661
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.03621155,-0.078921825,0.0639052,0.074766345,0.047849122,-0.08359681,-0.005454925,-0.12006862,0.13091363,-0.10787876,0.054718975,-0.012407545,-0.061470147,0.0821151,-0.0014757217,0.037265863
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.057006717,0.018436365,0.002037544,-0.016213857,-0.030603407,0.043564502,-0.01928075,-0.038472082,-0.038492464,0.021230584,-0.05116345,0.018385421,0.0103451125,-0.019085504,0.012850549,0.04720943
12aHSDH%MCI8718619_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.07716166,-0.09216781,0.06055697,0.058306903,0.062972754,-0.046389576,-0.053482395,-0.08929063,0.042938057,-0.06728517,0.045832742,-0.001264793,-0.026851855,0.07210012,0.00015767416,0.08773002
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,0.0064562447,0.017514668,-0.016034294,-0.008812409,-0.01326483,-0.0010719323,-0.0047820127,-0.027150553,0.015420153,-0.008972158,0.0010230351,0.052939232,-0.0040244674,0.04319402,-0.032209035,-0.036741633
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.039235003,0.033901367,0.016677588,-0.0177778,-0.01627359,0.025183402,0.026332937,-0.002647616,0.036208306,0.038490266,-0.081103936,-0.025811756,-0.08329409,-0.029087257,0.053482804,0.01735645
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.06257512,-0.068601996,0.033873316,0.0398098,0.0053309565,0.013289405,0.017010663,-0.09270491,-0.019382063,-0.021822419,0.03684592,0.14291754,0.001469379,0.025278384,-0.043128785,-0.023637224
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,-0.0202621,-0.040981688,0.07630638,0.048498087,0.03844826,-0.00042496377,-0.036038682,-0.02009535,0.025842639,-0.0296134,0.008017484,-0.033205032,-0.090439804,-0.0031008553,0.033421513,0.044117082
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,0.00057370047,-0.040156353,0.10238134,0.06499777,0.063381255,-0.041810837,-0.059980728,-0.06257372,0.026471097,-0.037735306,-0.0026830442,-0.08224102,-0.036928505,0.055010393,-0.016552152,0.04323765
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,-0.032652315,-0.027949164,-0.0049387347,-0.017688183,-0.0450699,-0.041829415,0.007399534,0.07852563,0.040024508,-0.019952727,0.036780465,-0.019979069,0.02820575,0.039844286,-0.0343805,0.014741943
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,-0.0030186784,-0.024491182,0.0105216075,-0.034663744,-0.024486315,-0.0058138305,0.0053770407,-0.011915673,-0.085993044,-0.010651257,-0.024311883,0.09688592,0.055455815,0.04699671,-0.014261385,0.03803969
12aHSDH%WP_165061273_1_SDR_family_NAD(P)-dependent_oxidoreductase__Xiamenia_xianingshaonis_,-0.04910357,-0.044002265,0.03996948,0.024682246,-0.052062795,-0.008728252,0.008118556,-0.043325286,0.047350384,-0.023741214,0.0023293048,0.0014354539,0.013076437,0.03431435,0.010481992,0.05127258
12aHSDH%WP_251178417_1_SDR_family_NAD(P)-dependent_oxidoreductase__Adlercreutzia_agrestimuris_,0.003498302,0.0050959866,-0.041988418,-0.0457187,-0.014370287,-0.0035358733,0.025324585,0.04616662,-0.015793253,0.008436115,-0.006801762,0.017301226,0.06651484,0.00044015146,-0.03401293,-0.007899876
