Sample,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
LCA,0.5947472234549028,0.6079430172556033,0.6306748618790773,0.6058748763447623,0.6356157974321901,0.6159952052281397,0.6089759575793784,0.6183443722081038,0.630408150810794,0.6209387777550913,0.6169518239948043
3oxoDCA,0.5657043470137024,0.584488265089706,0.5766210419964453,0.572460273989116,0.5755711496979911,0.5842705263927176,0.5697408005400522,0.5682166296611337,0.5758363539240807,0.5780001793142209,0.5750909567619165
DCA,0.5486111058790201,0.5541611823889324,0.5733195507500682,0.5479224789965034,0.5736359876107435,0.551819926330485,0.5622890891817017,0.5629682983005079,0.5757828610262047,0.5617017974367107,0.5612212277900878
CA,0.4692521316166382,0.47545354066477347,0.4754814172453568,0.4662670772309363,0.47260297194485856,0.4773487714338884,0.4825300483168949,0.477574797762942,0.47959924025016587,0.4786706487483038,0.47547806452147584
7oxoDCA,0.4499246202192605,0.46025138648317343,0.45172265966688235,0.4504930764368305,0.44713470189764165,0.4604077213607688,0.4604947414974545,0.44440468055322196,0.45387518374056995,0.4516529682154241,0.45303617400712276
CDCA,0.4490378435882734,0.4359765354533598,0.44474635702064136,0.4371296464420818,0.4292586562433369,0.43771091081829816,0.439325492228838,0.43314291870812377,0.44481567176155123,0.4348181505169599,0.4385962182781464
3oxoLCA,0.38372376870273694,0.3855677668372663,0.3871593689043524,0.38309729906070983,0.37334878348862593,0.38285997141520356,0.3787756756492041,0.3791926942263081,0.37698479370200233,0.3824971991570725,0.38132073211434825
GDCA,0.3889736069055563,0.37642462511649766,0.37542370518933843,0.37487446120973805,0.39153410850318576,0.39094493320545254,0.38810302882815134,0.3767595207940455,0.3787161553825533,0.3579081715298742,0.3799662316664393
GUDCA,0.27711694376238905,0.2625770467249161,0.2722046382109564,0.27185467411147163,0.2983954390900481,0.2842593757604844,0.26407484786544494,0.26778017281973115,0.3029332943563485,0.2805728863336194,0.2781769319035409
TCDCA,0.26885794169876864,0.24362134863883173,0.26684028000141635,0.27741341496399774,0.2395803745859009,0.2522868213842003,0.2653074447798842,0.27431836109815644,0.2490915625124785,0.25728087312464065,0.25945984227882757
isoUDCA,0.20969366651623356,0.23141253647499885,0.21814742793338848,0.2237291481293684,0.21785171015287666,0.2236477786509091,0.2111892073934719,0.2110042425141963,0.2189554720597553,0.21845143334596565,0.2184082623171164
TUDCA,0.151511852443985,0.15636087062328266,0.18338570865658232,0.15318482398953046,0.15368321204509375,0.15913157670693198,0.14547468919496198,0.14276953074673823,0.14582503000499517,0.15896770761836806,0.15502950020304695
TDCA,0.15230369801676963,0.13174547325769487,0.15986766911855005,0.17175251021073937,0.1337510802174976,0.14446510492518905,0.1571945310669422,0.12604433581786495,0.13313289820753585,0.16612407790675507,0.14763813787455388
GLCA,0.11396172168775365,0.09506554386832004,0.11259539252862433,0.12100884591709803,0.12640710807599606,0.12078771682517389,0.12726412457365782,0.11497959358959192,0.11368672298740505,0.12638186846925173,0.11721386385228724
TLCA,0.04555824359460218,0.07054733782422534,0.05378334170886452,0.06503756934299418,0.04433092062784086,0.03946118336837997,0.06645211745232163,0.06671468470457227,0.047091078816134356,0.036254246469657095,0.053523072390959235
UDCA,0.05093465654169168,0.03691462006104217,0.044959273822610016,0.01721717890511339,0.008026194944695123,0.058610510676353644,0.021901951285298715,0.03954669666287193,0.05026072137056339,0.02078199082483788,0.034915379509507787
