Sample,CA,CDCA,DCA,LCA,UDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,1.0,1.0,-1.0,-0.7591219,-1.0
12aHSDH%GENOME015584_936,0.037446626,-1.0,1.0,0.48060456,-1.0
12aHSDH%GENOME051950_684,0.08681282,-1.0,0.33046624,0.826986,1.0
12aHSDH%GENOME055489_1547,-0.1565559,-0.7017608,-0.10201219,-0.25102577,1.0
12aHSDH%GENOME126416_2228,0.8563509,0.64731735,-0.98299146,-1.0,1.0
12aHSDH%GENOME136792_1072,-1.0,-1.0,1.0,1.0,-0.65373415
12aHSDH%GENOME187328_883,1.0,0.57635474,-1.0,-0.3419181,-0.33307645
12aHSDH%GENOME211747_1057,-1.0,-1.0,1.0,1.0,0.21894555
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,-1.0,1.0,1.0,1.0
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.8729346,-1.0,1.0,0.79344046,-1.0
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.0699466,0.7247993,-1.0,0.14179347,0.52258444
12aHSDH%MBR2608425_1_SDR_family_oxidoreductase__Bacteroidales_bacterium_,0.12805471,-0.2917902,1.0,0.55001134,-1.0
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,0.088779844
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,1.0,1.0,-1.0,-1.0,0.35774034
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.34119123,-1.0,1.0,0.5244636,-0.05108645
12aHSDH%MCI8718619_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,1.0,1.0,-1.0,-1.0,-0.13965918
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,1.0,0.5208023,0.49035874,-1.0,-1.0
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,1.0,0.95104504,-0.6522088,-1.0,-0.26182827
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,1.0,1.0,-1.0,-1.0,-1.0
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,0.30235323,1.0,-0.98748785,-0.7959079,-0.333259
12aHSDH%WP_256285936_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_phocaeensis_,1.0,1.0,-1.0,-1.0,-1.0
12aHSDH%WP_278514144_1_SDR_family_NAD(P)-dependent_oxidoreductase__Methanobrevibacter_smithii_,-1.0,-1.0,1.0,1.0,1.0
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-1.0,-1.0,1.0,1.0,1.0
12bHSDH%GENOME225741_180,-1.0,-1.0,1.0,1.0,-1.0
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,-1.0,-0.58046323,0.8294177,1.0,0.50806165
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.50220096,1.0,-1.0,-1.0,1.0
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,-1.0,-1.0,1.0,0.94846684,1.0
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,1.0
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,1.0,0.28703174,-1.0,-1.0,1.0
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,1.0,1.0,-1.0,-1.0,-1.0
3aHSDH%3aHSDH%MED9821234_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,1.0,1.0,-1.0,-1.0,-0.84981114
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,-0.41673335,-0.40562022,-0.7780916,-1.0,1.0
3aHSDH%3aHSDH%WP_117548394_1_SDR_family_NAD(P)-dependent_oxidoreductase__Longicatena_caecimuris_,-1.0,0.21168086,1.0,1.0,-1.0
