Sample,CA,CDCA,DCA,LCA,UDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0.045427606,0.050492827,-0.040411714,-0.023399372,-0.06866747
12aHSDH%GENOME015584_936,0.0011542646,-0.03588361,0.039816726,0.01481428,-0.051752165
12aHSDH%GENOME051950_684,0.002675941,-0.050030183,0.010186378,0.025491232,0.045413006
12aHSDH%GENOME055489_1547,-0.00482572,-0.02163126,-0.0031444503,-0.0077376836,0.06282696
12aHSDH%GENOME126416_2228,0.026396383,0.01995308,-0.030299986,-0.047400407,0.045291867
12aHSDH%GENOME136792_1072,-0.076979816,-0.07513374,0.06969708,0.09456426,-0.020150872
12aHSDH%GENOME187328_883,0.05668194,0.017765708,-0.05394478,-0.010539373,-0.010266835
12aHSDH%GENOME211747_1057,-0.050713796,-0.05308032,0.03959224,0.051750492,0.0067488346
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.13499315,-0.06649246,0.08098445,0.10762201,0.040843
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.026907563,-0.040426582,0.06952089,0.024457216,-0.051070318
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.0021560523,0.022341402,-0.04591048,0.004370679,0.016108278
12aHSDH%MBR2608425_1_SDR_family_oxidoreductase__Bacteroidales_bacterium_,0.003947192,-0.008994217,0.04650082,0.016953694,-0.10831819
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.06507399,0.043435656,-0.059166137,-0.06396559,0.002736573
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,0.11227244,0.066314235,-0.08537664,-0.1117099,0.011027082
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.010516968,-0.040122677,0.03944183,0.016166203,-0.0015747021
12aHSDH%MCI8718619_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.068470456,0.07968306,-0.066824496,-0.083105326,-0.004304891
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.07584082,0.016053347,0.015114945,-0.04668511,-0.09906506
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,0.03779314,0.02931526,-0.020103855,-0.06257407,-0.008070663
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,0.07006702,0.07149436,-0.06939844,-0.058648404,-0.035660397
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,0.009319815,0.041031957,-0.030438583,-0.024533274,-0.010272462
12aHSDH%WP_256285936_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_phocaeensis_,0.065821566,0.045896173,-0.037404448,-0.05286157,-0.07320974
12aHSDH%WP_278514144_1_SDR_family_NAD(P)-dependent_oxidoreductase__Methanobrevibacter_smithii_,-0.048994694,-0.09217701,0.04153189,0.052332312,0.11312782
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.099977896,-0.08424122,0.07995288,0.07677199,0.059672777
12bHSDH%GENOME225741_180,-0.07414578,-0.044747707,0.06456197,0.09255209,-0.048152156
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,-0.057014987,-0.01789235,0.025566187,0.04393685,0.015660625
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.015479973,0.031287923,-0.03853845,-0.082310945,0.118518084
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,-0.08054161,-0.08030381,0.05674903,0.02923579,0.1483826
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,0.050878696,0.084743015,-0.09088032,-0.10963613,0.08100778
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.0373456,0.008847541,-0.0367658,-0.101699874,0.16363253
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,0.15763578,0.124316074,-0.12258911,-0.0993734,-0.12778963
3aHSDH%3aHSDH%MED9821234_1_SDR_family_NAD(P)-dependent_oxidoreductase__Christensenellales_bacterium_,0.04688532,0.04555227,-0.04238315,-0.040354915,-0.0261948
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,-0.012845498,-0.012502943,-0.023984099,-0.04833155,0.17948833
3aHSDH%3aHSDH%WP_117548394_1_SDR_family_NAD(P)-dependent_oxidoreductase__Longicatena_caecimuris_,-0.041590355,0.006524906,0.038322374,0.062302016,-0.099388935
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,-0.08003715,-0.057161517,0.07041431,0.088308975,-0.040892437
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,0.0883627,0.103997305,-0.09098324,-0.14296143,0.04030541
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,0.057345252,0.03381021,-0.10120415,-0.09088701,0.17557564
3aHSDH%GENOME060426_131,-0.089174405,-0.03383284,0.05473999,0.040865622,0.058129888
3aHSDH%GENOME084620_3418,0.047719285,0.013095596,-0.003338383,-0.044319797,-0.038180877
3aHSDH%GENOME084674_3322,0.04264995,0.0684242,-0.01607486,-0.03643422,-0.10250159
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.05192901,-0.06484954,0.038171988,0.032718215,0.085197866
3aHSDH%MCI6529002_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.020706339,0.022615053,-0.015226438,-0.019838827,0.05082902
3aHSDH%MCI6633699_1_3-oxoacyl-ACP_reductase_FabG__Clostridiales_bacterium_,0.006261591,-0.019022658,0.021167332,0.023634374,-0.048131343
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.047694653,0.04677161,-0.051410146,-0.11268813,0.12693602
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.042105068,-0.04378099,0.019927895,0.01990038,0.09523355
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,0.0562879,0.07792804,-0.065649316,-0.09627791,0.046005096
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.11070337,0.11918382,-0.19814444,-0.10552339,0.10801599
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,-0.00040222614,0.048339617,-0.025252428,-0.07793711,0.09151067
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,0.06516799,0.05172874,-0.036274582,-0.015149673,-0.13047294
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.0031109592,0.023559267,-0.06349689,-0.115337946,0.26899585
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.03856799,-0.05059704,0.033321667,0.037920084,0.026720082
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.040594496,-0.081855305,0.040896624,0.045972157,0.08576929
3aHSDH%MFR0796835_1_SDR_family_NAD(P)-dependent_oxidoreductase__Oscillospiraceae_bacterium_,0.00629817,-0.06384828,0.018296998,-0.007012799,0.10838236
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.058252163,0.04004216,-0.05828777,-0.06328233,0.05177992
3aHSDH%WP_008977467_1_SDR_family_NAD(P)-dependent_oxidoreductase__Faecalimonas_umbilicata_,0.06829596,0.07624179,-0.09881065,-0.09309802,0.057606384
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,0.111460574,0.04114265,-0.06662014,-0.11028311,0.051086754
3aHSDH%WP_021919520_1_SDR_family_oxidoreductase__Evtepia_gabavorous_,-0.10123598,-0.10079773,0.08725319,0.10414894,0.041299324
3aHSDH%WP_037602854_1_3-oxoacyl-ACP_reductase__Streptococcus_sp__oral_taxon_056_,0.055766407,0.06490341,-0.06551691,-0.040443197,-0.022474315
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.08091763,0.066348374,-0.057997055,-0.11973346,0.04336446
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,0.10124714,0.09071886,-0.1206472,-0.12858552,0.05028699
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,0.12365037,0.09916547,-0.08966568,-0.08996482,-0.083062515
3aHSDH%WP_109137584_1_SDR_family_oxidoreductase__Bifidobacterium_catulorum_,-0.03891553,-0.0075085317,0.00042324836,-0.0016435066,0.060796313
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,-0.032112014,0.006214249,0.025355833,0.017092928,-0.056630693
3aHSDH%WP_138309742_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Clostridium_,0.023510732,0.022661556,0.0019449649,-0.010033885,-0.08205637
