Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0.11701009,0.5574548,-1.0,1.0,0.7508029,-1.0,-0.22588214,-0.83892715,0.12448478,0.25693658,-0.63709074,0.48737085,1.0,-0.35920727,0.60988045,-1.0,-0.064342216,-1.0,-0.15685941,0.7254415,0.7767757,-1.0,0.7952226,0.921169,1.0,0.057081625,-0.8779709,-0.47130436,-0.28809863,0.22515877,-1.0,-1.0,0.35461432
12aHSDH%GENOME015584_936,0.3126452,0.56046176,-1.0,1.0,-0.7385862,1.0,-0.47435883,1.0,-0.7644565,-0.97073865,0.23605442,0.35057113,0.9101056,-0.6368379,1.0,-0.039060697,0.20473194,1.0,0.097603135,-1.0,-0.8555895,0.6609906,0.18022245,1.0,0.32115763,-1.0,1.0,-1.0,0.38093427,-1.0,-1.0,-0.9317581,0.5964654
12aHSDH%GENOME051950_684,0.55339,0.5699611,0.7350282,0.8144609,-0.71102667,-1.0,-1.0,-0.06234918,0.4314459,-0.48935187,0.19326949,0.5576864,1.0,-1.0,-0.38574353,-0.60202163,-1.0,-0.49051672,0.33602875,-1.0,-0.48709044,-0.8964487,1.0,0.86814326,0.9191789,-0.802083,0.23072869,-0.22351386,0.21650712,-0.23386374,0.87119657,-0.40729877,0.5157503
12aHSDH%GENOME055489_1547,-0.1849221,-0.12709846,-0.27496353,0.10200995,1.0,-1.0,0.6131695,0.6587702,-0.2363019,-0.4217614,-0.18547337,-0.63861364,0.2036095,0.0036340824,0.72652996,0.68816566,0.8136391,0.24546902,-0.28745094,-0.07491859,-0.18614648,-0.47026858,-0.41973647,-0.2837454,-0.6254812,0.77743477,0.47006422,0.34176522,-0.15670802,-0.60846704,0.2769662,-0.1611934,-0.14995633
12aHSDH%GENOME077010_272,-0.96026355,-0.5346744,-0.47502476,-0.22361337,0.30618402,-1.0,0.5888551,-0.36304715,-0.10899738,-0.109413214,-0.011578177,-0.39834538,-0.53599447,0.472123,0.16836727,1.0,0.5257467,0.261258,-0.33237803,0.8155553,0.22061855,-0.15016049,0.40433046,0.7928958,0.5820124,0.080432154,-0.88320476,-0.6760668,0.0722234,0.5120273,0.36578062,-0.31624323,-0.42498994
12aHSDH%GENOME126416_2228,0.023048216,-0.23883139,0.84839815,-1.0,-0.4110156,-1.0,-1.0,-0.35642993,0.9859306,0.55978674,0.21701372,1.0,0.84121484,1.0,-1.0,-0.50361913,-1.0,-0.55036455,-0.12804773,-1.0,-0.69428456,-0.7641918,1.0,1.0,0.43955353,-0.84983116,-1.0,-1.0,-0.22509977,-0.32389054,1.0,0.9294351,-0.27657953
12aHSDH%GENOME136792_1072,0.71137,0.40558693,-1.0,0.86886716,-1.0,-0.19702229,0.71603465,-0.32901436,-1.0,-1.0,0.5131244,0.10406891,0.5162315,-1.0,-0.2406306,-0.60257125,-1.0,0.1596949,0.77902037,1.0,1.0,1.0,-1.0,-0.6663411,-1.0,-0.25149217,1.0,1.0,0.957814,0.5752115,-0.8757857,0.027705727,0.68952334
12aHSDH%GENOME187328_883,0.39849776,0.2450288,-1.0,1.0,-0.89758295,-0.90910023,-1.0,1.0,0.41979817,-0.10922232,-0.73723227,0.6382081,1.0,1.0,-0.22876006,-1.0,0.47002098,0.35177988,-0.10582855,-0.69955313,-0.28273433,-0.28702512,1.0,1.0,1.0,-1.0,-0.7351194,-1.0,-0.07213558,-1.0,-0.9848037,-1.0,0.32550293
12aHSDH%GENOME211747_1057,0.53430766,0.71179867,-1.0,0.42180577,-1.0,0.5300189,-0.58530056,1.0,-0.69488287,-0.53842986,0.33485162,0.008990867,-1.0,-0.529948,-0.63696826,-0.70436066,-1.0,1.0,0.52204317,-0.33528298,-0.060286637,1.0,0.1615488,0.65586114,1.0,-0.7954779,0.81226426,0.3435267,1.0,-0.4953826,-0.36619204,-1.0,0.7284765
12aHSDH%GENOME225739_454,-0.18229741,-0.16945387,-0.85713995,0.57752657,-1.0,0.030189833,0.6150328,0.55591124,-0.38988638,-0.18625131,-0.48479995,-0.52836555,-0.3863055,-1.0,-0.41363856,0.38838407,-0.08795214,0.8193623,-0.4553563,1.0,0.49735957,1.0,-0.007785151,0.045428734,-0.051051263,-0.39707103,1.0,0.6826187,0.98127073,1.0,-0.6856699,-0.87218857,0.18899009
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,1.0,-1.0,0.46192044,-0.8984773,0.61880857,-1.0,0.91876864,-1.0,-0.6839049,1.0,0.34698117,1.0,-0.035112828,-0.6543938,-1.0,-1.0,1.0,1.0,-1.0,-0.25585872,0.93037057,-0.86757714,-1.0,0.27466995,-1.0,1.0,-1.0,1.0,-1.0,0.5814311,-0.7373004,1.0
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.6024214,-0.19665004,-0.50773,-0.08969436,0.1273662,0.36242315,0.46211225,0.7831242,-0.41728178,-0.56381416,0.80420303,-0.36993876,-1.0,-1.0,0.8378661,-0.024766695,0.4853162,0.8565914,0.37429312,0.34046316,-0.030138915,0.7394988,-0.85878074,0.90640795,-0.16453166,0.354,0.46509376,0.28253385,-0.37714103,0.20508018,-0.45252025,-0.47803783,-0.45124
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,0.73439926,-1.0,-0.6344662,1.0,1.0,-0.34938207,0.3031464,-1.0,-0.37304467,-0.82433707,-1.0,-1.0,-1.0,1.0,0.5876936,0.37566116,0.5240617,-0.31921083,0.78008944,1.0,1.0,-1.0,-1.0,-1.0,0.6531641,1.0,1.0,0.79426813,1.0,-0.32997188,-0.3638877,0.13764772
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.14203748,-0.0075963927,-0.6484217,-0.1935892,0.19970576,0.8603978,0.0031507623,1.0,-0.23782602,-0.9109572,-0.26089245,-0.0827739,-0.32166746,1.0,-0.20376939,0.16492985,0.047948528,0.8250315,-0.25861102,0.018841004,-0.57129043,1.0,-0.022915423,0.16615458,-0.25552103,0.10268287,-0.20260406,-0.19242334,0.67949325,-0.35946482,-0.9698674,-0.4259391,-0.037498668
12aHSDH%MBR2608425_1_SDR_family_oxidoreductase__Bacteroidales_bacterium_,0.49313673,0.54258406,-0.6338853,0.04260325,-0.732079,-0.62066823,-0.5550661,-0.20610312,0.5026485,0.14858834,1.0,1.0,1.0,-0.2931509,0.4977534,-0.73327756,-0.95426494,0.14112186,0.8562062,-0.15673159,-1.0,-0.86841464,-0.07098966,0.36105114,-0.91114163,-0.98514926,0.71642476,-0.6125345,0.5399847,-1.0,-0.13750833,0.7317022,0.31363037
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.010973695,-0.3046306,0.73741,-0.93688184,0.8212704,-1.0,0.9876245,-1.0,0.6322281,0.25115883,-1.0,-1.0,-0.7269428,0.08671155,0.42602718,0.74649453,0.8046134,-1.0,-1.0,0.77311987,0.98705626,-0.26431566,0.6273132,-0.44531703,0.07720588,0.69422704,-0.088535935,1.0,-0.37787154,1.0,-0.5825532,1.0,-0.6975867
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.4196558,-1.0,1.0,-0.99750483,0.10603668,1.0,-1.0,-1.0,1.0,1.0,-1.0,0.050163046,-1.0,1.0,0.64052004,0.5490251,-0.26604444,-0.9317575,-1.0,0.92566746,0.4186523,-0.05738129,1.0,-0.17335998,-0.94697315,-0.008277348,-1.0,-0.15086892,0.16420472,1.0,0.1828582,1.0,-1.0
