Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoLCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0.0051056985,0.024324367,-0.051395956,0.046514176,0.03276105,-0.068005525,-0.009856297,-0.036606323,0.005431854,0.011211347,-0.027799254,0.021266274,0.073670685,-0.015673896,0.026611941,-0.043655053,-0.0028075525,-0.046179503,-0.0068445113,0.031654414,0.033894364,-0.048079554,0.034699287,0.04019492,0.060060576,0.0024907389,-0.038309984,-0.020565217,-0.012571094,0.009824732,-0.061554283,-0.05737628,0.015473485
12aHSDH%GENOME015584_936,0.013642175,0.024455573,-0.045724,0.05951824,-0.032227978,0.05950347,-0.020698499,0.096176006,-0.03335682,-0.042357877,0.01030016,0.015297061,0.039712172,-0.027788222,0.05227425,-0.0017044012,0.008933414,0.066736214,0.0042588823,-0.07178893,-0.03733338,0.028842118,0.00786395,0.047214307,0.014013613,-0.0850399,0.046004586,-0.0722664,0.016621947,-0.061803065,-0.061278008,-0.040656973,0.026026582
12aHSDH%GENOME051950_684,0.024147,0.024870073,0.032072727,0.035538744,-0.031025426,-0.06782681,-0.049683396,-0.002720587,0.018826006,-0.021352716,0.0084332535,0.024334472,0.04932736,-0.04395461,-0.016831798,-0.026269024,-0.04722485,-0.021403544,0.01466251,-0.044536214,-0.021254038,-0.039116256,0.05654128,0.03788116,0.040108085,-0.03499864,0.010067774,-0.009752957,0.009447221,-0.010204571,0.03801439,-0.017772354,0.022504602
12aHSDH%GENOME055489_1547,-0.008069018,-0.005545901,-0.0119979475,0.0044511724,0.06299611,-0.044094454,0.02675546,0.028745232,-0.010310959,-0.018403426,-0.008093072,-0.027865706,0.008884436,0.00015857205,0.031701908,0.030027894,0.03550289,0.010710964,-0.012542832,-0.0032690493,-0.008122443,-0.020520022,-0.01831507,-0.012381142,-0.027292674,0.033923123,0.020511106,0.014912819,-0.006837905,-0.026550269,0.012085334,-0.0070336233,-0.006543298
12aHSDH%GENOME077010_272,-0.0419008,-0.02333035,-0.020727556,-0.009757299,0.013360243,-0.052170053,0.025694506,-0.015841449,-0.0047560665,-0.0047742114,-0.00050521013,-0.017381676,-0.02338795,0.02060094,0.007346653,0.05135463,0.022940792,0.011399912,-0.014503212,0.0355865,0.009626621,-0.006552206,0.017642833,0.03459776,0.02539593,0.0035096318,-0.038538363,-0.029499963,0.0031514454,0.022342153,0.015960723,-0.013799175,-0.018544303
12aHSDH%GENOME126416_2228,0.0010057017,-0.010421333,0.037019588,-0.047591534,-0.017934537,-0.10200263,-0.0516328,-0.015552708,0.043020774,0.02442612,0.009469326,0.08572826,0.036706146,0.13591841,-0.06375436,-0.021975262,-0.064389855,-0.024014985,-0.0055873226,-0.04876191,-0.03029489,-0.03334527,0.07155215,0.065204665,0.01917978,-0.037082117,-0.07493679,-0.06336873,-0.009822158,-0.014132862,0.050777644,0.040555608,-0.012068462
12aHSDH%GENOME136792_1072,0.031040406,0.017697658,-0.045738198,0.037912745,-0.05876151,-0.008597006,0.031243946,-0.014356438,-0.052584957,-0.045923196,0.022390023,0.0045410143,0.0225256,-0.11204434,-0.010499841,-0.026293008,-0.045187265,0.006968237,0.03399231,0.080074094,0.07284832,0.055074908,-0.07874736,-0.029075587,-0.054065708,-0.010973782,0.08537248,0.079321936,0.041793913,0.025099175,-0.038214635,0.0012089307,0.030087136
12aHSDH%GENOME187328_883,0.017388325,0.0106917545,-0.047305994,0.08049342,-0.03916575,-0.039668303,-0.07694611,0.05481092,0.01831776,-0.0047658817,-0.0321689,0.02784801,0.09241444,0.11719448,-0.009981873,-0.054505166,0.020509219,0.015349805,-0.004617796,-0.030524783,-0.012337024,-0.012524251,0.11974094,0.048938103,0.053291343,-0.078676544,-0.032076705,-0.12444799,-0.0031476135,-0.08738086,-0.0429716,-0.05283101,0.014203218
12aHSDH%GENOME211747_1057,0.023314347,0.03105911,-0.06249656,0.018405363,-0.04747384,0.02312721,-0.025539408,0.054488897,-0.030320996,-0.023494218,0.0146111455,0.00039231367,-0.069385946,-0.023124116,-0.02779391,-0.030734556,-0.046249963,0.045781482,0.022779189,-0.014629968,-0.0026305886,0.060836773,0.007049131,0.028618295,0.049662188,-0.03471043,0.035442896,0.01498968,0.07236459,-0.021615865,-0.015978675,-0.058073554,0.031786844
12aHSDH%GENOME225739_454,-0.00795449,-0.0073940665,-0.03740103,0.02520019,-0.051256523,0.0013173239,0.026836764,0.024257014,-0.01701257,-0.008127018,-0.021154094,-0.023055065,-0.01685632,-0.060740925,-0.018048989,0.016947018,-0.003837764,0.035752617,-0.01986933,0.04435267,0.02170213,0.051589508,-0.00033970262,0.0019822686,-0.0022276058,-0.01732607,0.050031208,0.029785853,0.04281744,0.048372235,-0.029918991,-0.038057674,0.008246523
