Sample,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
LCA,0.7177429312260772,0.7087541671811334,0.6965551302629954,0.7131991603901716,0.6996007737580772,0.7014281598551261,0.7045561180392641,0.7219903691813804,0.7190599662509775,0.6765855866979462,0.705947236284315
CA,0.6583940404165123,0.6720418158620406,0.6601555747623162,0.657142857142857,0.6989751821212494,0.6798781742601967,0.6804049882701567,0.6661151582499897,0.6661810100012346,0.6434621558217064,0.668275095690826
isoLCA,0.6614890727250278,0.6725686298720006,0.6413878256574884,0.665160307856937,0.6545581759064905,0.657982466971231,0.6355105568588714,0.6579166152199859,0.6480223895954234,0.6472486315182944,0.6541844672181751
CDCA,0.6334691525702761,0.6455035601103017,0.6234761493188459,0.642655471868955,0.6540313618965303,0.6124130551096842,0.6405317528913034,0.6483681112894596,0.6084454870971725,0.6128410914927769,0.6321735193645306
Glu_DCA,0.586829649750998,0.5566530847429724,0.5681771412108491,0.5961147466765444,0.5935794542536115,0.555648845536486,0.5862534469276042,0.5823188047907149,0.5882948512161995,0.5771659052557928,0.5791035930361772
3oxoDCA,0.5312836975758324,0.5195620858542206,0.49993826398320784,0.5300489772399885,0.5297361814215746,0.49475243857266327,0.5450796394616618,0.5407663497551137,0.5577890274519488,0.5293739967897271,0.5278330658105939
7oxoDCA,0.5060295509733712,0.5016174836399555,0.49346832942338553,0.5162694982919702,0.5271679631230193,0.5119891344610445,0.5057661439683911,0.501650409515578,0.5058319957196362,0.4640490595546775,0.503383956867103
Glu_CA,0.5191999012223731,0.48201012470675386,0.487953245256616,0.54019014693172,0.5089105650903404,0.5051899411449973,0.4789809441494834,0.49853891426925134,0.4659916862164053,0.4494135078404741,0.4936378976828415
Asp_CA,0.4351730666337407,0.4425484627731818,0.4375272667407498,0.48474297238342173,0.4364242499073959,0.44980861834794417,0.4258056550191381,0.4715890850722311,0.4140675803597152,0.3868543441577149,0.4384541301395234
DCA,0.4124048236407787,0.43586451002181337,0.4267440424743795,0.43795530312384234,0.4261513767131744,0.3807465942297403,0.46037782442276826,0.4331975140963905,0.4557682018356175,0.39622175577231755,0.4265431946330822
Phe_CA,0.4018520805037659,0.377207062600321,0.419401572210561,0.4319134049471128,0.37111577561015757,0.440210725603984,0.3838087006626332,0.4339383462978969,0.49200312795818407,0.3613532534880849,0.4112804049882701
Asn_CA,0.46780260937564305,0.384253199983537,0.4286208173848623,0.40581964851627766,0.42213441988722883,0.40809153393423053,0.36329588014981273,0.4235008437255628,0.4120920278223649,0.3826562950158456,0.4098267275795366
Glu_CDCA,0.40040334197637567,0.40041980491418694,0.3914804296826769,0.43109025805655016,0.3948388689961724,0.45334814997736345,0.41857842531999834,0.3906902086677367,0.41890768407622336,0.3629172325801539,0.4062674404247438
3oxoLCA,0.4181997777503395,0.4266781907231345,0.3815697411203029,0.42185454994443755,0.40395933654360616,0.4226612338971889,0.4073836276083467,0.4007655266082232,0.4053257603819401,0.36321356546075645,0.40516113100382756
Gln_CA,0.4117298431905173,0.37058896160019755,0.41329382228258627,0.409293328394452,0.41773881549162445,0.3899329135284191,0.3912664114911305,0.3761863604560233,0.4106926781084084,0.35771494423179817,0.3948438078775157
Tyr_CA,0.3971766061653701,0.3768284150306622,0.3801374655307239,0.3911840968020743,0.37631806395851336,0.39182615137671317,0.365271432687163,0.413277359344775,0.4383339506935013,0.34240441206733335,0.387275795365683
