Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0.21620916,0.7093287,-1.0,1.0,1.0,-1.0,-0.014800589,-0.69610226,0.14207071,0.34209743,-0.6932881,0.5065418,1.0,-0.46562627,0.81518376,-1.0,-0.016488258,-1.0,0.07621079,-0.10379456,0.5384425,0.8656021,0.9275418,-1.0,0.8679904,0.9475754,1.0,-0.29872504,0.14237584,-0.8763783,-0.34440872,-0.120423265,0.27152303,-1.0,-1.0,-0.36328351,0.52960634,-1.0
12aHSDH%GENOME015584_936,0.3366488,0.6393313,-1.0,1.0,-0.6376077,1.0,-0.39839357,1.0,-0.65305763,-1.0,0.36295566,0.5989836,1.0,-0.71568304,1.0,0.06727583,0.37809265,1.0,-1.0,0.16842398,1.0,-1.0,-0.8942179,0.8962248,0.38672572,1.0,0.45183095,-0.94053334,-1.0,1.0,-1.0,0.5692082,-1.0,-1.0,-0.99193734,0.5847603,0.6606232,-1.0
12aHSDH%GENOME051950_684,0.657646,0.6363574,0.8814789,0.9330258,-0.686182,-1.0,-1.0,-0.11768132,0.60823816,-0.5150417,0.2868133,0.7982308,1.0,-1.0,-0.2647942,-0.65578514,-1.0,-0.48997104,-1.0,0.44314355,-0.14621098,-1.0,-0.5720712,-0.9292417,1.0,1.0,1.0,0.15657221,-0.84633887,0.3399013,-0.10288038,0.3412489,-0.14646643,0.95097667,-0.55793434,0.51781183,0.58724374,-1.0
12aHSDH%GENOME055489_1547,-0.2650418,-0.18041816,-0.31293976,0.040184498,1.0,-1.0,0.8736759,0.7065259,-0.21432343,-0.39834335,-0.21836649,-0.66521096,0.20309332,0.014999557,0.9179941,0.8861281,1.0,0.26077145,0.28514686,-0.34275854,0.17077293,-0.0030306058,-0.19488597,-0.5226801,-0.4690645,-0.25053534,-0.7212959,-0.3362153,1.0,0.5924895,0.493451,-0.2772176,-0.6021062,0.3196101,-0.20963395,-0.36313865,-0.24291408,-0.45698854
12aHSDH%GENOME077010_272,-1.0,-0.64693457,-0.34028754,-0.2843715,0.5161092,-1.0,0.83134633,-0.34513494,-0.06748222,-0.056599215,-0.037074607,-0.4516989,-0.58556324,0.43642303,0.33694035,1.0,0.7025456,0.32952958,0.29581398,-0.42228046,-0.60063344,1.0,0.31310475,-0.09462944,0.40000358,0.9345724,0.57880133,0.0075777834,0.20347618,-1.0,-0.6277665,-0.019218005,0.75964797,0.38835412,-0.19423035,-0.78466636,-0.57179034,-0.4011571
12aHSDH%GENOME126416_2228,-0.10406868,-0.31699738,0.90142614,-1.0,-0.53426886,-1.0,-1.0,-0.52963233,1.0,0.689408,0.16403438,1.0,0.86005396,1.0,-1.0,-0.58824295,-1.0,-0.6978562,-0.50469327,-0.22497442,-0.03336014,-1.0,-0.69889706,-0.8358602,1.0,1.0,0.35920832,1.0,-1.0,-1.0,-1.0,-0.31977814,-0.4152088,1.0,0.9772318,-0.33611408,-0.4048592,-0.12070602
12aHSDH%GENOME136792_1072,0.65799546,0.36548674,-1.0,0.9215241,-1.0,-0.30110586,0.7239955,-0.47907573,-1.0,-1.0,0.5361737,-0.0015111853,0.5013963,-1.0,-0.3629624,-0.8321851,-1.0,0.11395749,1.0,0.8154325,1.0,1.0,1.0,1.0,-1.0,-0.6749209,-1.0,-0.9379498,-0.31368482,1.0,1.0,1.0,0.6949789,-1.0,-0.11381677,0.81814104,0.7176299,-0.99955136
12aHSDH%GENOME187328_883,0.23603821,0.2089021,-1.0,1.0,-1.0,-1.0,-1.0,1.0,0.48794487,-0.18127291,-0.9081566,0.5857953,1.0,1.0,-0.32182026,-1.0,0.43126222,0.30932346,-1.0,-0.21447188,1.0,-0.9661605,-0.5526604,-0.44731554,1.0,1.0,1.0,1.0,-1.0,-0.8300257,-1.0,-0.06769487,-1.0,-1.0,-1.0,-0.34647542,0.35549214,-1.0
12aHSDH%GENOME211747_1057,0.673651,0.845134,-1.0,0.6227266,-1.0,0.73678774,-0.5146786,1.0,-0.8314533,-0.68759835,0.38795975,0.07543324,-1.0,-0.74797624,-0.5927521,-0.74482495,-1.0,1.0,-0.52654076,0.605583,1.0,-0.38448262,-0.074141376,1.0,0.063265994,0.70254064,1.0,-0.83182955,-0.9055955,1.0,0.41529807,1.0,-0.5703134,-0.5250549,-1.0,0.57906884,0.91828376,-1.0
12aHSDH%GENOME225739_454,-0.30564776,-0.2843066,-0.94155073,0.6531405,-1.0,0.056070026,0.82572156,0.6445896,-0.3937287,-0.18313128,-0.54708934,-0.7387691,-0.6312406,-1.0,-0.4729593,0.4843531,-0.041132182,0.9345314,-0.06731856,-0.5531907,1.0,1.0,0.5322898,1.0,0.07265677,0.026053436,-0.1565543,-0.11421172,-0.44497898,1.0,0.7738945,1.0,1.0,-0.75892174,-0.9610506,-0.2301094,0.1494327,-0.775238
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,1.0,-1.0,0.57218766,-1.0,0.69545466,-1.0,1.0,-1.0,-0.8493107,1.0,0.3978688,1.0,-0.029820627,-0.7666303,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-0.36176753,0.9913919,-1.0,-1.0,0.3112077,-0.51479226,-1.0,1.0,-1.0,1.0,-1.0,0.6763901,-0.81591713,1.0,1.0,-0.3645697
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,0.86680067,-1.0,-0.6901758,1.0,1.0,-0.41093612,0.37940347,-1.0,-0.50944376,-0.72237986,-1.0,-1.0,-1.0,1.0,0.53278214,0.38004327,0.6374807,0.764659,-0.21466136,0.63300663,0.8622279,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.77911025,1.0,1.0,0.9622499,1.0,-0.16595589,-0.24610014,1.0,0.27521428,0.07335888
12aHSDH%MBR2336230_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.25165004,-0.1641444,-0.8590793,-0.22156821,0.14404115,1.0,-0.14521325,1.0,-0.23573738,-0.96576947,-0.36645162,-0.07468468,-0.4844993,1.0,-0.18556942,0.20980479,0.08917793,0.95298314,-0.92013055,-0.342902,1.0,-0.07614784,-0.66804093,1.0,0.1232116,0.11303636,-0.2954055,1.0,0.047668967,-0.21613623,-0.25201002,0.7776626,-0.47439823,-1.0,-0.546686,-0.18279606,-0.06938909,-0.4771697
12aHSDH%MBR2608425_1_SDR_family_oxidoreductase__Bacteroidales_bacterium_,0.46586892,0.5425112,-0.6967272,-0.0005588087,-0.7257704,-0.6871408,-0.5616779,-0.26392868,0.5568956,0.11021533,1.0,0.9686717,1.0,-0.34408233,0.63458073,-0.7483618,-1.0,0.11888996,0.36460623,0.8962978,1.0,0.0022347237,-1.0,-0.8955732,-0.29251024,0.1489078,-1.0,0.096875526,-0.9987128,0.9037848,-0.63136137,0.54444855,-1.0,-0.1748777,0.8530261,0.13551588,0.25400835,-0.8066364
12aHSDH%MBR5144004_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.061007068,-0.2872687,0.635463,-0.8066705,0.762835,-1.0,0.9279584,-1.0,0.63263524,0.22072989,-1.0,-1.0,-0.7657354,0.09179648,0.46315825,0.6951727,0.75569844,-1.0,0.7430775,-1.0,0.22750643,0.86477095,1.0,-0.22024943,0.5821948,-0.564491,-0.0058932756,0.25603744,0.63196295,-0.01904617,1.0,-0.2742226,1.0,-0.6679954,1.0,-0.91924804,-0.7168048,0.328282
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.66134393,-1.0,1.0,-1.0,0.007855931,1.0,-1.0,-1.0,1.0,1.0,-1.0,-0.08161043,-1.0,1.0,0.71265596,0.64724475,-0.2733988,-1.0,0.6008907,-1.0,0.1771418,0.88926363,0.53259414,-0.24063432,1.0,-0.20391409,-1.0,1.0,-0.18790764,-1.0,-0.28181276,0.002934361,1.0,0.081438474,1.0,-0.8686469,-1.0,0.86705995
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,0.6384954,0.03362326,0.60920054,-1.0,0.38017136,-1.0,0.643152,-0.5236993,-0.7596672,1.0,0.056595456,-0.25370672,-0.7111901,-0.104372084,-0.7653257,-1.0,0.847527,-0.8113997,0.71067685,1.0,-1.0,-0.57519424,0.7562436,-1.0,0.56318873,0.3664752,-0.35100204,-1.0,0.66932976,-0.8818898,0.9477529,-0.70018417,0.44728738,0.865603,1.0,0.55298847,1.0
12aHSDH%MCI8718619_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,-1.0,1.0,-1.0,1.0,0.47548681,0.7868081,-1.0,1.0,1.0,-1.0,-1.0,-1.0,0.98519856,1.0,1.0,0.72492623,-1.0,1.0,-1.0,-1.0,1.0,0.8223013,-1.0,1.0,-0.27984235,-0.5765551,1.0,1.0,-1.0,1.0,-1.0,1.0,-0.0029362142,1.0,-1.0,-1.0,1.0
