Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,0.008021092,0.026315218,-0.050080348,0.050224733,0.037729654,-0.058890175,-0.0005490835,-0.025824532,0.0052706474,0.012691391,-0.025720129,0.018792074,0.07300049,-0.017274158,0.030242309,-0.038636554,-0.00061169395,-0.03815209,0.0028273258,-0.0038506496,0.01997555,0.032112766,0.03441065,-0.039995547,0.03220137,0.035153873,0.056854423,-0.011082329,0.0052819676,-0.03251255,-0.012777138,-0.004467554,0.010073168,-0.0563275,-0.06206277,-0.013477368,0.01964774,-0.08127411
12aHSDH%GENOME015584_936,0.012489254,0.023718398,-0.0420266,0.06357007,-0.023654455,0.06654638,-0.014779909,0.09333017,-0.024227628,-0.037456863,0.013465205,0.022221548,0.0391835,-0.026550954,0.0603073,0.00249585,0.0140267685,0.06823074,-0.07103435,0.006248321,0.05083145,-0.06307444,-0.033174377,0.03324883,0.014347046,0.05279674,0.016762368,-0.034892622,-0.07672062,0.05487567,-0.06605597,0.02111692,-0.055656523,-0.059839707,-0.036799647,0.021693883,0.024508303,-0.09548224
12aHSDH%GENOME051950_684,0.024397852,0.023608072,0.032701775,0.0346141,-0.025456503,-0.058006406,-0.045898385,-0.004365831,0.022564882,-0.019107409,0.010640418,0.029613376,0.052662555,-0.040317874,-0.0098235365,-0.024328817,-0.045047298,-0.01817732,-0.040333346,0.016440077,-0.0054242467,-0.040300213,-0.021223133,-0.034473717,0.058922354,0.04184948,0.044227306,0.005808635,-0.031398125,0.012609918,-0.0038167348,0.012659912,-0.0054337233,0.035280056,-0.020698672,0.019210178,0.021786015,-0.069555975
12aHSDH%GENOME055489_1547,-0.009832722,-0.0066932905,-0.011609678,0.0014907952,0.06470509,-0.04365911,0.032412294,0.026211238,-0.007951134,-0.014778045,-0.008101126,-0.024678502,0.0075345105,0.000556465,0.034056444,0.032874256,0.03746525,0.009674298,0.010578595,-0.012715917,0.0063354643,-0.00011243172,-0.007230028,-0.019390784,-0.017401712,-0.009294551,-0.026759185,-0.012473171,0.03818796,0.021980627,0.018306421,-0.010284429,-0.022337396,0.011857138,-0.00777716,-0.013471995,-0.009011812,-0.016953709
12aHSDH%GENOME077010_272,-0.03909322,-0.024000471,-0.012624246,-0.01054983,0.019147014,-0.04723656,0.030841919,-0.012804079,-0.0025035066,-0.0020997608,-0.001375422,-0.01675747,-0.02172367,0.016190754,0.01250007,0.05314113,0.02606357,0.012225139,0.010974332,-0.015666083,-0.022282757,0.038004063,0.011615799,-0.0035106349,0.014839638,0.034671478,0.021472812,0.00028112638,0.007548714,-0.038490217,-0.02328936,-0.0007129642,0.028181998,0.014407457,-0.0072057056,-0.02911015,-0.021212714,-0.014882432
12aHSDH%GENOME126416_2228,-0.0038608192,-0.011760211,0.033441793,-0.045551058,-0.019820713,-0.09919069,-0.054015502,-0.019648703,0.04360796,0.025576184,0.006085472,0.08086653,0.031906936,0.13111886,-0.06411308,-0.021823086,-0.06696052,-0.0258896,-0.018723495,-0.008346273,-0.0012376198,-0.045910932,-0.025928216,-0.031009378,0.071496174,0.06249015,0.013326184,0.076250955,-0.038641326,-0.07380665,-0.061188575,-0.011863373,-0.015403732,0.04466087,0.03625409,-0.0124694165,-0.015019774,-0.004478044
12aHSDH%GENOME136792_1072,0.024410818,0.013559106,-0.050768528,0.034187403,-0.059085716,-0.011170655,0.026859337,-0.017773116,-0.05182498,-0.047625974,0.01989138,-5.6063105e-05,0.018601183,-0.10809448,-0.013465456,-0.030873036,-0.04669052,0.0042276816,0.050029688,0.030251537,0.057973873,0.08431533,0.0707356,0.051593833,-0.070435144,-0.02503873,-0.05161158,-0.034796774,-0.011637318,0.08367184,0.07395325,0.042907167,0.025782855,-0.03782613,-0.004222461,0.03035202,0.02662318,-0.037082117
12aHSDH%GENOME187328_883,0.008756725,0.007750009,-0.051860128,0.07769695,-0.04096756,-0.04232764,-0.08396793,0.0505634,0.01810215,-0.006725,-0.033691484,0.02173228,0.08915265,0.115523666,-0.0119391335,-0.057545904,0.015999295,0.011475517,-0.053309727,-0.007956641,0.07094274,-0.035843357,-0.020503016,-0.016594853,0.12438004,0.04704378,0.05350194,0.13319246,-0.08523938,-0.030792926,-0.124778986,-0.002511396,-0.09477744,-0.04386244,-0.055481173,-0.01285381,0.013188318,-0.06637402
12aHSDH%GENOME211747_1057,0.024991617,0.031353425,-0.062010903,0.023102386,-0.044258043,0.027333913,-0.019093938,0.055527836,-0.030845888,-0.025509048,0.014392826,0.0027984797,-0.062110983,-0.027748993,-0.021990368,-0.027632084,-0.04625946,0.048913885,-0.01953401,0.02246638,0.07114191,-0.014263829,-0.0027505532,0.061830107,0.00234709,0.026063388,0.048685722,-0.030859847,-0.03359647,0.03925566,0.015407044,0.06889068,-0.02115792,-0.019478885,-0.056012858,0.021482738,0.03406719,-0.062729456
12aHSDH%GENOME225739_454,-0.011339153,-0.010547422,-0.034930367,0.024230704,-0.048667468,0.0020801285,0.030633248,0.023913477,-0.014606847,-0.0067939437,-0.020296337,-0.027407419,-0.023418246,-0.05559988,-0.017546205,0.0179689,-0.0015259531,0.034669958,-0.002497435,-0.02052269,0.061746016,0.041787945,0.019747293,0.04681689,0.0026954762,0.0009665502,-0.0058079707,-0.0042371135,-0.01650817,0.04863044,0.028710527,0.04191077,0.047539562,-0.028155057,-0.03565379,-0.008536774,0.0055437684,-0.028760368
