Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,-0.48639283,-0.16461936,-0.51993275,-0.43478674,-0.3134632,-0.35842252,-0.57340777,-0.6920225,-0.23504987,-0.14494914,-0.6629475,-0.55962396,-0.13960107,-0.30946302,-0.19154054,-0.4701492,-0.36173576,-0.89487743,-0.23230897,-0.49447265,-0.4534276,-0.2390701,-0.17656411,-0.7108817,0.20965564,-0.40729696,-0.022256231,-0.05352604,-0.4128389,-0.84868807,-0.38018832,-0.48029244,-0.38496473,-0.6446727,-0.58088344,-0.73278767,-0.23174742,-0.626709
12aHSDH%GENOME015584_936,-0.15069509,0.028534165,-0.3301648,0.08455477,-0.49101087,0.22744371,-0.45443475,0.19370063,-0.020295152,-0.08361435,0.06291571,0.23855369,0.2832208,0.093157895,-0.27646646,-0.28606287,-0.28546157,0.16397361,-0.46298277,0.074368514,0.044636156,-0.46918204,-0.47162056,-0.09090615,0.4286761,0.2152896,0.3360224,0.084813856,-0.54544413,-0.06555041,-0.3498193,0.14919262,-0.41829872,-0.516543,-0.3328129,-0.122413516,0.10327894,-0.45442855
12aHSDH%GENOME051950_684,0.2085499,0.44674018,-0.56051964,0.32137537,-0.71971846,-0.17822838,-0.6790187,0.29759163,-0.5020469,-0.542022,0.102495864,0.23190008,0.54762006,-0.22686607,-0.534915,-0.62224007,-0.6683746,0.090969056,-0.68636817,0.26971847,0.40906036,-0.64935726,-0.63165575,0.008562133,-0.053471155,-0.09405633,-0.082708456,-0.43947983,-0.8333057,-0.237034,-0.6499757,0.44295442,-0.66631246,-0.310104,-0.6690515,0.064639024,0.452707,-0.6033324
12aHSDH%GENOME055489_1547,0.44763613,0.15977648,0.14492418,0.24393965,0.22638804,-0.023530617,0.20231326,0.12549648,-0.07067097,-0.03690246,-0.05016943,-0.17324746,0.11745218,-0.22036237,0.19207793,0.16086115,0.15169953,0.18760082,0.19061482,0.0056624245,0.27010295,0.18613891,0.24835381,0.11026742,-0.34553534,-0.26662537,-0.33122915,-0.26459217,0.20784457,0.18011253,0.3057947,0.02522185,0.21074241,0.5355049,0.14685673,0.42742085,0.17067301,0.14314747
12aHSDH%GENOME077010_272,-0.04958993,-0.09275611,0.11841855,0.13796723,0.3283578,0.23141563,0.4419844,-0.02000924,0.07845295,0.1179573,-0.027077459,-0.18730552,-0.16360489,-0.18374023,0.32032415,0.44957018,0.32045656,0.19611788,0.35634527,-0.14205071,0.028113285,0.40054902,0.21018507,0.06923349,-0.09298636,0.24864441,-0.021948207,-0.109334365,0.43834865,0.24183553,0.47016075,0.04760959,0.5188702,-0.12372,0.20919722,-0.10402674,-0.17998375,0.14390908
12aHSDH%GENOME136792_1072,0.43165788,0.41904646,-0.52635026,0.25156024,-0.2941082,-0.3075868,-0.057528358,0.064272285,-0.8619572,-0.7553211,0.11676435,-0.39414808,-0.15578371,-0.8563475,-0.27969337,-0.3108036,-0.4075637,0.24532735,-0.21413253,0.24065946,0.29189417,-0.13749857,-0.10615125,0.082836844,-1.0,-0.2832527,-0.49856517,-0.64317656,-0.14126639,0.033442147,-0.068185434,0.0851936,-0.308603,0.29384983,-0.4525719,0.41319177,0.6522952,-0.18322942
12aHSDH%GENOME225739_454,-0.16188592,-0.0304497,-0.26219654,-0.10826062,-0.079753675,0.071554296,0.05617894,0.038099077,-0.27194488,-0.23412979,-0.21696869,-0.43462443,-0.40934592,-0.23856257,-0.052944645,-0.061213925,-0.14193085,0.14487024,0.010562759,-0.23836128,-0.19237584,0.069593154,-0.045748238,-0.17509201,-0.16665837,-0.05955114,-0.1567826,-0.20734134,-0.03737626,-0.33331573,0.14202078,-0.05680121,0.006947041,-0.07371838,-0.26166826,-0.1929123,0.07028721,-0.15874751
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.61010116,0.84969044,-0.851955,0.06933489,-0.7566407,-0.6619232,-0.69490373,0.026849004,-1.0,-0.954184,0.30582613,0.17155705,0.51863736,-0.6366624,-0.6941512,-0.8701649,-0.96038187,0.15260643,-0.8722793,0.5873241,0.19463904,-0.7241877,-0.6628946,-0.15088177,-0.72405714,-0.4977445,-0.4871738,-0.7200463,-0.817034,-0.35564935,-0.69832885,0.2970404,-0.8414838,0.16492102,-0.91736305,0.3818679,0.93486553,-0.7644823
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.3580573,-0.51431423,0.17261414,-0.4204788,0.121285126,-0.05658695,-0.021123506,-0.3864143,0.4984299,0.49325642,0.24477263,0.12984315,-0.4664334,-0.105486095,0.25157356,0.16431646,0.17222576,-0.2542348,-0.019926392,-0.00075825606,-0.43910542,0.021314617,-0.030016584,-0.31087187,0.29721582,0.25503334,0.16373803,0.29718748,0.24195032,0.015795268,-0.078310736,-0.66544706,0.12996915,-0.5603834,0.36586732,-0.3128528,-0.6563319,-0.0029060533
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.036372695,-0.06568637,-0.17209974,0.031444468,-0.03082936,0.29308632,-0.033883974,0.094797306,0.103203535,0.27088302,0.10449223,-0.37888932,-0.5255,-0.6172658,0.11259023,0.07858019,0.09087019,0.20362845,0.19540864,0.066578545,0.15156548,0.06803402,0.09937674,0.1963085,-0.19387087,-0.037700035,-0.067958355,-0.25160238,0.15410966,0.3563734,0.27948987,-0.05806169,0.19161373,-0.35551748,0.047479387,0.027019897,-0.12817523,-0.08301179
