Sample,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
12aHSDH%ERJ00208_1_oxidoreductase__short_chain_dehydrogenase_reductase_family_protein__Clostridium_sp__ATCC_29733_,-0.025021534,-0.008468524,-0.02674693,-0.02236676,-0.016125506,-0.01843835,-0.02949785,-0.035599753,-0.012091684,-0.0074566267,-0.034104045,-0.028788768,-0.007181506,-0.015919724,-0.009853431,-0.024185913,-0.018608794,-0.046035234,-0.011950684,-0.025437186,-0.023325704,-0.012298497,-0.009082998,-0.03656993,0.010785327,-0.020952601,-0.0011449286,-0.0027535432,-0.021237696,-0.04365911,-0.01955805,-0.024707712,-0.019803764,-0.033163935,-0.02988242,-0.03769684,-0.011921796,-0.03223983
12aHSDH%GENOME015584_936,-0.0077522164,0.0014678848,-0.016984686,0.004349756,-0.025259102,0.0117004,-0.023377514,0.009964553,-0.0010440447,-0.004301378,0.0032365767,0.012271931,0.014569744,0.004792327,-0.01422228,-0.014715949,-0.014685016,0.008435304,-0.02381725,0.0038257437,0.0022962205,-0.02413616,-0.024261605,-0.0046764906,0.02205241,0.011075155,0.017286021,0.004363084,-0.028059315,-0.0033721137,-0.017995775,0.0076749246,-0.021518566,-0.02657255,-0.017120915,-0.0062973257,0.005312985,-0.023377195
12aHSDH%GENOME051950_684,0.010728445,0.02298168,-0.028834846,0.016532533,-0.03702452,-0.009168613,-0.0349308,0.015309024,-0.025826827,-0.027883269,0.005272701,0.01192965,0.028171252,-0.011670684,-0.027517661,-0.032009933,-0.034383234,0.0046797264,-0.03530888,0.013875143,0.021043316,-0.033404924,-0.032494303,0.00044046232,-0.00275072,-0.0048385453,-0.004254776,-0.022608187,-0.042867795,-0.012193753,-0.033436738,0.02278693,-0.034277152,-0.015952699,-0.034418058,0.0033252293,0.023288632,-0.031037265
12aHSDH%GENOME055489_1547,0.023027772,0.008219391,0.007455343,0.012549002,0.011646093,-0.001210487,0.010407613,0.0064559225,-0.0036355308,-0.0018983756,-0.002580869,-0.008912379,0.0060420996,-0.011336114,0.009881076,0.008275189,0.0078038876,0.00965076,0.00980581,0.00029129244,0.013894921,0.009575555,0.01277608,0.0056724935,-0.017775394,-0.013716024,-0.01703944,-0.013611431,0.010692161,0.009265539,0.015731014,0.0012974892,0.010841235,0.02754801,0.0075547593,0.021987837,0.008779942,0.0073639434
12aHSDH%GENOME077010_272,-0.0025510576,-0.0047716578,0.0060918126,0.0070974566,0.01689173,0.011904728,0.022737028,-0.0010293365,0.00403586,0.0060680844,-0.0013929473,-0.0096355695,-0.008416336,-0.0094521595,0.016478455,0.023127265,0.016485266,0.010088904,0.01833149,-0.007307523,0.0014462334,0.020605467,0.010812563,0.0035615826,-0.004783503,0.012791029,-0.0011290829,-0.005624494,0.022549996,0.01244076,0.024186507,0.002449183,0.02669227,-0.006364535,0.010761745,-0.005351454,-0.009258915,0.007403123
12aHSDH%GENOME136792_1072,0.022205802,0.021557031,-0.027077068,0.012941029,-0.015129826,-0.015823206,-0.0029594346,0.003306363,-0.044341713,-0.038856026,0.0060067154,-0.020276183,-0.008013991,-0.044053134,-0.014388282,-0.015988687,-0.020966323,0.012620389,-0.011015632,0.012380259,0.015015929,-0.007073347,-0.005460745,0.0042613805,-0.052527376,-0.0145713845,-0.025647717,-0.03308697,-0.0072671752,0.0017203663,-0.0035076672,0.004382619,-0.015875481,0.015116533,-0.023281682,0.021255849,0.03355606,-0.009425881
12aHSDH%GENOME225739_454,-0.008327907,-0.0015664257,-0.013488192,-0.0055692573,-0.004102773,0.003680972,0.0028900164,0.001959933,-0.013989676,-0.0120443525,-0.011161533,-0.02235841,-0.021058006,-0.012272389,-0.0027236345,-0.0031490317,-0.0073013566,0.007452568,0.0005433806,-0.012262033,-0.009896401,0.0035800845,-0.0023534293,-0.009007269,-0.008573417,-0.0030634927,-0.008065376,-0.010666273,-0.0019227491,-0.017146781,0.0073059835,-0.002922028,0.00035737705,-0.0037922987,-0.013461016,-0.009923998,0.0036157893,-0.0081664575
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.03138547,0.043710675,-0.043827172,0.0035667988,-0.03892391,-0.034051355,-0.035747975,0.0013811949,-0.051583875,-0.049086142,0.015732631,0.0088254195,0.026680293,-0.032751862,-0.035709262,-0.04476394,-0.049404982,0.007850542,-0.044872716,0.030213747,0.010012828,-0.03725443,-0.034101326,-0.0077618198,-0.037247714,-0.0256055,-0.02506171,-0.037041385,-0.04203073,-0.01829569,-0.035924174,0.015280667,-0.0432885,0.008484041,-0.047191963,0.019644452,0.048092343,-0.03932731
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.018419562,-0.026457896,0.008879799,-0.021630716,0.006239278,-0.0029110059,-0.0010866578,-0.019878333,0.025640758,0.02537462,0.012591853,0.0066795284,-0.02399476,-0.0054265275,0.012941713,0.008452942,0.00885982,-0.013078616,-0.0010250745,-3.9007013e-05,-0.022588925,0.0010964891,-0.0015441449,-0.0159922,0.01528969,0.013119695,0.008423185,0.015288233,0.012446664,0.0008125569,-0.004028544,-0.03423263,0.006686011,-0.028827835,0.018821334,-0.016094105,-0.03376372,-0.00014949628
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.0018711227,-0.0033791077,-0.008853337,0.0016175996,-0.0015859567,0.0150772575,-0.0017430952,0.0048766634,0.0053091054,0.013935051,0.0053754,-0.019491225,-0.027033327,-0.031754043,0.005791986,0.0040424056,0.0046746405,0.01047527,0.010052418,0.003425004,0.007796992,0.003499878,0.0051122434,0.01009871,-0.009973311,-0.0019394051,-0.0034959856,-0.012943196,0.007927872,0.018332938,0.014377814,-0.002986871,0.009857196,-0.018288907,0.002442485,0.0013899861,-0.006593726,-0.0042703804
