Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,HCA,LCA,TCA,TCDCA,TDCA,TLCA,UDCA
12aHSDH%GENOME015584_936,1.0,0.4143929,0.57647264,0.24629235,1.0,1.0,-1.0,-0.83979505,-0.6321089,0.87648195,0.13521712,0.14989224,-0.99185187,-1.0,-1.0,-1.0,1.0
12aHSDH%GENOME044629_647,-0.97508144,0.7609229,-1.0,-1.0,-1.0,0.25416878,0.2687815,0.6119308,1.0,1.0,0.038134467,0.00091593317,-0.054129235,0.48866013,1.0,0.24886309,-1.0
12aHSDH%GENOME051950_684,-0.29160383,0.37710434,-0.6587944,-0.5056683,-0.6549491,-0.46445572,0.109774254,-0.008692453,0.16630179,0.86862934,0.28962743,-0.080595955,-0.18634962,0.2801284,-0.18685603,0.7350022,-0.43585676
12aHSDH%GENOME055489_1547,0.62454957,-0.01915207,-0.30576855,-0.11107547,-0.108910896,1.0,-0.7236724,-1.0,0.5297483,-0.116880976,-0.07728619,0.53372264,-0.29346043,-0.8966549,0.7255429,-1.0,0.8188842
12aHSDH%GENOME077010_272,0.41703334,1.0,-1.0,-1.0,-0.08721443,1.0,-0.17704436,-1.0,1.0,1.0,1.0,1.0,-0.91520476,-1.0,-1.0,-1.0,0.36237308
12aHSDH%GENOME126416_2228,-0.7271006,0.00028573457,-0.8576587,-0.6515698,-1.0,-1.0,0.8522184,0.7087078,0.3655609,-1.0,0.4778552,-0.07800196,0.58571273,1.0,1.0,1.0,-1.0
12aHSDH%GENOME136792_1072,0.6521971,0.31804857,-1.0,-1.0,-1.0,0.57329154,-0.60454327,-0.61957717,0.65543854,1.0,1.0,1.0,-0.84839636,-0.7307348,-0.20357078,-0.12013863,0.3738514
12aHSDH%GENOME187328_883,1.0,1.0,0.08341155,-0.0679657,-0.44748396,-0.112636596,-0.44570604,-1.0,-0.7891863,0.76576203,0.3079359,-0.02262904,-0.50449663,-0.88728976,-0.14696147,-0.9987464,0.7690305
12aHSDH%GENOME211747_1057,-0.8666447,0.3924987,0.79439205,0.8419585,1.0,-0.7751593,0.63645715,0.7116717,-0.8495429,-0.22930868,-0.9568784,-0.9682971,0.7016732,0.24679483,-0.9084576,0.05715132,-0.14486217
12aHSDH%GENOME225739_454,-1.0,-1.0,0.8649965,1.0,1.0,-1.0,0.9027224,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.20117965
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.30987915,1.0,-0.16702892,-0.50767994,-0.364879,-0.56566226,0.15573245,0.1485507,-0.27175644,0.69982654,0.89846337,0.25025097,-0.5867941,-0.12900941,-1.0,0.7233846,-0.6667981
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.06858943,0.65738404,1.0,1.0,1.0,-0.04242131,0.0064226277,0.05718111,-0.76822835,0.21482177,-0.80454326,-0.76303095,-0.20030369,-0.51107836,-0.9020483,-0.74963003,0.2640411
12aHSDH%MBQ2887473_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.23222815,-0.8890676,0.20597395,0.32494938,0.74257267,-0.07483538,-0.17952448,0.3019937,-0.3206696,-0.6035724,-0.4920827,-0.15827377,0.37695596,0.5647193,0.49162742,0.30414346,0.41258904
12aHSDH%MBQ4566268_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.8704149,-1.0,1.0,1.0,1.0,-0.6318363,1.0,0.7752469,-0.83539855,-1.0,-1.0,-1.0,1.0,1.0,1.0,0.20385931,-0.41007808
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,1.0,1.0,1.0,1.0,-0.07415017,-1.0,-1.0,-1.0,0.4027181,0.61623657,0.38763356,-0.6054139,0.982336,0.5356472,0.31621087,0.9446455
12aHSDH%MBR6816818_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.46229,1.0,0.68698907,0.4027732,-0.55117196,0.053849746,-0.35948178,-0.8581462,-1.0,-0.22132984,0.32705858,0.2000935,-0.023527022,0.16440886,0.71948624,0.26884112,0.3877964
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.08142482,0.39450678,0.8571267,0.5527016,0.4046026,0.11155615,0.10904853,0.026308041,-0.4274775,-0.31632477,-0.10681205,-0.21536075,-0.08493274,-0.21799845,-0.6892134,-0.29905584,-0.042354945
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.4968173,0.65365124,-1.0,-1.0,-0.96350944,-0.05000654,-0.21730928,0.25517032,0.90209,0.67311674,1.0,0.8988852,-0.52882683,-0.41124383,0.17037942,0.37823054,-0.4669581
12aHSDH%MCH5186073_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,-0.8700699,-0.35329178,0.18466319,0.028875435,-0.6265198,1.0,0.93805337,0.16073114,-0.6491555,-0.6621866,-0.5571051,1.0,1.0,1.0,1.0,-1.0
12aHSDH%MEE0965876_1_SDR_family_oxidoreductase__Bacilli_bacterium_,-0.5246356,-0.09961553,0.69594944,0.5007178,0.22338158,-1.0,0.38490522,0.19597283,-1.0,-0.7866885,-0.008234252,-0.502737,0.28735447,0.6436303,0.2833084,1.0,-0.08757721
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,0.44234523,0.6536232,0.053276345,-0.4856432,-0.46391103,0.4715634,-0.11401773,-0.30396456,0.5653943,0.30801398,0.640439,0.6130892,-0.28441304,-0.53222173,-0.66640717,-1.0,-0.18487796
