Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,HCA,LCA,TCA,TCDCA,TDCA,TLCA,UDCA
12aHSDH%GENOME015584_936,0.09172538,0.032906972,0.045777734,0.019558094,0.120113984,0.09263271,-0.09419585,-0.06668819,-0.050195817,0.0696015,0.010737602,0.011902954,-0.07876303,-0.10138414,-0.25152084,-0.14743567,0.14741236
12aHSDH%GENOME044629_647,-0.07743129,0.060424946,-0.10592437,-0.10269209,-0.11152443,0.020183563,0.021343961,0.04859347,0.15777978,0.08073933,0.0030282608,7.273432e-05,-0.0042984067,0.03880454,0.09079413,0.019762237,-0.12806466
12aHSDH%GENOME051950_684,-0.023156283,0.029945884,-0.052314915,-0.040155157,-0.05200956,-0.036882464,0.008717182,-0.0006902683,0.013206038,0.06897792,0.022999337,-0.006400131,-0.014798038,0.022245018,-0.014838252,0.05836658,-0.03461142
12aHSDH%GENOME055489_1547,0.04959553,-0.0015208673,-0.024281103,-0.008820511,-0.008648623,0.092897035,-0.05746688,-0.079970494,0.042067356,-0.009281527,-0.006137302,0.042382956,-0.023303716,-0.07120343,0.057615418,-0.091499224,0.065027654
12aHSDH%GENOME077010_272,0.03311665,0.08506318,-0.0927478,-0.14130571,-0.006925705,0.1785961,-0.014059106,-0.07944472,0.14270969,0.1350234,0.09717437,0.10711402,-0.07267648,-0.22935236,-0.25707433,-0.09366458,0.028776074
12aHSDH%GENOME126416_2228,-0.057739116,2.2690203e-05,-0.06810674,-0.051741205,-0.1393252,-0.113662034,0.067674726,0.05627854,0.029029218,-0.082555525,0.03794652,-0.0061941417,0.046511494,0.11086879,0.22590059,0.1731716,-0.115185305
12aHSDH%GENOME136792_1072,0.051791023,0.025256261,-0.08635445,-0.1238983,-0.10844172,0.045525126,-0.04800683,-0.04920067,0.052048422,0.0850266,0.12607732,0.11089927,-0.06737122,-0.058027707,-0.016165571,-0.009540218,0.029687567
12aHSDH%GENOME187328_883,0.08272379,0.091976136,0.006623718,-0.0053971615,-0.035534736,-0.008944481,-0.03539355,-0.089041874,-0.062669344,0.06080922,0.024453212,-0.0017969738,-0.04006212,-0.070459746,-0.011670221,-0.07931053,0.06106877
12aHSDH%GENOME211747_1057,-0.06882032,0.031168353,0.06308273,0.06685999,0.084189326,-0.06155546,0.05054111,0.056513906,-0.067462265,-0.01820942,-0.07598579,-0.07689255,0.055719923,0.019597996,-0.072140686,0.004538391,-0.011503517
12aHSDH%GENOME225739_454,-0.08259144,-0.16494663,0.068689436,0.11953935,0.14790054,-0.1194222,0.071685255,0.08414241,-0.11533501,-0.13437702,-0.14245117,-0.124806754,0.16875415,0.1606268,0.10016429,0.12606853,0.015975691
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.024607528,0.107119344,-0.013263779,-0.0403149,-0.02897507,-0.044919282,0.012366726,0.011796423,-0.0215802,0.055573277,0.07134704,0.01987245,-0.04659736,-0.010244647,-0.084401675,0.05744403,-0.05295049
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.0054466915,0.052202918,0.09433219,0.09322794,0.110792436,-0.0033686797,0.00051002135,0.0045407563,-0.06100507,0.017059013,-0.06388884,-0.060592346,-0.01590613,-0.04058477,-0.07163172,-0.059528176,0.020967524
12aHSDH%MBQ2887473_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.018441254,-0.07060093,0.016356407,0.025804255,0.058967754,-0.005942683,-0.014256053,0.023981342,-0.025464397,-0.047929734,-0.039076325,-0.0125685325,0.0299341,0.044844404,0.03904017,0.024152055,0.032763727
