Samples,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
LCA,0.5338659015926568,0.5693162477519798,0.5291641772377925,0.5174838899733967,0.5258253916471216,0.5273665145007191,0.5090135532921111,0.5393274511236898,0.5389597816284293,0.5386998513500175,0.5329022760097913
7oxoDCA,0.46758556415041597,0.4758404223980037,0.4576957821226734,0.4600732023937694,0.4605734740020748,0.4581772182035578,0.4651821508514788,0.4712407866017619,0.470160004038337,0.4817009083998164,0.466822951316189
CA,0.45405562809326444,0.4530626190876221,0.45413360717678797,0.4622754522598488,0.43155659058871565,0.45723581854304923,0.4622596304168151,0.45743133131768066,0.4641006148669571,0.4496978404691101,0.45458091328198513
DCA,0.3945338546002761,0.39913236026487264,0.39474556592848975,0.3342967077758331,0.36588162699779014,0.36066456261268354,0.3512038538995945,0.35857042867400146,0.37661109683796695,0.3625157182476329,0.36981557758391415
CDCA,0.3338585934080174,0.3602057291647046,0.36521221235324297,0.3600968598162104,0.343908854129388,0.36855551847049484,0.3542454148675598,0.3656563540898334,0.3771938680563769,0.3566687938255634,0.3585602198181392
3oxoDCA,0.22600975378951974,0.2879240159755409,0.28436598484568804,0.221090290737667,0.32519575763648784,0.2999678289191646,0.2814660670439297,0.2649141589673309,0.3483193812303215,0.29910591518437335,0.2838359154330024
TCA,0.3030952798921704,0.31993085101173147,0.2503105978471745,0.27660763110092146,0.26644209695173354,0.3000571093191408,0.24540808677000084,0.2896851377894173,0.3026835352627443,0.2834434207126007,0.28376637466576354
GDCA,0.32097885975744356,0.30208305864855844,0.23901907586875099,0.2925029326916194,0.2354275175000885,0.2971534244118983,0.26889674288525617,0.260193222374497,0.26805215783569236,0.25058295957368415,0.2734889951547489
3oxoLCA,0.23694490758913533,0.22653526500456947,0.23922287627544772,0.20658203738626163,0.2940741923890907,0.24237594356574613,0.23277735879193445,0.23699425667097873,0.24867153025098712,0.16635123436745397,0.2330529602291605
GUDCA,0.23534803157437129,0.22080060032592996,0.24671828605741514,0.2548676653514445,0.25283907904818803,0.18747565508080816,0.21342799818274827,0.23112661316874594,0.21130146713690184,0.2157112408167386,0.22696166367432918
GCA,0.23072240275028832,0.23006315929054852,0.24263587384415783,0.26336022795508696,0.16606192066626532,0.22886936356259682,0.23391803833255853,0.21898410206143543,0.212088415472557,0.2291586772637855,0.22558621811992802
carboxyibuprofen,0.24477785002248958,0.17007953866519396,0.18607391513012708,0.16532997207067993,0.12207305321639234,0.17365452176972584,0.21555490593914314,0.17896840076577716,0.20992421337186828,0.21909184127828435,0.18855282122296815
GCDCA,0.15214246590204467,0.13881406998829937,0.16943687046958475,0.20358605839465552,0.10169414267836677,0.18420769107324078,0.16117862182706122,0.148644331749391,0.17002905945170532,0.168818688459623,0.15985519999939724
TCDCA,0.17225014484520584,0.14868576990971752,0.16709486099004048,0.16945984981303852,0.11810290074656495,0.18450077187991368,0.14592711856361773,0.149670867993843,0.17704378657388536,0.14271377758557166,0.15754498489013985
UDCA,0.07760274968563503,0.07774589969403568,0.06720629197026397,0.08265782853491993,0.13288163227173788,0.05794184945290327,0.13323046623957735,0.1285023721463234,0.1576119263545946,0.11299206873611349,0.10283730850861046
TDCA,0.059918826411025854,0.049947674904824074,0.056197302903157505,0.07571505312748864,0.04904017919367367,0.09661495435398283,0.10163688267500652,0.0864094888866621,0.04003717379691835,0.032582448754180544,0.06480999850069201
TLCA,0.04862429074821495,0.07220976147441494,0.058176163414022215,0.040927340822841315,0.04444770089785192,0.08314717553732108,0.035263497727305256,0.05338967918576274,0.06549903976481207,0.07646847422433413,0.057815312379688066
GLCA,0.02900482867580968,0.04527910107822093,-0.005691719676119338,0.05060465810127335,0.03645654003416011,-0.011633575156391381,0.03084468299430639,0.053335626245087565,0.03332720550841232,0.05041705624815882,0.031194440405291846
HCA,-0.3153952560087216,-0.3049758189498967,-0.3084057684932858,-0.320757353954971,-0.3066883451030265,-0.3007506334387871,-0.30174175889168736,-0.31217626437244916,-0.31532368100452124,-0.29039862756812995,-0.3076613507785476
