Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-0.69457,1.0,-0.3837377,-1.0,1.0
12aHSDH%GENOME044629_647,-0.73154336,-0.5256087,1.0,1.0,-1.0
12aHSDH%GENOME055489_1547,-0.8473092,-1.0,1.0,0.3924033,0.7973671
12aHSDH%GENOME077010_272,-1.0,-0.7461508,1.0,0.9720461,0.12862708
12aHSDH%GENOME126416_2228,-0.15871495,-1.0,-0.14107572,1.0,-0.701588
12aHSDH%GENOME136792_1072,-1.0,-1.0,1.0,1.0,1.0
12aHSDH%GENOME187328_883,-0.25402394,-1.0,-0.28785694,-0.35363743,1.0
12aHSDH%GENOME211747_1057,1.0,1.0,-1.0,-1.0,-0.5808482
12aHSDH%GENOME225739_454,1.0,1.0,-1.0,-1.0,0.014481818
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.3050877,0.16896802,-0.34780523,0.95119536,-0.8985536
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,-0.8314885
12aHSDH%MBQ4566268_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,1.0,-1.0,-1.0,-1.0
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.85079604,0.6675031,-1.0,-0.48443246,-0.063976996
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,1.0,0.62685204,0.08786569,-0.939672,-1.0
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,-0.4984254,0.7480983,1.0,-0.04082539
12aHSDH%MCH5186073_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,0.81074506,-0.059133347,-0.058782652,-1.0
12aHSDH%MEE0965876_1_SDR_family_oxidoreductase__Bacilli_bacterium_,1.0,0.97660995,-1.0,-0.6343325,0.18998857
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,-0.9547302,-0.90376806,1.0,1.0,-0.7578009
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.89790845,-0.8893642,1.0,0.29334342,-0.26930884
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,1.0,1.0,-1.0,-1.0,0.89047617
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,-0.41225284,-1.0,0.73766834,1.0,-0.092231706
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.8187222,-0.19105554,1.0,0.51257145,-0.711031
12bHSDH%GENOME225741_180,1.0,0.8387366,-1.0,-1.0,0.61725557
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,-0.46290538,0.35634905,0.48367596,0.92121905,-1.0
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,-0.010636445,0.47962782,-0.06998794,1.0,-1.0
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-1.0,-1.0,1.0,1.0,-0.72609997
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-1.0,-1.0,1.0,1.0,0.48369986
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-1.0,-1.0,1.0,1.0,0.1288227
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,1.0,1.0,-1.0,-1.0,-1.0
3aHSDH%3aHSDH%WP_117548394_1_SDR_family_NAD(P)-dependent_oxidoreductase__Longicatena_caecimuris_,-0.8687221,-1.0,1.0,1.0,-1.0
3aHSDH%3aHSDH%WP_215683787_1_glucose_1-dehydrogenase__Dorea_formicigenerans_,-0.7878317,-0.35668027,0.741413,0.83047235,-0.5210429
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,-1.0,-0.32456943,-0.27362412,-0.09011797,1.0
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,1.0,0.82593167,-0.1559117,-0.42380014,-1.0
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,1.0,1.0,-1.0,-1.0,0.06806207
3aHSDH%GENOME060426_131,-1.0,-1.0,1.0,1.0,0.19207041
3aHSDH%GENOME084620_3418,-1.0,-1.0,1.0,1.0,-0.14295447
3aHSDH%GENOME084674_3322,-1.0,-1.0,1.0,1.0,1.0
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.28216836,-0.85085374,-1.0,0.21977526,1.0
3aHSDH%MCI6633699_1_3-oxoacyl-ACP_reductase_FabG__Clostridiales_bacterium_,1.0,1.0,-1.0,-1.0,-0.6775224
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,1.0,1.0,-1.0,-1.0,-0.6253484
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,1.0,1.0,-1.0,-1.0,1.0
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.99820364,0.51726294,-0.6347841,-0.95355225,0.19542919
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,0.41123202,1.0,-1.0,-0.15179236,0.037535377
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,1.0,1.0,-0.98509806,-0.7631128,-1.0
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,1.0,-1.0,1.0,0.7779334,-1.0
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.32242543,-0.5524184,-0.32175368,0.89663285,-0.52224606
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,-1.0,1.0,1.0,-0.17763856
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-1.0,-0.9889861,-1.0,-0.08343066,1.0
3aHSDH%WP_020436139_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_,1.0,1.0,-0.04505331,-1.0,0.81019294
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,1.0,1.0,-1.0,-1.0,1.0
3aHSDH%WP_087213392_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_,1.0,1.0,-1.0,-1.0,-1.0
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,1.0,1.0,-1.0,-1.0,0.71297985
