Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,-0.04466681,0.06444206,-0.024677629,-0.09249525,0.14524959
12aHSDH%GENOME044629_647,-0.04704452,-0.033801153,0.18922359,0.07863379,-0.17422041
12aHSDH%GENOME055489_1547,-0.05448925,-0.081067845,0.08836433,0.0252349,0.051277548
12aHSDH%GENOME077010_272,-0.18042728,-0.0479839,0.21931751,0.06251091,0.0082718255
12aHSDH%GENOME126416_2228,-0.010206734,-0.084225796,-0.009072379,0.120964654,-0.04511813
12aHSDH%GENOME136792_1072,-0.20891215,-0.19112715,0.099832945,0.17549782,0.16088784
12aHSDH%GENOME187328_883,-0.01633592,-0.07310834,-0.018511672,-0.022741921,0.15480448
12aHSDH%GENOME211747_1057,0.10138066,0.11960585,-0.10887548,-0.088103145,-0.037353527
12aHSDH%GENOME225739_454,0.1529377,0.23761266,-0.22183502,-0.18276186,0.0009313052
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.019619757,0.010866094,-0.022366863,0.061170027,-0.05778471
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.105943605,0.15128836,-0.08365057,-0.12569447,-0.05347185
12aHSDH%MBQ4566268_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.20822349,0.22497301,-0.14267413,-0.16646928,-0.17082615
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.054713488,0.04292618,-0.08023513,-0.031153165,-0.0041142697
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,0.077615716,0.040311966,0.005650518,-0.060428973,-0.076585695
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.13801019,-0.03205303,0.048109144,0.12545152,-0.002625423
12aHSDH%MCH5186073_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.06593419,0.052137867,-0.0038027817,-0.003780229,-0.13936013
12aHSDH%MEE0965876_1_SDR_family_oxidoreductase__Bacilli_bacterium_,0.07017962,0.0628044,-0.13940434,-0.040793024,0.012217896
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,-0.061397348,-0.058120046,0.07002779,0.085916154,-0.0487331
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.05774322,-0.057193752,0.14369823,0.0188645,-0.017318869
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.13719049,0.23797302,-0.1592527,-0.258575,0.05726526
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,-0.026511397,-0.09143342,0.047438405,0.07427533,-0.0059312903
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.052650865,-0.012286511,0.082417384,0.032962743,-0.045725398
12bHSDH%GENOME225741_180,0.089126185,0.053937964,-0.12070008,-0.08398702,0.03969483
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,-0.02976879,0.022916302,0.031104516,0.059242293,-0.08485042
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,-0.0006840147,0.030844186,-0.004500825,0.06696111,-0.12250338
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.2430472,-0.29537833,0.31028658,0.29116413,-0.04669446
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,-0.2319485,-0.33175716,0.40636313,0.4649662,-0.36616898
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.20296459,-0.26231807,0.22184588,0.22571371,0.031106053
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-0.10427689,-0.16876805,0.14577329,0.12416831,0.008284406
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,0.1372049,0.12516612,-0.10680744,-0.09087924,-0.102753855
3aHSDH%3aHSDH%WP_117548394_1_SDR_family_NAD(P)-dependent_oxidoreductase__Longicatena_caecimuris_,-0.055866286,-0.09144239,0.095635824,0.12134578,-0.082178704
3aHSDH%3aHSDH%WP_215683787_1_glucose_1-dehydrogenase__Dorea_formicigenerans_,-0.050664343,-0.022937603,0.04767922,0.0534065,-0.03350753
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,-0.09390777,-0.0208726,-0.017596379,-0.005795359,0.17441408
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,0.07676964,0.053114496,-0.0100264605,-0.027253987,-0.11252074
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,0.20155506,0.35324097,-0.23531921,-0.32224897,0.0043769754
3aHSDH%GENOME060426_131,-0.098724835,-0.11441564,0.113200404,0.104877606,0.0123517765
3aHSDH%GENOME084620_3418,-0.16127922,-0.06902532,0.15696202,0.10769139,-0.0091932
3aHSDH%GENOME084674_3322,-0.2251831,-0.22896267,0.17720981,0.20161097,0.11774203
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.018145848,-0.054717198,-0.078146555,0.014133436,0.13458484
3aHSDH%MCI6633699_1_3-oxoacyl-ACP_reductase_FabG__Clostridiales_bacterium_,0.16971174,0.13668174,-0.18012154,-0.11083527,-0.043570507
3aHSDH%MCI6899085_1_SDR_family_oxidoreductase__Mycoplasmatota_bacterium_,0.12580247,0.100063086,-0.13366848,-0.08260669,-0.04021527
3aHSDH%MCI8568452_1_3-oxoacyl-ACP_reductase_FabG__Bacilli_bacterium_,0.1681778,0.18127427,-0.30976176,-0.23850447,0.20679079
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.06419306,0.033264447,-0.040822066,-0.061321594,0.012567774
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,0.026445748,0.064824365,-0.10539424,-0.009761551,0.002413847
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,0.21376272,0.105554886,-0.06335026,-0.049074702,-0.29123878
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.17726174,-0.07869783,0.08023469,0.050027795,-0.30774587
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.020734722,-0.035525247,-0.020691523,0.057661187,-0.033584904
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.37794253,-0.28077587,0.27705395,0.40871552,-0.011423685
