Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Tyr_CA,isoCA_aMCA,isoLCA
12aHSDH%GENOME015584_936,1.0,0.15852223,0.68073124,-0.5213131,-0.03466703,-1.0,-1.0,0.21028115,1.0,0.81652576,-0.6848047,0.43419474,0.2920622,-0.38587117,0.75938964,0.0041708034,-0.21726276,-0.015528873,0.42315212,-1.0,-0.85921663,-1.0,-1.0,1.0,-0.11973759,-1.0,1.0,1.0,0.62524784
12aHSDH%GENOME044629_647,-0.09602163,1.0,-0.22921349,0.43360493,-0.039640166,-0.5293953,-0.6263462,-0.06794495,-0.3114623,1.0,1.0,1.0,-0.47739583,-1.0,-1.0,-1.0,0.5534029,-0.7253852,-0.27015913,0.10324934,0.97479427,1.0,1.0,-1.0,-0.6380892,0.5752531,-0.9970811,0.19610313,-0.91545
12aHSDH%GENOME055489_1547,0.420165,-0.07534368,-0.66192645,0.62749666,-0.74421716,-0.3037207,0.8110475,-0.3835376,-0.39428225,0.7572332,0.38096094,-0.16042256,-0.29845312,-0.83665556,-0.6239189,0.42738461,0.39958522,-0.51978123,-1.0,0.3510226,-0.7169477,0.31715968,-0.7844104,-0.40117627,1.0,-0.014972519,-0.17508665,-0.05320848,0.0009476797
12aHSDH%GENOME077010_272,0.7417409,0.8960895,-0.9451557,1.0,-1.0,-1.0,-0.2141988,-1.0,-0.18587221,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.8048342,1.0,-1.0,-1.0,-0.80880433,-1.0,-1.0,-0.70940953,-1.0,1.0,0.28673348,-0.48600104,0.4431985,1.0
12aHSDH%GENOME126416_2228,-0.63064075,-0.10117189,-0.5558155,-0.079231,-0.06761139,0.45678192,0.7552342,-0.2475227,-1.0,-1.0,0.1553734,-0.7749598,0.27213722,0.89447916,0.22832097,0.15036672,-0.103484206,0.4179841,1.0,0.92556787,1.0,1.0,1.0,-0.56505,-0.16510935,-0.3200085,0.32313022,-0.9418054,-0.13743727
12aHSDH%GENOME136792_1072,0.79320115,0.42203286,-0.95531607,0.7089717,-1.0,-1.0,1.0,-1.0,-1.0,0.8743542,0.7294813,0.98141843,-0.45782316,-1.0,-1.0,1.0,1.0,-0.838532,-0.7139439,1.0,-0.4124653,0.0705282,0.18141288,-0.9706508,0.6925242,-0.35129082,-0.63997805,-0.49940756,1.0
12aHSDH%GENOME187328_883,0.6744671,0.55552816,-0.12877825,0.03889231,0.22613183,0.15044224,0.39792627,-0.3192624,-0.7133368,-0.6015231,-0.911383,0.20031746,0.6922491,0.20140341,0.4950416,0.58876294,-0.43341556,0.2443332,-0.41871896,0.12605347,-0.8700188,-0.36643144,-0.97328657,0.55626184,0.05415043,0.15023343,0.30868587,0.2533146,-0.3702997
12aHSDH%GENOME211747_1057,-0.48327708,0.43367425,1.0,-1.0,0.692178,0.55936635,-0.9743005,1.0,1.0,-0.5233671,-0.89501244,-0.27949598,1.0,0.7235761,0.60290146,-0.809167,-0.7465875,0.99052435,1.0,-0.58675885,0.41057402,-0.46347037,0.22823538,1.0,-0.6028183,0.22926907,0.47296613,0.7793205,-1.0
12aHSDH%GENOME225739_454,-1.0,-1.0,0.7705129,-0.8232838,0.38804698,0.25339994,-0.95108604,1.0,1.0,-1.0,-0.6247019,-1.0,-0.15415406,0.84525204,1.0,-1.0,-1.0,0.6630669,0.32555065,-1.0,1.0,0.9504163,1.0,0.6238876,-1.0,0.37334314,0.87227494,0.17241856,-1.0
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.13339336,1.0,0.37688965,-0.3620725,0.5401459,-0.27454996,-0.7724816,0.13925618,0.24188386,0.03587096,-0.015847597,0.9509643,0.40236026,-0.15882656,0.10000033,-0.333955,0.44566926,-0.29288128,0.85903716,-0.31300628,0.4153284,-0.23374784,1.0,0.4721926,-0.9116299,-1.0,-0.6507569,0.19157246,0.6607303
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.4256858,0.08243778,0.80712336,-0.4485888,0.7613295,1.0,-0.7190911,0.63871825,0.77500445,-0.6374038,-0.9453947,-0.25301698,0.93270755,1.0,1.0,-0.39687115,-1.0,0.8522343,0.09389099,-0.97392064,-0.76747733,-1.0,-1.0,0.9560876,-0.38105327,0.9528896,1.0,0.77614176,-0.48153883
12aHSDH%MBQ2887473_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.52139205,-0.8398501,0.266115,0.29619342,0.09548498,0.30322647,0.09061036,0.1613504,0.50276715,-0.2273574,-0.11169378,-0.54501796,-0.99139994,0.281685,0.052182216,-0.32813022,-0.31414026,0.35570624,-0.45185843,-0.33371708,0.15666449,0.22036275,-0.04190426,-0.15682934,0.37915897,1.0,0.5357241,-0.05829129,-1.0
12aHSDH%MBQ4339583_1_SDR_family_oxidoreductase__Bacillota_bacterium_,0.8601954,0.8316568,0.2896817,0.9317466,0.00082514243,-0.5137204,-0.06548745,-0.15058064,-0.08980897,1.0,1.0,1.0,-0.62586904,-0.92481446,-0.8335464,0.1443631,1.0,-1.0,-1.0,-0.5887651,0.15202777,0.55203444,0.6014767,-0.8583321,0.19030125,-1.0,-0.61115867,0.40429926,0.40085497
12aHSDH%MBQ4566268_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,-1.0,1.0,-0.5712225,0.6962429,0.9680516,-0.69776607,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,0.70973164,-1.0,-1.0,1.0,1.0,0.09800765,0.61436146,0.41879714,-0.46243992,1.0,-0.29372412,1.0,1.0,0.21202876,-1.0
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.5504711,0.5183147,1.0,-0.71654296,1.0,0.84498817,-0.44958445,1.0,0.6383846,-0.6106813,-1.0,-0.16993901,0.62453127,0.79179823,-0.24551104,0.68714833,-0.31044695,1.0,1.0,1.0,0.09275279,-0.17115122,-0.40231654,1.0,0.22920048,-0.76477313,1.0,1.0,-1.0
