Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,LCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_DCA,Trp_CA,Tyr_CA,isoCA_aMCA,isoLCA
12aHSDH%GENOME015584_936,0.08613412,0.012591651,0.05407147,-0.041408654,-0.0027536526,-0.11295291,-0.11529789,0.016702937,0.09893285,0.064857826,-0.054395027,0.03448872,0.023198925,-0.030650306,0.060319424,0.00033129295,-0.017257497,-0.0012334809,0.03361159,-0.11988925,-0.06824882,-0.1808262,-0.0882862,0.109808244,-0.009510931,-0.08895412,0.08971825,0.13160081,0.049664345
12aHSDH%GENOME044629_647,-0.0076271375,0.109014146,-0.01820676,0.03444187,-0.003148676,-0.042050637,-0.049751583,-0.0053969664,-0.024739904,0.091582395,0.14011921,0.12098599,-0.037920244,-0.11638079,-0.095000915,-0.10041342,0.043957595,-0.0576184,-0.02145913,0.008201245,0.077429324,0.12281429,0.112907864,-0.109323576,-0.050684348,0.04569319,-0.0791996,0.015576756,-0.07271552
12aHSDH%GENOME055489_1547,0.033374317,-0.005984658,-0.05257778,0.04984297,-0.05911425,-0.024124978,0.06442268,-0.030464947,-0.03131841,0.060148135,0.030260282,-0.012742598,-0.023706565,-0.066456765,-0.04955878,0.03394778,0.031739634,-0.04128698,-0.09899876,0.027882235,-0.056948196,0.025192454,-0.06230686,-0.031866014,0.08429139,-0.0011892889,-0.013907387,-0.004226427,7.527557e-05
12aHSDH%GENOME077010_272,0.058917556,0.07117769,-0.07507509,0.13690309,-0.088148296,-0.15960746,-0.017014122,-0.13038243,-0.014764099,0.17698212,0.12614858,0.1410984,-0.082678325,-0.1695391,-0.11626753,0.06392915,0.11313315,-0.12988071,-0.13497317,-0.0642445,-0.16089603,-0.166278,-0.05634943,-0.11879303,0.08233623,0.022775657,-0.038603768,0.0352039,0.191926
12aHSDH%GENOME126416_2228,-0.050092712,-0.00803623,-0.044149235,-0.0062934337,-0.0053704707,0.036282852,0.059989348,-0.019661088,-0.09398081,-0.0931958,0.012341535,-0.061556183,0.021616256,0.07104978,0.018135866,0.011943847,-0.008219901,0.033201084,0.080993935,0.0735192,0.09321066,0.17226422,0.106745236,-0.04488274,-0.013114875,-0.02541874,0.025666703,-0.07480897,-0.010916842
12aHSDH%GENOME136792_1072,0.06300512,0.033522684,-0.075882144,0.05631465,-0.09645677,-0.13279776,0.09300419,-0.097716324,-0.0971962,0.06945122,0.057943758,0.07795549,-0.036365557,-0.11003284,-0.07967001,0.087651774,0.105167694,-0.066605814,-0.056709602,0.09529222,-0.032762717,0.0056021577,0.014409888,-0.0771002,0.055008203,-0.02790354,-0.050834384,-0.039668668,0.082713835
12aHSDH%GENOME187328_883,0.0535739,0.04412641,-0.010229043,0.0030892726,0.017961979,0.011949846,0.031607863,-0.025359474,-0.05666138,-0.047779854,-0.07239247,0.015911506,0.054986354,0.015997766,0.039321873,0.046766296,-0.034426827,0.01940774,-0.033259455,0.01001261,-0.069106854,-0.029106181,-0.077309564,0.044184685,0.004301247,0.01193326,0.024519367,0.020121148,-0.029413443
12aHSDH%GENOME211747_1057,-0.0383874,0.034447376,0.07985699,-0.14337327,0.054980703,0.04443128,-0.077390105,0.08972458,0.08383697,-0.04157181,-0.071092136,-0.02220077,0.0993907,0.057474703,0.047889337,-0.06427331,-0.05930253,0.07867879,0.11140357,-0.046607107,0.03261249,-0.036814123,0.018129067,0.1071845,-0.047882732,0.018211175,0.037568387,0.061902557,-0.08837266
12aHSDH%GENOME225739_454,-0.083577946,-0.10640573,0.06120296,-0.065394625,0.030823134,0.020127924,-0.075546145,0.106174186,0.14858902,-0.09038463,-0.049620982,-0.102061555,-0.012244681,0.067139596,0.08690479,-0.10876019,-0.10097272,0.05266837,0.025858961,-0.11329051,0.120384715,0.07549295,0.08802128,0.0495563,-0.08622511,0.029655186,0.06928606,0.013695457,-0.11317194
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.010595629,0.10847504,0.029936891,-0.028759945,0.04290457,-0.021807902,-0.06135934,0.01106132,0.019213187,0.0028492827,-0.0012587976,0.075536475,0.03196006,-0.012615824,0.007943171,-0.02652653,0.035400156,-0.023263985,0.06823457,-0.024862543,0.03299014,-0.01856693,0.08199313,0.03750694,-0.07241209,-0.099936046,-0.051690564,0.015216879,0.05248277
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.03381284,0.006548153,0.06411098,-0.03563206,0.060473505,0.11044219,-0.05711845,0.05073432,0.06155973,-0.05062991,-0.075094074,-0.020097505,0.074086316,0.086299784,0.07990628,-0.03152405,-0.0858161,0.06769421,0.0074578975,-0.07735993,-0.06096184,-0.089855626,-0.09056343,0.075943425,-0.030267615,0.075689405,0.09304871,0.061650068,-0.03824933
12aHSDH%MBQ2887473_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.041414928,-0.06671052,0.021137903,0.023527075,0.007584511,0.02408572,0.0071973125,0.012816296,0.039935526,-0.018059328,-0.008871999,-0.04329157,-0.07874834,0.022374649,0.0041449093,-0.02606386,-0.024952617,0.028254263,-0.03589177,-0.026507633,0.012444088,0.017503733,-0.0033285161,-0.012457183,0.030117147,0.095034115,0.042553343,-0.004630162,-0.09368196
12aHSDH%MBQ4339583_1_SDR_family_oxidoreductase__Bacillota_bacterium_,0.06832657,0.06605971,0.023009839,0.074009985,6.554226e-05,-0.040805556,-0.0052017635,-0.011960839,-0.007133657,0.097213976,0.0861984,0.0913683,-0.049713686,-0.07345936,-0.0662098,0.011466972,0.07950318,-0.087503225,-0.08823695,-0.046766467,0.0120757865,0.043848895,0.04777617,-0.068178564,0.015115905,-0.13466048,-0.048545223,0.032114077,0.031840492
12aHSDH%MBQ4566268_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.11235531,-0.11104154,0.080757186,-0.04537303,0.05530359,0.07689375,-0.05542457,0.11481974,0.08854194,-0.10707773,-0.09064413,-0.15719366,0.11397275,0.10681996,0.056375016,-0.08800656,-0.1265007,0.15029211,0.10476921,0.00778489,0.048799623,0.033265665,-0.036732275,0.09484807,-0.023330932,0.11576386,0.13419905,0.016841752,-0.14841007
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.043724723,0.04117049,0.11217806,-0.056916047,0.13427663,0.06711864,-0.035711147,0.08888163,0.050707813,-0.048507303,-0.20186871,-0.013498503,0.049607426,0.06289368,-0.019501299,0.054581188,-0.024659252,0.16311604,0.11212772,0.14507091,0.007367489,-0.013594789,-0.031956587,0.16003644,0.018205727,-0.06074704,0.10725732,0.09576335,-0.12186095
12aHSDH%MBR6816818_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.0070510013,0.044836406,0.061916996,-0.052914664,0.07489382,0.046828974,0.03447378,0.028801689,-0.064823925,-0.03193573,-0.094493344,-0.030618474,0.089171685,0.00050191034,-0.035516396,0.017162746,-0.02704783,0.1616593,0.06019979,0.14231929,-0.0061563468,0.021407275,-0.01639385,0.029647632,-0.04001052,0.13231856,0.09136334,-0.00012744745,-0.062283743
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.044650916,-0.026964819,0.056864206,-0.030923914,0.028131219,0.063621596,-0.020163994,0.03706305,0.0040173726,-0.05203921,-0.08279695,-0.05611692,0.07588586,0.08480022,0.037793435,-0.0029235429,-0.07248011,0.12287119,0.1063933,0.06534426,-0.026352355,-0.06077792,-0.069204345,0.07740034,0.0011408316,0.096788585,0.10219548,0.010054575,-0.08811366
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.007329694,0.06261906,-0.10468676,0.023591138,-0.11361263,-0.17175789,0.06193205,-0.10065287,-0.050315376,0.053745214,0.080534525,0.07247655,-0.13598542,-0.11217493,-0.1256062,0.064889215,0.11269395,-0.08304965,-0.020335788,0.09274563,0.0018396185,0.04026206,0.06925785,-0.095060386,0.08005872,-0.045251653,-0.08750718,-0.03699672,0.090012796
12aHSDH%MCH5186073_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.067362845,-0.03182281,-0.017459434,-0.021266356,-0.027415942,0.028645916,0.020609977,0.025966957,0.016568514,-0.0076080034,0.037759513,-0.022557463,-0.029331334,0.013683576,-0.03678571,-0.043383513,-0.005603017,0.00895855,0.01608709,0.03458286,0.075463,0.089788035,0.081401065,-0.04025741,-0.021191945,0.006136589,-0.011391213,-0.04925195,-0.021764783
12aHSDH%MEE0965876_1_SDR_family_oxidoreductase__Bacilli_bacterium_,-0.04172214,-0.01705082,0.06601362,-0.08600201,0.09523795,0.059514195,-0.035244945,0.05441925,0.033414233,-0.10552584,-0.10092136,-0.054720923,0.094115235,0.08787765,0.09423376,-0.03300073,-0.06117068,0.07593599,0.114126846,-0.004348123,0.044722296,0.0073190755,0.057436973,0.09891386,-0.08240693,-0.013671416,0.024402473,0.01816351,-0.049900305
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.01122164,-0.06787047,0.02238536,0.0027260482,0.035152387,0.035787042,-0.0123387845,-0.0073500792,0.0114768315,0.01745062,-0.02064412,-0.027831983,0.016179146,0.05364634,0.06885187,0.041055907,-0.019512912,0.04978039,-0.0033489827,-0.026278649,-0.07987507,-0.08431855,-0.096479416,0.034087002,0.036278516,0.046994463,0.08218421,0.026385898,0.04577591
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.07732038,-0.0039409115,-0.028266344,0.059836812,-0.06011089,-0.06938131,0.015424929,-0.043742985,-0.03338413,0.07623682,0.052494098,0.038260773,-0.001857766,-0.04792683,-0.0045361468,0.074382484,0.029074859,-0.056128383,-0.057496566,-0.0029880179,-0.06215189,-0.054859422,-0.0763718,-0.011903711,0.06270953,-0.06270644,0.006887048,0.039739314,0.0652688
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,0.14097244,0.07563588,0.030697873,0.026509011,0.046929054,-0.036799733,-0.07957984,-0.012361817,0.02408531,0.040882047,-0.04605949,0.07631483,0.01598845,-0.0022606137,0.04607401,0.03972778,0.037374463,-0.07792721,-0.050241143,-0.07396676,-0.10552044,-0.051841963,-0.005690905,0.02112427,-0.021520378,-0.120224774,-0.015751587,0.15218309,0.088912316
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,-0.029486129,0.032810062,-0.099498786,0.052762393,-0.08445198,0.0064752917,0.0546274,-0.061944026,-0.04305695,0.015157482,0.057981804,0.059763238,-0.087927006,-0.024050191,-0.06118742,0.005269278,0.04149542,-0.0650187,-0.015435033,0.078877255,0.0129260365,0.027638426,0.041017197,-0.08585684,0.01311202,0.025566764,-0.09006622,-0.0940519,0.022630394
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,-0.016607152,-0.09591839,0.1120754,-0.10472111,0.14304361,0.06540175,-0.14285076,0.11313974,0.13721508,-0.051169362,-0.08546607,-0.08400364,0.13405026,0.025763825,0.04532592,-0.081311464,-0.13861111,0.13666934,0.05089166,-0.1192132,-0.01864909,-0.07932933,-0.11092585,0.09918631,-0.032256905,0.117987186,0.107982166,0.12688854,-0.08268874
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,-0.01830684,-0.071178116,-0.037838235,-0.005578584,-0.02870551,0.07524795,0.044051386,-0.017214747,-0.015514804,-0.033817526,-0.0219187,-0.022945473,0.027143192,0.07724269,0.043590225,0.041891903,-0.03197887,0.0075680315,-0.0007857557,0.014498673,-0.024615662,-0.027771268,-0.043814935,0.020024324,0.03776486,0.011222774,0.00494314,-0.020400207,-0.012406608
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,0.04539296,0.034341086,-0.00096823357,-0.058066558,0.037663396,-0.033759255,-0.011466469,-0.025477769,-0.03629973,0.012936123,-0.0528084,-0.015306025,0.028968446,0.007775533,0.030744374,0.03749724,0.02473349,0.015401572,0.037608016,0.008866251,-0.042255655,-0.047071606,-0.030335769,0.03852687,0.0064370837,0.020577155,0.014289822,0.03788814,0.03623258
