Samples,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
LCA,0.7289080079106716,0.7258546014834858,0.7334340957454305,0.7496288936803882,0.7209597561032898,0.7521068504347581,0.7489266102021355,0.736660137074461,0.7379449165480536,0.7205299304293089,0.7354953799611983
isoLCA,0.7152463629231904,0.7142493082860056,0.7208705026846489,0.727961451918244,0.7133990520347431,0.7326824880095079,0.7274047924388263,0.7270794872156222,0.7350183439263049,0.7120837384968786,0.7225995527933973
DCA,0.6228819928879119,0.625478562738107,0.6546973134720989,0.651763694527826,0.6448512521315126,0.6478670781719023,0.6657130643517148,0.6288960291623803,0.6208185947753868,0.616819806742861,0.6379787388961702
isoCA_aMCA,0.6316288279147113,0.6049455789023708,0.5943537817612988,0.633089765451411,0.611807522653927,0.5980577986348925,0.6112790484646063,0.6023372651813019,0.6291496967732542,0.6056478623806236,0.6122297148118397
7oxoDCA,0.5925017733245019,0.5933813892529489,0.5716000319433289,0.5851148785448875,0.5835059682351781,0.570680486853911,0.600602695453243,0.5767990435791561,0.5758430924900294,0.5832816603014886,0.5833311019978673
CA,0.5900461299247923,0.5845746604846931,0.5784255696951761,0.5649635705125496,0.5541016643413803,0.5733193346392518,0.5974682563170282,0.5654838239922585,0.5903209365032389,0.5821530743105174,0.5780857020720886
3oxoDCA,0.5516742062317677,0.5248488563818543,0.5977606787017856,0.5727239203859505,0.5901083724404234,0.5742506235995434,0.6389335155982093,0.5758113840386703,0.577712716733137,0.5499807400517669,0.5753805014163108
CDCA,0.6211239354181053,0.5914542200425598,0.5964488883251831,0.5583811308877897,0.5447535431258427,0.5430753439779779,0.5850432409325574,0.5398434307135107,0.5784056051146906,0.5480488732930284,0.5706578211831246
Glu_CA,0.5649800119317729,0.5363496291285579,0.5690222522865318,0.5619089896982765,0.5485538597406013,0.5729212174166303,0.551696519586428,0.5438163822301142,0.5449214804793379,0.5362239697102084,0.553039431220846
Glu_CDCA,0.5698619390540077,0.5281641511295254,0.5569706919958474,0.5470858758813776,0.5369133349304999,0.5628332323360439,0.5403178830968117,0.5324588847080709,0.5458234097624449,0.5382791471131216,0.5458708550007751
3oxoLCA,0.5531562827360401,0.49965120703504845,0.5518679801011853,0.5857243854432371,0.5253244831522429,0.5098519332760233,0.5531821192519625,0.48691732784659686,0.5492361786383687,0.5152388468458312,0.5330150744326536
Tyr_CA,0.48941994672980177,0.4951556532645613,0.4670208618122202,0.46827863038280326,0.5078155460665079,0.5083217069011683,0.4771581711504766,0.47951164287358433,0.4758252418063013,0.4770677433447484,0.4845575144332173
Glu_DCA,0.4911780041996082,0.4742633069800872,0.4849138234755282,0.4652369678264914,0.4557890237085266,0.48741996551999517,0.49664712486553275,0.49865650117203836,0.49906049033009675,0.471258050423484,0.48244232585013885
Phe_CA,0.46008023412580973,0.4547273777815359,0.46511365718231656,0.4754470891641652,0.4700871864973671,0.5110204484279655,0.4845368452204795,0.47212122493270764,0.47420106446445603,0.47908768913504046,0.4746422816931844
Thr_CA,0.4614472206955191,0.4405713158302682,0.42546165156404875,0.5203450819017555,0.4397116644823067,0.4911850505221325,0.45083676572528736,0.4421109373018222,0.4417480516918221,0.47630086857668985,0.4589718608291653
GDCA,0.4737219145328054,0.40145717949802007,0.44122662382502575,0.4647660386044523,0.44573274707929933,0.45201336922260277,0.44527003856687203,0.40751819125598354,0.43510806709978067,0.46512305227901557,0.44319372219638586
Asp_CA,0.4301956059132739,0.44451725644386203,0.45301864456939933,0.43604287922133445,0.45566453867726436,0.4461038533989111,0.4286583332158947,0.42928075837220564,0.4452406788896875,0.43105408287414804,0.4399776631575982
Ala_DCA,0.4251516133729807,0.41084170671326636,0.3776323886563603,0.4318385734485172,0.41758738614317187,0.39409494684724045,0.42503417466424276,0.3925036523438418,0.4100043687199651,0.4320804971885173,0.4116769308098104
Gln_CA,0.4115921400621016,0.40245305974811746,0.38194943558956584,0.41538541035433607,0.4094113032408387,0.4229238010682225,0.3882594174100537,0.38903098972646183,0.44249143871813307,0.39199866589626875,0.4055495661814099
Asn_CA,0.39688763934102794,0.3869699403881115,0.3987737050033588,0.39492171535675535,0.3560577234741189,0.39996805667122326,0.3814843783029637,0.38432991821568324,0.39662575102054237,0.40174725310860265,0.3897766080882388
Asp_DCA,0.3943791485223862,0.3781197592976226,0.3731415324342226,0.37724718969169996,0.3258982886831363,0.38912259191927734,0.42360142241764026,0.36241702955227667,0.3767281105990784,0.38414553944296476,0.3784800612560305
