Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Tyr_CA,isoCA_aMCA,isoLCA,isoalloLCA
12aHSDH%GENOME015584_936,1.0,0.31067955,1.0,-0.9766361,0.30919454,-1.0,-1.0,0.4049731,1.0,1.0,-1.0,-1.0,-1.0,0.7593548,0.60965395,-0.38047713,1.0,0.24337319,-1.0,-0.28942555,-1.0,0.10436393,0.31573614,0.9414962,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-0.009211826,-1.0,1.0,1.0,1.0,0.8351696,0.14371179
12aHSDH%GENOME044629_647,-0.085082546,1.0,-0.07708646,0.55119497,-0.023621125,-0.4433929,-0.9217344,0.15287764,-0.25835952,1.0,1.0,1.0,1.0,1.0,-0.7053393,-1.0,-1.0,-1.0,-1.0,0.6506666,-1.0,0.3837391,-0.97224253,-0.22804014,0.33369896,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.95820427,-1.0,-1.0,0.10418786,-1.0,0.70577097
12aHSDH%GENOME077010_272,0.68342954,1.0,-1.0,1.0,-1.0,-1.0,-0.26527244,-1.0,-0.13152626,1.0,-0.2850242,-0.83477,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.98386925,-1.0,-1.0,1.0,0.123358,-0.2222009,-0.74961346,0.46622223,1.0,1.0
12aHSDH%GENOME126416_2228,-0.7552966,-0.12603185,-0.8463277,-0.16363443,-0.13465798,0.4559544,0.90242195,-0.47093228,-1.0,-1.0,0.86509246,0.8952608,0.32914135,-1.0,0.19867559,1.0,0.24212247,0.2255068,-0.17553233,-0.083200194,-1.0,0.9366592,0.3188328,1.0,1.0,0.8806355,1.0,1.0,1.0,-0.9751898,-0.650771,-0.3319679,-0.38653925,-0.8367107,0.28408605,-1.0,-0.3056278,0.60745656
12aHSDH%GENOME136792_1072,0.93981344,0.43809637,-1.0,0.87830234,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-0.228752,-0.26069695,1.0,1.0,-0.5307107,-1.0,-1.0,1.0,0.8478534,1.0,0.2135223,-0.89808637,-0.891353,-0.8940786,1.0,-0.654256,-0.41470504,0.13823232,0.20838223,-1.0,-1.0,0.8705005,-0.40470856,0.106246725,-0.7486881,-0.793396,1.0,1.0
12aHSDH%GENOME187328_883,0.841521,0.91934466,-0.033266753,-0.037332483,0.4054381,0.22551969,0.59679914,-0.26278967,-0.8257556,-0.7594958,-0.756227,-1.0,-1.0,0.29116225,1.0,0.1905088,0.60198087,0.8456,0.4941272,-0.5630782,0.38550133,0.18988611,0.40251264,-0.48932472,0.19465502,-0.9035736,-1.0,-0.5835886,-1.0,0.8972449,0.6995757,0.05540109,0.16762786,0.53539246,0.41311556,0.40383163,-0.41078648,-0.22411071
12aHSDH%GENOME211747_1057,-0.63460594,0.52557474,1.0,-1.0,1.0,0.7827948,-1.0,1.0,1.0,-0.86100656,0.6867709,0.74117076,-1.0,-0.57243216,1.0,1.0,0.93549293,-0.9875324,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.85704243,0.6995526,0.65607905,-0.7577359,0.2448816,1.0,1.0,-0.8366081,0.35997903,1.0,0.86328405,1.0,-1.0,-1.0
12aHSDH%GENOME225739_454,-1.0,-1.0,0.9945096,-1.0,0.58369344,0.22253078,-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-0.250186,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.86455053,1.0,0.6144484,-1.0,1.0,1.0,1.0,1.0,0.8885722,1.0,-1.0,0.4855851,1.0,1.0,0.18799053,-1.0,-1.0
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.33024412,1.0,0.49975696,-0.6021162,0.73975813,-0.5563059,-1.0,0.06647063,0.27865174,0.1474889,0.5807812,0.6058869,0.060873933,1.0,0.5410189,-0.32076812,0.025249522,-0.2058975,-0.26350546,0.80897564,-1.0,0.3300583,-0.48563513,1.0,-0.39723334,-0.17985295,0.4386718,-0.48394173,1.0,0.6116066,-0.17030145,-1.0,-1.0,0.5803338,-0.9268563,0.39892745,1.0,0.6781318
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.6178135,0.15899329,1.0,-0.6845722,1.0,1.0,-1.0,1.0,1.0,-0.8643251,-0.24155371,-0.54113233,-1.0,-0.40314725,1.0,1.0,1.0,-0.68294805,-0.13076653,-1.0,-0.17201874,0.8418154,1.0,0.46203414,-1.0,-0.487501,-1.0,-1.0,-1.0,1.0,1.0,-0.6406385,1.0,0.6460788,1.0,1.0,-0.7854163,-1.0
12aHSDH%MBQ2887473_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.60116875,-1.0,0.4893054,0.43200806,0.10854145,0.3485224,0.02664465,0.29868996,0.66192466,-0.21361816,-0.29252926,0.13624807,-0.1936348,-0.78731775,-1.0,0.41457874,0.20642048,-0.4044908,-0.82335603,-0.48042712,0.016849333,0.43163052,0.6694717,-0.43380418,-0.5416024,0.39179975,0.27928898,0.4148882,-0.17122155,-0.05061364,0.19672285,0.58773375,1.0,0.109772,0.88319457,-0.08855925,-1.0,-0.29450873
12aHSDH%MBQ4339583_1_SDR_family_oxidoreductase__Bacillota_bacterium_,1.0,1.0,0.49080005,1.0,0.049592502,-0.4661243,-0.27662197,-0.060539633,-0.048249684,1.0,0.6582116,1.0,1.0,1.0,-0.7783628,-1.0,-0.8884916,0.19394413,-1.0,1.0,-0.7468774,-0.7584662,-1.0,-1.0,-0.4709684,0.43777373,0.80104357,1.0,1.0,-1.0,-1.0,0.114405505,-1.0,-0.025362544,-0.83766943,0.38995838,0.3843705,1.0
12aHSDH%MBQ4566268_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-1.0,-1.0,1.0,-1.0,0.95714825,1.0,-1.0,1.0,1.0,-1.0,0.6795313,0.22640152,-1.0,-1.0,1.0,1.0,0.93782175,-1.0,0.03732896,-1.0,-0.3609469,1.0,1.0,1.0,0.09882248,1.0,0.8710472,0.5867687,-0.6317411,1.0,1.0,-0.6216921,1.0,1.0,1.0,0.34645435,-1.0,-1.0
