Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,His_DCA,LCA,Lys_CDCA,Met_CA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Tyr_CA,isoCA_aMCA,isoLCA,isoalloLCA
12aHSDH%GENOME015584_936,0.08621684,0.016043575,0.05700688,-0.05043375,0.015966889,-0.09169514,-0.11678182,0.02091292,0.096495114,0.061461784,-0.06459918,-0.05679268,-0.063559085,0.03921329,0.031482693,-0.019647941,0.075741544,0.012567856,-0.06051538,-0.014946014,-0.063002825,0.0053893817,0.0163047,0.048619118,-0.117854424,-0.06099723,-0.06913118,-0.18154214,-0.086826235,0.12316747,0.095500104,-0.00047570118,-0.075110756,0.16049078,0.088873625,0.13288963,0.043128382,0.007421315
12aHSDH%GENOME044629_647,-0.0043936856,0.10734787,-0.0039807656,0.028463857,-0.0012198013,-0.022896929,-0.04759861,0.007894643,-0.013341755,0.0784797,0.08527893,0.10044449,0.14390147,0.097659595,-0.03642391,-0.09095509,-0.07032124,-0.10223129,-0.06413328,0.0336006,-0.077727646,0.019816391,-0.050206866,-0.011776054,0.017232304,0.055744704,0.09860368,0.13443439,0.11943705,-0.100608155,-0.11705101,-0.06081118,0.049481925,-0.07927962,-0.06843334,0.005380289,-0.07296418,0.036446203
12aHSDH%GENOME077010_272,0.035292484,0.07610834,-0.065189414,0.123398155,-0.09067072,-0.14757688,-0.01369874,-0.11673024,-0.0067920513,0.14643872,-0.014718725,-0.043107748,0.118360326,0.12880808,-0.078186095,-0.1617676,-0.11423686,0.05763407,0.06703724,0.10312854,0.07917412,-0.07992557,-0.11819857,-0.13770197,-0.07340408,-0.055348758,-0.15096112,-0.1627371,-0.05080727,-0.113379404,-0.09621627,0.06716312,0.00637024,-0.011474514,-0.03871024,0.024075842,0.17274953,0.077118404
12aHSDH%GENOME126416_2228,-0.03900372,-0.0065083187,-0.04370459,-0.008450126,-0.006953774,0.023545608,0.04660131,-0.02431907,-0.09323168,-0.082770355,0.044673607,0.04623151,0.016996948,-0.053775836,0.010259661,0.05728173,0.012503269,0.011645231,-0.009064537,-0.00429648,-0.059724852,0.048369333,0.016464612,0.064450175,0.060435273,0.045476254,0.087013915,0.15178609,0.09669181,-0.050359063,-0.03360599,-0.01714291,-0.01996099,-0.043207966,0.01467028,-0.066520095,-0.0157827,0.03136922
12aHSDH%GENOME136792_1072,0.048532218,0.022623414,-0.065238185,0.045355767,-0.07728911,-0.11404372,0.078292556,-0.08425841,-0.08641666,0.051957507,-0.0118128145,-0.01346246,0.05263315,0.06180894,-0.027406044,-0.095857814,-0.06912169,0.07603777,0.043783378,0.08616546,0.011026349,-0.04637742,-0.04602971,-0.04617046,0.093292125,-0.033785954,-0.02141548,0.007138354,0.0107609145,-0.067109846,-0.10185003,0.04495288,-0.020899259,0.0054866094,-0.038662456,-0.040971182,0.06273099,0.0735761
12aHSDH%GENOME187328_883,0.043456372,0.047475204,-0.0017179041,-0.0019278594,0.020936932,0.011645897,0.030818868,-0.013570529,-0.04264224,-0.039220568,-0.039051767,-0.07206989,-0.06871136,0.015035696,0.056284398,0.009837925,0.031086452,0.04366701,0.025516862,-0.029077511,0.019907393,0.00980577,0.02078586,-0.02526886,0.010052037,-0.04666078,-0.062370304,-0.03013667,-0.06792035,0.046333965,0.03612628,0.0028609273,0.008656347,0.027647812,0.021333398,0.020853974,-0.021213124,-0.011573137
12aHSDH%GENOME211747_1057,-0.032771222,0.027140822,0.07756047,-0.14033839,0.059978276,0.040423732,-0.07388583,0.081192724,0.07909224,-0.04446261,0.035465036,0.03827426,-0.073449574,-0.02956055,0.08959715,0.060817793,0.048309106,-0.050996438,-0.052373063,-0.059608255,-0.115212634,0.06864061,0.08317982,0.10997451,-0.0442579,0.036125083,0.0338801,-0.039129686,0.012645751,0.10183048,0.072445996,-0.04320267,0.018589415,0.0754204,0.04458022,0.05724331,-0.08144835,-0.05465443
12aHSDH%GENOME225739_454,-0.082352445,-0.09667975,0.05135674,-0.067553274,0.030142087,0.011491549,-0.07373872,0.09173512,0.13121095,-0.08880245,0.07391541,0.079786226,-0.051640607,-0.09673272,-0.012919673,0.06064784,0.07601632,-0.09135263,-0.06986967,-0.09163485,-0.093071975,0.044645622,0.060405053,0.031730283,-0.109975465,0.12919022,0.11209722,0.068292715,0.08293823,0.045886107,0.074615166,-0.071139775,0.025075745,0.058818918,0.07031557,0.009707881,-0.10744481,-0.087827615
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.017053895,0.098008625,0.025807584,-0.031093445,0.03820131,-0.028727787,-0.051883344,0.0034325612,0.014389651,0.0076163667,0.029991698,0.031288162,0.0031435462,0.06693543,0.02793836,-0.016564552,0.0013038921,-0.010632602,-0.013607493,0.04177572,-0.08517879,0.0170443,-0.025078328,0.054883827,-0.020513237,-0.009287654,0.022653129,-0.02499088,0.07440871,0.03158353,-0.008794413,-0.052201644,-0.0929319,0.029968595,-0.047863107,0.020600721,0.051895693,0.03501891
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.031904057,0.008210456,0.06871302,-0.035351492,0.060209412,0.10631649,-0.053077493,0.05945722,0.0659481,-0.04463398,-0.012473898,-0.027944218,-0.07134156,-0.020818632,0.07599222,0.083877385,0.07572967,-0.03526762,-0.006752819,-0.08736126,-0.0088830935,0.043471575,0.06732197,0.023859566,-0.0713951,-0.025174683,-0.052156758,-0.08319965,-0.07333826,0.07657103,0.073873736,-0.033082742,0.0753989,0.033363685,0.08662221,0.061398216,-0.04055911,-0.083034486
