Samples,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
isoalloLCA,0.5989345088562292,0.5601605034595698,0.6184828846528366,0.6028687053774294,0.5876053212090183,0.5822018027242964,0.580246585443228,0.5793251358657378,0.607032682492458,0.6039596732608146,0.5920817803341619
isoLCA,0.5329147227383576,0.5146174018379999,0.5661338190245105,0.5373775616065535,0.5236008921758238,0.5156795859049939,0.5389584667902126,0.523579334934612,0.5512397250961808,0.5403011399616136,0.5344402650070859
isoCA_aMCA,0.43765547854013387,0.43816366600484313,0.45478050196526104,0.47673704207704026,0.4402357333320269,0.45435058198427064,0.4181023258548488,0.4484045804238203,0.44607492856101744,0.5050368004154668,0.4519541639158729
LCA,0.4424119123355189,0.4253706681887386,0.4778527517940892,0.45556415667704936,0.4356696401777983,0.43587357657903736,0.4350356613112437,0.45052270185722987,0.46668303873811756,0.435161330228764,0.4460145437887587
7oxoDCA,0.42508074779130145,0.40985116929660936,0.45424193838793486,0.42709377767380224,0.42364094455012125,0.41527685744416865,0.39990201253994523,0.4306197339395491,0.42841342379209024,0.4289701150495266,0.4243090720465049
Asp_CA,0.4166916738830349,0.3791404295035343,0.4436982427173883,0.4102586746461122,0.39539679409527567,0.4173268775928401,0.41222369067318615,0.40235941555379456,0.44105245881158367,0.4382017586299394,0.415635001610669
Glu_CA,0.3614456089981885,0.35558485652798594,0.42295111283133546,0.4132449649756073,0.38250544136614123,0.3709626410560109,0.3865725333800407,0.3596419048272298,0.40130519296793,0.39757579023824435,0.38517900471687144
Thr_CA,0.36214107499592746,0.3680830345736505,0.4027931325488621,0.41809105729694246,0.3703493620403929,0.3748774850538503,0.3831760430458913,0.3790255392066201,0.3815112360995602,0.39069425340292085,0.38307422182646184
CA,0.3711114595109691,0.36008872764507965,0.40526364138549376,0.38718642481728405,0.37740580649191424,0.36682965247522453,0.373550244907408,0.36837748689111516,0.3899840892861736,0.37673397996891356,0.37765315133795757
Thr_CDCA,0.3647995972715392,0.32055862650977246,0.38713424649480493,0.3865487714209775,0.33546643868250964,0.35461870017184555,0.38577981482819745,0.3931249548339052,0.41037258506842594,0.3707877334398131,0.3709191468721791
