Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,Citrulline_DCA,DCA,GCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,HCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoDCA,isoLCA,isoalloLCA
12aHSDH%GENOME015584_936,1.0,0.03610327,1.0,-0.34541216,0.9020288,-1.0,-1.0,0.38914827,1.0,-0.5426244,1.0,-1.0,-1.0,0.6776241,1.0,0.016215619,1.0,0.51773256,-0.16302252,-0.127729,-0.04885295,-0.096867435,0.4317601,-0.8637198,1.0,1.0,-0.06782808,-1.0,-1.0,-1.0,-1.0,1.0,1.0,0.70029265,-0.26457396,1.0,1.0,1.0,1.0,1.0,0.9776418,1.0,0.5388833
12aHSDH%GENOME044629_647,-1.0,1.0,-1.0,0.071966015,-1.0,-1.0,-1.0,-1.0,-0.7242706,-0.99478793,0.2804954,0.83873475,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.13181241,-1.0,-0.05637845,-1.0,-0.16395308,-1.0,-1.0,-1.0,-1.0,0.43430832,1.0,1.0,1.0,-1.0,-1.0,-1.0,0.40792418,-1.0,-1.0,-1.0,-1.0,-0.62773156,-0.64001244,-1.0,0.28654805
12aHSDH%GENOME051950_684,-0.6863743,1.0,-0.5079672,-0.040798172,0.036763534,0.47841805,-0.17203881,0.24709933,-0.39103824,-0.8553651,-0.7234378,1.0,0.50314456,0.5681129,-0.3523963,-0.042437814,-0.22780906,-0.4089011,0.2350698,-1.0,-0.19328722,-1.0,0.07258794,-0.058895726,-0.9622725,-0.5031914,-0.8919046,0.8425597,1.0,0.7743787,1.0,-0.59383047,-0.30875093,-0.6816878,-0.9147342,-0.83859074,-1.0,-0.5679266,-0.89272326,-1.0,-1.0,-0.7496828,-0.29830095
12aHSDH%GENOME055489_1547,1.0,-0.03319378,-0.62194127,1.0,-0.42445394,0.21029125,1.0,-0.11986049,0.019373378,1.0,1.0,-0.887976,1.0,0.382482,0.22470966,-0.5912188,-0.011135889,0.8210286,0.5185738,0.92068607,1.0,1.0,-1.0,0.26968932,-0.23998393,-0.7068391,1.0,-0.502111,-0.93141395,0.7795024,-1.0,0.055319574,0.15749916,1.0,-0.058011077,0.31158227,0.41414028,0.042834073,1.0,0.57710767,1.0,0.5674373,0.7814301
12aHSDH%GENOME077010_272,-0.3784456,1.0,-1.0,1.0,-1.0,-1.0,0.50655,-1.0,-0.20296298,0.92518145,1.0,0.16769286,1.0,1.0,-1.0,-1.0,-1.0,0.6809144,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-0.21847081,-1.0,-1.0,-0.30731213,-0.0822084,-0.11366881,1.0,1.0,0.79579514
12aHSDH%GENOME126416_2228,-1.0,-0.15721376,-0.94409937,-0.10040856,-0.5198902,-0.20767322,-0.057309214,-0.8379692,-1.0,-0.46655685,-1.0,0.9694777,0.21135855,-0.667012,-0.56414783,0.18299109,-0.6953121,-0.7255909,0.59915775,-0.65370697,-0.22956462,-1.0,0.9498748,0.06445681,-0.34583786,0.93469113,0.16844298,0.800057,1.0,1.0,1.0,-1.0,-0.92878234,-0.9561881,-0.8103037,-1.0,-0.46205643,-0.108257,-1.0,-1.0,-1.0,-0.24627027,0.7648005
12aHSDH%GENOME136792_1072,0.6951703,0.7763576,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.7012745,1.0,-0.45295092,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.7091539,-1.0,1.0,-1.0,-1.0,1.0,-0.8506805,-0.7185368,-0.12010687,0.264588,-1.0,-1.0,1.0,-0.3211009,-0.48041826,-0.9184081,1.0,0.4920687,-0.9354097,0.8684138,1.0,1.0
12aHSDH%GENOME187328_883,1.0,1.0,-0.087135896,0.487343,0.59232706,0.9608487,1.0,-0.31809428,-0.8689363,0.6552432,0.1937362,-0.20576471,-0.48344025,0.9862058,1.0,0.6513791,1.0,1.0,0.6789156,0.95560235,0.194501,0.89336276,0.4698586,0.7678319,0.82402,0.40296566,1.0,-0.47297066,-1.0,-0.29650638,-1.0,1.0,0.723927,0.34072244,0.67693675,0.8325011,0.47138467,0.4403827,0.7710337,0.47879153,1.0,0.30864003,0.44724193
12aHSDH%GENOME211747_1057,-1.0,0.26527923,1.0,-1.0,0.8924281,0.5045787,-1.0,1.0,1.0,-1.0,-1.0,0.775424,-1.0,-1.0,0.9735561,0.83027655,0.39757064,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,0.9129063,0.36664858,-1.0,-0.60160756,1.0,0.78344303,-1.0,0.28847852,0.7899293,0.46976414,-0.12589164,-0.39850456,0.4594535,-1.0,-1.0,-1.0
12aHSDH%GENOME225739_454,-1.0,-1.0,1.0,-0.6608387,1.0,1.0,-0.97229403,1.0,1.0,-0.3800077,-1.0,1.0,-1.0,-1.0,-0.13784193,1.0,1.0,-1.0,-1.0,-0.7139933,-1.0,-1.0,1.0,-1.0,1.0,1.0,-0.50884837,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.29011828,0.21938178,0.28761023,-1.0,-1.0,-1.0
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,-0.48331395,1.0,-0.4344374,-0.89567035,-0.19117428,-1.0,-1.0,-0.9472727,-0.9935763,-1.0,-0.9553,0.47511762,-0.117066555,0.72371167,-0.46618867,-1.0,-1.0,-1.0,1.0,-1.0,0.20067568,-1.0,-0.4235712,-0.822246,-1.0,-0.07711277,-1.0,-0.46654648,0.20856643,-0.7327899,1.0,-0.6119294,-1.0,-1.0,-1.0,-0.77951676,-1.0,-0.97174126,-0.94808507,-0.8721604,-1.0,0.9782957,0.5014996
