Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asp_CA,Asp_DCA,CA,CDCA,Citrulline_DCA,DCA,GCA,GDCA,GLCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,HCA,His_DCA,LCA,Lys_CDCA,Met_CA,Met_CDCA,Phe_CA,Phe_CDCA,Phe_DCA,TCA,TCDCA,TDCA,TLCA,Thr_CA,Thr_CDCA,Thr_DCA,Trp_CA,Trp_CDCA,Tyr_CA,Tyr_UDCA,UDCA,isoCA_aMCA,isoDCA,isoLCA,isoalloLCA
12aHSDH%GENOME015584_936,0.06676227,0.0013998267,0.052321702,-0.013392614,0.03497423,-0.049857087,-0.055373464,0.015088388,0.08098149,-0.021039097,0.043221626,-0.089660555,-0.05446796,0.026273418,0.04676536,0.0006287258,0.056671165,0.020073967,-0.0063208477,-0.004952417,-0.0018941682,-0.0037558267,0.01674057,-0.03348888,0.04685465,0.06945221,-0.002629888,-0.07864202,-0.07112766,-0.118810885,-0.10435642,0.10606822,0.059125796,0.027152343,-0.010258287,0.12468649,0.08223259,0.07325867,0.12860091,0.11516417,0.03790596,0.040642504,0.020894043
12aHSDH%GENOME044629_647,-0.04236114,0.061428234,-0.043204084,0.0027903276,-0.051170945,-0.07830573,-0.075535834,-0.04328731,-0.028082035,-0.038570765,0.010875607,0.032520138,0.061057266,0.03905108,-0.102850124,-0.11496524,-0.106094524,-0.09944641,0.005110743,-0.046268545,-0.0021859533,-0.05017284,-0.0063569285,-0.0574052,-0.07806181,-0.06953005,-0.04981409,0.016839372,0.045728225,0.057920765,0.044287335,-0.111884765,-0.11996143,-0.06753539,0.015816383,-0.0773092,-0.06801301,-0.10000147,-0.06360239,-0.024338942,-0.024815107,-0.04973052,0.011110284
12aHSDH%GENOME051950_684,-0.02661269,0.041838165,-0.019695336,-0.0015818615,0.001425427,0.018549632,-0.006670435,0.009580745,-0.015161667,-0.033164944,-0.028049745,0.055314496,0.019508349,0.022027357,-0.01366341,-0.001645435,-0.008832807,-0.015854262,0.009114326,-0.039644238,-0.007494297,-0.063928254,0.0028144412,-0.0022835552,-0.03731005,-0.019510167,-0.034581684,0.03266844,0.0564604,0.030024871,0.07981642,-0.023024501,-0.011971154,-0.02643098,-0.035466854,-0.032514554,-0.05121894,-0.022020133,-0.034613427,-0.06471064,-0.041128024,-0.02906734,-0.011565979
12aHSDH%GENOME055489_1547,0.04842326,-0.0012870175,-0.024114437,0.04801307,-0.01645729,0.008153591,0.048458543,-0.004647333,0.0007511611,0.07992918,0.08434891,-0.03442936,0.045881793,0.014829917,0.008712634,-0.022923239,-0.00043177017,0.03183362,0.020106586,0.035697624,0.048659664,0.0660857,-0.041387964,0.010456624,-0.009304862,-0.027406167,0.046731435,-0.019468276,-0.036113575,0.03022353,-0.038961995,0.0021448976,0.006106692,0.06306779,-0.0022492548,0.012080933,0.0160574,0.0016607991,0.0538249,0.022376109,0.07926756,0.022001162,0.030298274
12aHSDH%GENOME077010_272,-0.014673415,0.06502653,-0.08493641,0.085863106,-0.10584582,-0.12066554,0.019640388,-0.13051708,-0.007869453,0.035871923,0.095616795,0.00650193,0.10128529,0.09038214,-0.077489,-0.1321663,-0.106112346,0.026400993,0.06624867,0.073756,0.06519937,0.05792574,-0.10106527,0.068771385,-0.13146135,-0.1683704,-0.07274688,-0.038787138,-0.162495,-0.15120852,-0.06011011,-0.11385493,-0.08895233,0.04121826,-0.008470736,-0.06175348,-0.057657294,-0.011915367,-0.003187454,-0.004407264,0.08348775,0.10199693,0.030855248
12aHSDH%GENOME126416_2228,-0.041455854,-0.006095626,-0.036605425,-0.0038931263,-0.020157624,-0.008052083,-0.0022220416,-0.032490455,-0.0984619,-0.01808974,-0.077406295,0.037589416,0.008194974,-0.025861956,-0.02187362,0.0070950864,-0.026959233,-0.028133228,0.023231054,-0.025346084,-0.008900875,-0.05249116,0.036829356,0.0024991743,-0.01340912,0.03624064,0.0065310146,0.03102049,0.07402888,0.09922226,0.10086483,-0.04659499,-0.03601154,-0.037074137,-0.031417783,-0.048908494,-0.017915245,-0.0041974327,-0.084265955,-0.070470385,-0.07688937,-0.009548601,0.029653495
12aHSDH%GENOME136792_1072,0.026953734,0.030101597,-0.06557934,0.053371698,-0.072326496,-0.08832406,0.052441616,-0.07785231,-0.061942812,0.027190411,0.060351804,-0.0175622,0.06219968,0.053834807,-0.051325113,-0.082343966,-0.05899435,0.047861814,0.0808303,0.0499788,0.08340101,0.027495919,-0.042128216,0.046918377,-0.059961546,-0.058227506,0.047248054,-0.032983307,-0.02785972,-0.0046568858,0.010258831,-0.05775123,-0.060722046,0.048745923,-0.0124499975,-0.018627185,-0.0356093,0.041901775,0.019078907,-0.036268502,0.03367088,0.053741742,0.066240445
12aHSDH%GENOME187328_883,0.048498854,0.07333572,-0.0033785072,0.018895678,0.022966208,0.037254844,0.05642307,-0.012333423,-0.033691138,0.025405647,0.0075117047,-0.0079780845,-0.018744357,0.03823801,0.07018677,0.025255825,0.04093872,0.053550884,0.026323495,0.037051428,0.0075413585,0.034638222,0.018217757,0.029771032,0.031949606,0.015624127,0.04623398,-0.018338421,-0.039581478,-0.011496398,-0.04806705,0.04481071,0.028068714,0.013210781,0.026246767,0.03227844,0.018276928,0.017074892,0.029895175,0.018564112,0.040098596,0.011966854,0.017340844
12aHSDH%GENOME211747_1057,-0.056627013,0.010285633,0.046207264,-0.11623804,0.034601983,0.019563954,-0.06210717,0.05345803,0.058288306,-0.08904295,-0.05423108,0.030065399,-0.058600016,-0.042454477,0.037747547,0.03219219,0.015414948,-0.054115698,-0.06708619,-0.055904604,-0.06081383,-0.07477054,0.042863656,-0.048259463,0.04452481,0.040565863,-0.051993024,0.03539598,0.01421601,-0.048816465,-0.02332604,0.03878211,0.03037632,-0.05588039,0.011185135,0.03062781,0.018214095,-0.004881178,-0.015451157,0.017814321,-0.061804924,-0.052236594,-0.05967164
12aHSDH%GENOME225739_454,-0.05042499,-0.08125312,0.045837384,-0.0256226,0.047086783,0.046748623,-0.03769861,0.07341439,0.10764909,-0.014733982,-0.05510073,0.050678566,-0.053140953,-0.06255311,-0.0053445245,0.06816058,0.06817221,-0.050148115,-0.06976326,-0.027683556,-0.061606422,-0.04073465,0.06532602,-0.04641226,0.07699975,0.05421126,-0.019729502,0.10951365,0.10574331,0.07881614,0.105390385,0.04849587,0.046389353,-0.04088869,0.04243624,0.05748222,0.07012527,0.011248712,0.008506057,0.011151468,-0.0510181,-0.0843257,-0.04997989
