Samples,Run_0,Run_1,Run_2,Run_3,Run_4,Run_5,Run_6,Run_7,Run_8,Run_9,Mean
HCA,0.7115199407334237,0.724772605671482,0.7230110713256781,0.7235049594600156,0.7422562456270322,0.7038152858377578,0.7226488866938304,0.7217928139276454,0.7189776515619212,0.7065316705766144,0.7198831131415402
L-Urobilin,0.707157262213442,0.6956990574968102,0.7201794460221426,0.7129851421986253,0.7325431123183931,0.7006544017779972,0.7220562209326253,0.7111577561015763,0.7222373132485491,0.6792031938099353,0.7103872906120097
LCA,0.6921101370539572,0.677095937770095,0.7031403053874964,0.7172325801539283,0.746618924147014,0.6845701115364036,0.6846688891632712,0.6805366917726469,0.7156027493106145,0.6988270156809482,0.7000403341976374
Adrenic acid,0.6826768736881096,0.6887187718648392,0.6814915421656994,0.7037329711487014,0.6982014240441206,0.6776227517800552,0.6980038687903857,0.6728978886282256,0.7113059225418776,0.6387537556076882,0.6853405770259703
Apocholic acid/12-Ketodeoxycholic acid,0.6797958595711404,0.6821335967403384,0.6740173683993909,0.7023171584969337,0.7184179116763386,0.7079310202905708,0.6819525044244146,0.6463102440630529,0.6775075112153763,0.674346627155616,0.6844729802033173
Glu_DCA,0.6764538831954561,0.674412478906861,0.7101041280816562,0.6530271226900439,0.6978227764744618,0.6558587479935793,0.6681400996007737,0.6835000205786722,0.6778367699716015,0.6586903732971149,0.6755846400790222
isoalloLCA,0.6710046507799317,0.676042309750175,0.6704778367699715,0.6874346627155615,0.7051158579248468,0.6710046507799317,0.6511009589661275,0.6624439231180803,0.6712845207227229,0.6710375766555541,0.6736946948182903
Eicosatrienoic acid,0.6573074865209697,0.6518417911676337,0.6858048318722475,0.672206445240153,0.6877474585339753,0.6706753920237065,0.6941515413425525,0.6459480594312055,0.6831213730090134,0.6264888669383051,0.6675293246079763
Thr_DCA,0.6928838951310861,0.6716302424167593,0.671416224225213,0.66888093180228,0.6790714903074453,0.6566818948841421,0.6394451989957608,0.6615878503518953,0.6401201794460221,0.6751533111083672,0.665687121866897
isoDCA,0.6711857430958554,0.6521545869860476,0.6560233773716919,0.6613573692225377,0.6800098777626867,0.6237066304482034,0.6611268880931801,0.6585586697946247,0.6491583323043997,0.6587232991727374,0.6572004774251965
"4,7,10,13,16-Docosapentaenoic acid",0.6550849899164506,0.6461620776227518,0.6544264724040004,0.6599086306951476,0.6619006461703091,0.6403341976375684,0.6576367452771946,0.6094661892414701,0.6483187224760257,0.5958348767337531,0.6429073548174671
Arachidonic acid,0.6619335720459315,0.6589537803020948,0.6656871218668972,0.6364324813763016,0.6560233773716919,0.652961270938799,0.6334197637568424,0.6402024941350783,0.6334197637568424,0.5751574268428201,0.6414191052393299
11-HETE,0.6686339877351114,0.6477754455282544,0.6414042885952997,0.6390006996748568,0.6320698028563198,0.6320204140428859,0.6382269415977281,0.6268839774457751,0.6301601020702143,0.5891838498580071,0.6345359509404453
15-HETE,0.653422233197514,0.6378647569658805,0.6306210643289295,0.6215993744083631,0.6379964604683707,0.6160678273037823,0.6260772934930239,0.6585257439190024,0.6364983331275467,0.5827139152981848,0.6301387002510599
isoLCA,0.6245133144009548,0.5841132650121414,0.6229164094332633,0.6356257974235502,0.659480594312055,0.6027822364901017,0.6323825986747335,0.5991768531094374,0.6199036918138041,0.5547763098324896,0.6135671070502531
5-HETE,0.6468535210108244,0.6170391406346462,0.6026999218010454,0.6049553442811869,0.6172696217640038,0.5948800263407004,0.5989792978557024,0.6227188541795283,0.6041321973906243,0.5758488702308926,0.6085376795489156
Asp_DCA,0.6123801292340617,0.6130057208708893,0.6369099065728279,0.6075070996419311,0.6066016380623122,0.5908630695147549,0.6036712351319092,0.6052846030374119,0.5827797670494299,0.6240194262666172,0.6083022595382145
Palmitoyl-EA,0.6042309750174918,0.6088405976046425,0.6008231468905625,0.6056961764826934,0.5940898053257604,0.598436020907931,0.630917397209532,0.5779067374572993,0.662871959501173,0.5685393258426965,0.6052352142239782
