Family,Cluster
12aHSDH%GENOME015584_936,0
12aHSDH%GENOME044629_647,1
12aHSDH%GENOME051950_684,2
12aHSDH%GENOME055489_1547,3
12aHSDH%GENOME077010_272,4
12aHSDH%GENOME126416_2228,2
12aHSDH%GENOME136792_1072,4
12aHSDH%GENOME187328_883,3
12aHSDH%GENOME211747_1057,0
12aHSDH%GENOME225739_454,0
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,2
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%MBQ2887473_1_SDR_family_oxidoreductase__Bacillota_bacterium_,5
12aHSDH%MBQ4339583_1_SDR_family_oxidoreductase__Bacillota_bacterium_,1
12aHSDH%MBQ4566268_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%MBR6816818_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%MBR7146259_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,4
12aHSDH%MCH5186073_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,2
12aHSDH%MEE0965876_1_SDR_family_oxidoreductase__Bacilli_bacterium_,0
12aHSDH%MFR3091303_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_lenta_,3
12aHSDH%NCB62655_1_SDR_family_oxidoreductase__Clostridia_bacterium_,3
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,3
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,6
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,5
12aHSDH%WP_249318265_1_SDR_family_NAD(P)-dependent_oxidoreductase__Yeguia_hominis_,3
12aHSDH%WP_251178417_1_SDR_family_NAD(P)-dependent_oxidoreductase__Adlercreutzia_agrestimuris_,1
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,3
12bHSDH%GENOME225741_180,0
12bHSDH%MDD6456291_1_SDR_family_NAD(P)-dependent_oxidoreductase__Lachnospiraceae_bacterium_,1
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,4
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,4
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,4
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,3
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,6
3aHSDH%3aHSDH%WP_215683787_1_glucose_1-dehydrogenase__Dorea_formicigenerans_,3
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,3
3aHSDH%3aHSDH%WP_270387972_1_SDR_family_NAD(P)-dependent_oxidoreductase__Blautia_hansenii_,5
3aHSDH%CAG5237306_1_short_chain_dehydrogenase__Streptococcus_pneumoniae_,0
3aHSDH%GENOME060426_131,3
3aHSDH%GENOME084620_3418,3
