Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
12aHSDH%GENOME015584_936,-0.70998716,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-0.3730815,-1.0,1.0,-1.0,0.35355103,0.42346975,-1.0,-0.7137089,0.2745527,0.8884204,1.0
12aHSDH%GENOME077010_272,-1.0,-1.0,0.3557483,0.669616,0.15540256,-0.71304536,1.0,0.95337266,-0.007895642,-1.0,0.53436047,-1.0,1.0,1.0,1.0,0.0544776,1.0,-0.951974,-1.0
12aHSDH%GENOME126416_2228,0.38187778,1.0,-0.9804748,-0.68194324,-0.9813859,1.0,-0.03673272,-1.0,0.963564,0.124029376,-1.0,1.0,-1.0,-1.0,1.0,1.0,-0.82318014,-0.65710676,-0.8645324
12aHSDH%GENOME136792_1072,1.0,-0.5222979,1.0,1.0,0.7537204,0.014081339,-0.9710281,-0.9637059,-0.10923689,-0.7571073,0.42751753,-0.36086258,-1.0,-1.0,-0.4025988,-0.17091039,1.0,1.0,0.8738827
12aHSDH%GENOME187328_883,0.47695604,0.5629388,-1.0,-1.0,-0.8249651,1.0,-0.8619212,-0.5831576,1.0,0.5447973,-1.0,1.0,-1.0,-1.0,1.0,1.0,-0.97908604,0.27422637,-1.0
12aHSDH%GENOME225739_454,0.07996141,-0.6252931,-0.20707983,0.25535437,-0.335558,0.44109127,1.0,1.0,0.68542707,0.72490907,0.8287583,-0.18190695,-0.49873218,-0.4431012,-1.0,-1.0,-1.0,0.24155731,0.4967421
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,0.67132753,1.0,1.0,0.7214536,0.20750442,-0.65089273,0.018979313,-0.16674244,-0.53734344,0.6833755,0.21358803,-0.8222544,-1.0,-1.0,-1.0,-0.3452236,1.0,1.0
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,1.0,1.0,1.0,-1.0,0.8899964,1.0,-1.0,-1.0,-0.6026513,-1.0,1.0,1.0,0.057120785,0.95127827,1.0,-0.21661174,0.96655846
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,1.0,0.28473735,-0.5515386,-1.0,1.0,1.0,0.08956258,-0.29206645,1.0,-1.0,1.0,1.0,-0.6889146,-0.94288534,1.0,-0.96425456,0.65991557
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.9249093,0.5163603,-1.0,-1.0,-1.0,-0.30479422,-0.5970324,-0.20131287,1.0,1.0,1.0,0.6635747,-1.0,-0.4892465,0.52625084,0.2739056,0.7964876,0.12884603,0.60787165
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.8105042,-1.0,0.9931594,0.48307526,1.0,-0.07169525,0.29404265,-0.020367686,-0.4950432,-0.8645693,-1.0,-0.3237822,0.63921946,0.9556978,0.75738335,0.036987353,0.62648433,-0.6021753,-0.77367145
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,-1.0,0.0076084384,-0.97389174,-1.0,-1.0,0.26247782,-1.0,-1.0,-0.64832747,-0.5401711,1.0,0.45084256,0.5155624,0.7250436,1.0,1.0,0.9333908,-1.0,-0.8841917
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.51171476,-0.018602006,1.0,1.0,1.0,-1.0,-0.26427513,-0.173403,-1.0,-1.0,-0.29900578,-0.7813046,0.65548474,0.71730006,-0.2797846,0.3947131,0.36266336,-0.06000301,0.27832216
