Family,3oxoDCA,3oxoLCA,7oxoDCA,CA,CDCA,DCA,GCA,GCDCA,GDCA,GLCA,GUDCA,LCA,TCA,TCDCA,TDCA,TLCA,TUDCA,UDCA,isoUDCA
12aHSDH%GENOME015584_936,-0.025163582,-0.04372081,0.05434045,0.06207257,0.043321494,-0.08686326,0.039169952,0.06656692,-0.013222869,-0.06139786,0.07851794,-0.06096002,0.012530663,0.015008744,-0.07141737,-0.025295487,0.0097307805,0.031487666,0.04655521
12aHSDH%GENOME077010_272,-0.092915334,-0.06479268,0.012608539,0.023732733,0.0055078245,-0.02527197,0.043953482,0.033789724,-0.00027983973,-0.10020339,0.018938966,-0.061279897,0.10340138,0.08976835,0.07566139,0.0019308116,0.04970929,-0.03374015,-0.0354522
12aHSDH%GENOME126416_2228,0.013534628,0.046472237,-0.034750286,-0.024169639,-0.034782577,0.03852412,-0.0013018922,-0.03868016,0.03415093,0.004395887,-0.065268956,0.045196578,-0.048950013,-0.044685002,0.05240548,0.07466181,-0.0291754,-0.023289377,-0.030641021
12aHSDH%GENOME136792_1072,0.036312472,-0.018511442,0.03656672,0.040488947,0.026713587,0.0004990751,-0.034415472,-0.034155957,-0.0038716071,-0.026833627,0.015152207,-0.012789802,-0.047028203,-0.037301436,-0.014269029,-0.006057458,0.042579867,0.0501209,0.030972416
12aHSDH%GENOME187328_883,0.016904421,0.019951848,-0.087038115,-0.040637165,-0.029238664,0.03991922,-0.030548472,-0.020668449,0.042592544,0.019308873,-0.046347685,0.039986648,-0.045408864,-0.0401619,0.07393497,0.10501935,-0.034701064,0.009719214,-0.03970407
12aHSDH%GENOME225739_454,0.0028340167,-0.022161826,-0.0073393863,0.009050348,-0.011892948,0.01563329,0.06806753,0.04932672,0.024293115,0.025692448,0.029373104,-0.0064472016,-0.017676217,-0.015704527,-0.05930286,-0.045968123,-0.042425193,0.008561348,0.017605685
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.08549012,0.023793394,0.057595707,0.048329078,0.025569977,0.0073544346,-0.023069138,0.0006726706,-0.0059097363,-0.01904469,0.024220401,0.0075700516,-0.02914259,-0.06790973,-0.084009126,-0.066197865,-0.0122355195,0.046592496,0.037402794
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.05323772,-0.07823125,0.06745492,0.06270845,0.080749005,-0.05946904,0.031543523,0.054179646,-0.0714942,-0.06893168,-0.02135935,-0.07544729,0.03847841,0.052852917,0.0020244922,0.033715494,0.050851546,-0.0076772193,0.034257058
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.12895413,-0.087708436,0.06695292,0.010091748,-0.019547798,-0.10232813,0.094361916,0.10078794,0.0031743043,-0.010351508,0.058811817,-0.07888086,0.054615937,0.08480699,-0.02441672,-0.03341803,0.06851238,-0.034175403,0.023388928
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.032780915,0.018300999,-0.052265354,-0.07034349,-0.07895021,-0.010802609,-0.021160204,-0.0071349917,0.038729,0.05189126,0.038269345,0.023518616,-0.04858884,-0.017340023,0.018651541,0.009707846,0.028229356,0.0045666005,0.02154437
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.028726136,-0.037236374,0.03519986,0.0171213,0.040169567,-0.002541045,0.010421549,-0.00072187773,-0.017545471,-0.030642329,-0.05746188,-0.011475587,0.02265541,0.03387213,0.02684341,0.001310917,0.022204049,-0.02134248,-0.0274207
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,-0.03920822,0.00026966058,-0.034516968,-0.09801035,-0.1036932,0.009302818,-0.035737183,-0.040557805,-0.022978218,-0.019144908,0.060483065,0.015978899,0.01827272,0.025697215,0.1017031,0.085502446,0.03308152,-0.036342647,-0.03133779
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.01813635,-0.000659298,0.050609566,0.037370995,0.057903107,-0.038414393,-0.00936652,-0.0061458014,-0.0881553,-0.04564816,-0.010597453,-0.027691236,0.023231888,0.025422767,-0.009916211,0.013989542,0.012853625,-0.0021266448,0.009864379
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,0.058589373,0.04229716,-0.0037533313,-0.03126748,-0.02427674,0.048987903,-0.02470405,-0.04393009,-0.0004507874,0.01906998,-0.012050317,0.05071784,-0.021330133,-0.03965055,-0.017265994,-0.030770985,-0.015603897,0.012139487,0.062213108
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.033308264,-0.06302729,0.06252489,0.067762926,0.08882209,-0.07655438,0.076373026,0.040419508,-0.07119812,-0.0005144547,-0.032114767,-0.07378376,0.10145738,0.09224822,-0.08161484,-0.04795691,0.047642093,-0.006096909,-0.04929631
12bHSDH%GENOME225741_180,-0.028861903,0.03099953,-0.042999692,-0.04629484,-0.07124626,0.054493397,0.04691917,0.010096634,0.042651232,-0.017828539,-0.042369116,0.051094107,0.014955238,0.0032140866,0.073406614,0.06386822,-0.04924476,-0.06565094,-0.07981146
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.07446457,0.06642041,-0.07338772,-0.06714692,-0.061072096,0.06291806,-0.083114475,-0.07513099,0.067608856,0.07814277,-0.0050989743,0.04932664,-0.07753489,-0.08260239,0.055123556,0.0671135,-0.032494202,0.017837415,0.005882911
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.08792312,0.046754602,0.01034176,-0.007979371,0.009607975,0.025384102,-0.027248649,0.00027148382,-0.01606953,-0.015177507,-0.032956563,0.011495989,-0.037827417,-0.031638347,-0.031144815,-0.01702661,-0.026237367,0.039523676,0.054725286
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.1132889,0.1019052,-0.10410122,-0.053420663,-0.057708286,0.11546584,-0.1197032,-0.12200583,0.079996325,0.08182025,-0.11441572,0.122074775,-0.0837529,-0.10060041,0.08077343,0.08169546,-0.09405984,-0.013773492,-0.060445186
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.005993607,-0.0038747077,0.035035253,0.039930653,0.054703094,-0.002099274,-0.031676356,-0.03370272,-0.055914417,-0.062523834,0.021493964,0.00044983288,-0.029271089,-0.026812658,-0.0029748047,0.015006214,0.020680564,0.048104744,0.055061735
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.007905287,0.00377092,-0.030181147,-0.012577748,-0.03352001,0.020974495,-0.0105900755,-0.00053893594,0.034839667,0.05130729,-0.103906244,0.011720262,0.023329897,0.028466351,0.037184995,0.0194507,0.055557456,-0.05727763,-0.047107033
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-0.096919544,-0.017319959,-0.08554908,-0.07331233,-0.036110416,-0.039880544,-0.0033934393,0.05434545,0.02001253,-0.015556658,0.02848381,-0.03253721,0.04801486,0.09767578,0.09783152,0.054633416,0.10145181,-0.08862941,-0.11049673
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,0.033222567,0.011561865,-0.0016772185,0.0053239875,-0.012743989,-0.008508049,-0.08373509,-0.07123466,-0.02412087,0.019598387,-0.030393014,0.015391094,-0.027658537,-0.063740075,-0.009120583,0.07330824,-0.0027564585,0.060927186,0.09947627
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,0.01595072,0.015311003,0.048302,0.01807612,-0.012706438,0.018177157,-0.007361405,-0.0053648604,0.005231146,-0.020152882,-0.048513494,0.03645072,-0.012729044,-0.014761725,-0.013463502,0.00026671143,-0.021487933,-0.0080423085,-0.0040371455
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,-0.11878539,-0.029736007,0.010029553,0.0016790145,-0.012316492,-0.078971125,0.023807233,0.004126714,-0.057984985,-0.09726494,0.051219255,-0.041984037,0.058107898,0.079441845,0.03436588,0.018102804,0.13419591,-0.037449867,0.00088389183
3aHSDH%GENOME060426_131,0.06484577,0.06685402,-0.06335001,-0.035647072,-0.03639289,0.061018333,-0.08334915,-0.1282226,-0.04309808,0.039217994,-0.1111675,0.07691187,-0.021084573,-0.07871088,0.11198895,0.12602276,-0.008009207,0.022752687,-0.0124319205
3aHSDH%GENOME084620_3418,-0.001359072,-0.0069753826,0.05798633,0.06717764,0.052475024,0.0036459542,-0.0014363171,0.0049894038,0.0035270036,0.008830179,0.017600317,0.0077388114,-0.03934681,-0.047524106,-0.06765603,-0.054043256,-0.03318721,0.0581043,0.055490762
3aHSDH%GENOME084674_3322,0.04738751,0.057719346,-0.002280433,-0.012895045,-0.04441363,0.053841528,-0.00056948094,-0.056235615,0.019684426,-0.024825847,-0.04359116,0.06807582,-0.0660175,-0.06742727,0.017197032,0.034620777,-0.06509676,0.025011346,0.03031037
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.0736656,-0.0362136,-0.052693047,0.0035579395,-0.013986229,-0.0019058378,0.091092154,0.07099127,0.06237175,0.007632737,0.014734144,-0.020950409,0.055686608,0.060658146,0.06750248,0.031150144,-0.05214892,-0.08851396,-0.10259595
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-0.0451785,0.012732929,-0.0065723276,0.0082454765,-0.0023306266,-0.0019961554,-0.024198318,-0.027129319,-0.009320765,0.0042631663,0.011449261,0.014106117,-0.034870017,-0.016581127,0.02284214,0.032497942,-0.029424641,0.009445383,0.003410777
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.058319733,0.053756062,-0.0010657503,-0.056191552,-0.05707874,0.057633996,-0.035566665,-0.09327984,0.0012209954,0.022823164,-0.11475693,0.05399106,0.014481813,-0.03215775,0.04623359,0.055520687,0.0022532074,-0.05101686,-0.037869494
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,0.048669167,0.009294426,-0.009580493,-0.011311676,-0.018058138,-0.014645641,0.0842072,0.058764547,0.026255036,-0.029161498,-0.027539648,-0.010952176,0.010637611,0.0006408382,-0.026556995,-0.03279675,-0.048327927,-0.0051555405,-0.015523851
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,-0.1564252,-0.04364112,-0.054141182,-0.08465426,-0.089326486,-0.0971884,0.0064451694,0.057332378,0.020779671,0.017554957,0.06354176,-0.037819605,0.04726233,0.1082799,0.030911546,0.07506194,0.15791053,-0.044658355,-0.03018285
3aHSDH%MDE7008868_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.030036557,-0.02751587,0.015916193,-0.028931152,-0.04990958,-0.09564624,0.032625865,0.051508427,0.025868768,0.0009098059,0.033538893,-0.03967496,0.07688356,0.08382794,0.010396357,0.0021225312,0.065983705,-0.08427246,-0.02200748
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.06303005,-0.00033341654,-0.06594754,-0.028128998,-0.0726102,-0.005635838,0.063228935,0.041565876,0.029836886,-0.028510036,0.014619822,0.010849822,0.029790357,0.05956769,0.054179158,0.033800077,-0.04582608,-0.05339497,-0.06776793
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,0.033555,0.11165616,-0.06543542,-0.08947434,-0.10777318,0.08725572,-0.12000969,-0.13320696,0.015488977,0.09657179,-0.10924485,0.12698169,-0.06870864,-0.10018158,0.094348624,0.120870076,-0.050005056,-0.023898428,-0.005061031
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.008833583,-0.07134507,0.045524854,0.07287746,0.04674416,-0.042593084,0.028022684,0.042546578,-0.05583206,-0.036319625,0.030718125,-0.07149492,0.05252719,0.033163007,-0.06628392,-0.03125515,0.040971126,0.05328988,0.036949027
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,-0.08049266,-0.162392,0.12016937,0.113187216,0.12038968,-0.12776539,0.099865824,0.098229915,-0.09823459,-0.082048416,0.10230954,-0.15670319,0.11945575,0.11100456,-0.06006581,-0.109157905,0.107814245,0.051236555,0.081247
3aHSDH%WP_104968339_1_3-oxoacyl-ACP_reductase__Streptococcus_pluranimalium_,-0.037326586,-0.059321746,0.00038967477,0.010572994,0.02840112,-0.009192136,0.05734726,0.017730372,0.024672545,-0.0046156733,0.030534811,-0.031550273,0.025643205,0.031950973,-0.02614208,-0.044815272,0.029036984,-0.014175768,0.0007384233
3aHSDH%WP_117562420_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterocloster_aldenensis_,-0.038729798,-0.030203426,0.06161477,0.023486758,0.01703226,-0.049530264,-0.023378916,-0.01919328,-0.088322505,0.0038232782,0.002327417,-0.026662484,0.0020049685,0.012991127,-0.0076646144,0.00858888,0.061914854,0.014492251,0.036750372
3aHSDH%WP_377204125_1_MULTISPECIES__SDR_family_oxidoreductase__unclassified_Pseudarthrobacter_,-0.041289836,-0.035455752,-0.0014435431,-0.007935001,-0.0021985106,-0.038204975,0.07560698,0.08416582,-0.020297986,-0.010351718,0.07916162,-0.039959792,0.038304344,0.0553103,-0.05693003,-0.06469644,0.04247245,-0.01849735,-0.015412075
