Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,1.0,0.6302406,-1.0,-0.839939,1.0
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,1.0,-1.0,-1.0,0.42349645
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1.0,0.9731549,-1.0,-0.82084966,0.7799619
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.91451573,-1.0,0.3554259,0.767384,0.9610637
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.28400645,0.5668918,-0.022028463,-0.27543166,-0.7991956
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,-1.0,-1.0,0.95158666,0.95648223,-0.15901536
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.8041102,1.0,-0.9709584,-0.5070938,-0.054382954
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,1.0,1.0,-1.0,-1.0,-0.3003219
12bHSDH%GENOME225741_180,-0.9261791,-1.0,0.9385384,1.0,-1.0
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,-1.0,-1.0,1.0,1.0,-1.0
3aHSDH%GENOME060426_131,-1.0,-1.0,0.88803315,1.0,-0.5569245
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,-0.6401439,1.0,0.84543586,-1.0
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.10737635,-0.8207016,0.5129217,0.95857716,-0.6485519
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-1.0,-1.0,1.0,1.0,-0.8507561
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,1.0,0.7766982,-0.9389492,-1.0,1.0
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,1.0,1.0,-1.0,-1.0,1.0
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0.85619235,0.8534937,-0.59260416,-0.9655983,-0.037512608
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,1.0,1.0,-1.0,-1.0,1.0
5AR%GENOME012336_2253,-1.0,0.057296526,0.077283725,0.3133855,1.0
5AR%GENOME078645_81,0.19316228,0.20719437,-0.78890014,-0.57084286,1.0
