Family,CA,CDCA,DCA,LCA,UDCA
12aHSDH%GENOME015584_936,0.07390597,0.03680929,-0.085646525,-0.049056754,0.07476337
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.07122031,0.09089467,-0.070374325,-0.10830372,0.024734369
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0.06935061,0.056837246,-0.092478864,-0.047941837,0.04555378
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.05341242,-0.06014098,0.020758698,0.04481917,0.056131057
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,0.016587436,0.033109393,-0.0012865755,-0.016086625,-0.046677127
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,-0.05965894,-0.06274559,0.05557755,0.055863477,-0.009287314
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,0.04696417,0.062232506,-0.05670896,-0.029616883,-0.003176244
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,0.08341512,0.0919168,-0.08596999,-0.07766762,-0.017540343
12bHSDH%GENOME225741_180,-0.054093618,-0.07738978,0.054815464,0.085894085,-0.06976757
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,-0.08062104,-0.08514748,0.11946141,0.11950691,-0.103539065
3aHSDH%GENOME060426_131,-0.059285678,-0.076127164,0.0518657,0.07231607,-0.032527253
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.059116863,-0.03738769,0.07941088,0.0493778,-0.0656906
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.0062713306,-0.04793319,0.029957261,0.05598583,-0.037878763
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.089953184,-0.11665631,0.09812014,0.12659511,-0.04968853
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.071686774,0.045363165,-0.05483946,-0.080006264,0.08123206
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0.1422989,0.1267886,-0.11664933,-0.1934074,0.10527067
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,0.050006032,0.04984842,-0.03461113,-0.056395903,-0.0021909291
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0.068061434,0.07783775,-0.11025481,-0.10743603,0.11884924
5AR%GENOME012336_2253,-0.07601693,0.0033464115,0.0045137666,0.018303324,0.07515302
5AR%GENOME078645_81,0.011281669,0.012101216,-0.04607582,-0.033340156,0.059358362
5AR%GENOME084343_2181,0.039322194,0.023864755,-0.050349865,-0.045248862,0.03972169
5AR%GENOME140582_2251,0.081317164,0.051508866,-0.07546255,-0.070469424,0.05489186
5AR%GENOME142018_414,-0.04213491,-0.057134226,0.0286184,0.01936196,0.062951624
5AR%GENOME170052_106,-0.10016124,-0.08706075,0.10511775,0.107433684,-0.042730905
5AR%GENOME179594_130,0.06556677,0.044362284,-0.03274411,-0.043502435,-0.04679653
5AR%GENOME179896_434,0.017465556,0.063557014,-0.0103566805,0.00071171875,-0.054106183
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,-0.0036449095,0.053816166,-0.018371772,-0.011343407,-0.022014106
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,0.033454157,0.045738388,-0.0036160434,-0.009577717,-0.08166179
5AR%MBQ1253485_1_DUF1295_domain-containing_protein__Alistipes_sp__,-0.09545402,-0.059573952,0.10166838,0.05080817,-0.025372384
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,0.034045115,0.039120946,-0.05557947,-0.028559726,0.036844306
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,-0.027589664,0.011227641,-0.015434773,-0.0026475573,0.06535955
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,0.01584962,0.054642048,-0.028210437,-0.024198916,-0.01437758
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,-0.094178036,-0.11502448,0.10180222,0.11380558,-0.036202572
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,-0.021472609,-0.041035596,0.008668537,0.010263868,0.07765793
