Family,Cluster
12aHSDH%GENOME015584_936,0
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,1
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,0
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,2
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,3
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,4
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,1
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,1
12bHSDH%GENOME225741_180,4
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,4
3aHSDH%GENOME060426_131,4
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,4
3aHSDH%MDE7282987_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,4
3aHSDH%MDE7415347_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,4
3aHSDH%NBI02399_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0
3aHSDH%WP_044950032_1_SDR_family_NAD(P)-dependent_oxidoreductase__Mediterraneibacter_gnavus_,0
3bHSDH%MBS6646402_1_glucose_1-dehydrogenase__Clostridiaceae_bacterium_,1
3bHSDH%WP_100933575_1_SDR_family_NAD(P)-dependent_oxidoreductase___Clostridium__innocuum_,0
5AR%GENOME012336_2253,2
5AR%GENOME078645_81,0
5AR%GENOME084343_2181,0
5AR%GENOME140582_2251,0
5AR%GENOME142018_414,2
5AR%GENOME170052_106,4
5AR%GENOME179594_130,3
5AR%GENOME179896_434,3
5AR%HIU55603_1_DUF1295_domain-containing_protein__Candidatus_Gallibacteroides_avistercoris_,3
5AR%MBD5276024_1_DUF1295_domain-containing_protein__Bacteroides_sp__,3
5AR%MBQ1253485_1_DUF1295_domain-containing_protein__Alistipes_sp__,4
5AR%MCH5217706_1_DUF1295_domain-containing_protein__Muribaculaceae_bacterium_,0
5AR%MCQ2341803_1_DUF1295_domain-containing_protein__Paludibacteraceae_bacterium_,5
5AR%WP_300108487_1_DUF1295_domain-containing_protein__uncultured_Alistipes_sp__,3
5AR%WP_302729833_1_DUF1295_domain-containing_protein__Bacteroides_sp__ET489_,4
5BR%CAK7070565_1_MAG__NADPH_dehydrogenase__Parabacteroides_sp__,2
5BR%GENOME006521_2122,4
5BR%GENOME141824_1849,3
5BR%MBO4402754_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,4
5BR%MBO7234306_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,2
5BR%MBQ8101082_1_NADH_flavin_oxidoreductase__Paludibacteraceae_bacterium_,4
5BR%MCD8287651_1_NADH_flavin_oxidoreductase__Porphyromonadaceae_bacterium_,4
5BR%MCH5231198_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,3
5BR%MCQ2066925_1_NADH_flavin_oxidoreductase__Bacteroidaceae_bacterium_,5
5BR%MDD5892138_1_NADH_flavin_oxidoreductase__Bacteroidales_bacterium_,4
5BR%MEI7492181_1_NADH_flavin_oxidoreductase__Bacteroidota_bacterium_,2
5BR%MEZ3591839_1_NADH_flavin_oxidoreductase__Muribaculaceae_bacterium_,1
5BR%WP_149192683_1_MULTISPECIES__NADH_flavin_oxidoreductase__Bacteroidaceae_,0
5BR%WP_279088787_1_NADH_flavin_oxidoreductase__Alistipes_putredinis_,2
5BR%WP_300285921_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,1
5BR%WP_302380465_1_NADH_flavin_oxidoreductase__uncultured_Alistipes_sp__,4
7aHSDH%GENOME025100_397,6
7aHSDH%GENOME150027_3593,1
7aHSDH%MBE5948790_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,4
7aHSDH%MCI7810995_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,3
7aHSDH%MCI9468093_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,3
7aHSDH%WP_342232791_1_7alpha-hydroxysteroid_dehydrogenase__Pseudoflavonifractor_phocaeensis_,0
7bHSDH%GENOME075272_507,0
BSH1%UPI0001652BA3,2
BSH1%UPI0001B1C28E,1
BSH1%UPI0002802AC4,5
BSH1%UPI000289C842,4
BSH1%UPI0002CB0E7D,5
BSH1%UPI00033F0DE9,0
BSH1%UPI00035D264B,0
BSH1%UPI0003A10C39,2
BSH1%UPI00041C4F56,4
BSH1%UPI00044AC395,3
BSH1%UPI0004BCDDD9,3
BSH1%UPI0004D69CD5,5
BSH1%UPI0004F8D610,2
BSH1%UPI00073AFD00,1
BSH1%UPI00076E9CCB,5
BSH1%UPI000801FF16,4
BSH1%UPI00093BFB8C,1
BSH1%UPI00095B1DAC,4
BSH1%UPI00095C7CBB,1
BSH1%UPI000963C515,4
BSH1%UPI000BD3EFD5,0
BSH2%UPI0001CF4F1D,4
BSH2%UPI00033AD64E,4
BSH2%UPI00033F049A,2
BSH2%UPI000396CDDF,0
BSH2%UPI0005DCCFF2,4
BSH2%UPI0006BFFEB7,1
BSH2%UPI0006C28698,4
BSH2%UPI0006C4A6B6,0
BSH2%UPI0006CABDF6,3
BSH2%UPI0006CABE2C,5
BSH2%UPI000820857A,4
BSH2%UPI000820F666,5
BSH2%UPI0008219BA0,0
BSH2%UPI0008222B5A,1
BSH2%UPI00082257EE,4
BSH2%UPI000965B48B,1
BSH2%UPI00096829BD,2
BSH2%UPI000D1261F9,4
BSH2%UPI000E4418E2,5
BSH2%UPI000E53DAEE,1
BSH2%UPI000E7D8CB5,2
BSH3%UPI000156F498,3
BSH3%UPI0001A5F983,6
BSH3%UPI00035F5DCE,3
BSH3%UPI00080CB216,4
BSH3%UPI00092A5378,2
BSH3%UPI000E4DFA31,3
BSH3%UPI000E902C94,3
BSH3%UPI000EF23C17,4
BSH4%UPI0001FAB233,5
BSH4%UPI0006BEFACE,4
BSH4%UPI000822CCAE,4
BSH4%UPI000D27EFA9,2
BSH4%UPI000E54B9B5,4
BaiB%CosteaPI_2017__SID713A038-11-90-0__bin_26_fa_FGHNBBEK_00429__Bile_acid-coenzyme_A_ligase,0
BaiB%fig|1950888_3_peg_94|__Long-chain-fatty-acid--CoA_ligase_(EC_6_2_1_3)____Clostridiales_bacterium_UBA4701_|_1950888_3_,3
BaiF%KarlssonFH_2013__S54__bin_27_fa_BBGPADBL_00031__Bile_acid-CoA_transferase,6
BaiF%LiJ_2014__V1_FI37__bin_39_fa_IHFOFLIJ_00762__L-carnitine_CoA-transferase,0
BaiF%SRR4783510_bin_28_GHBMCCFK_00008__L-carnitine_CoA-transferase,4
BaiF%bai_cluster_2%midas_uncultured_Eubacterium_73696%uncultured_Eubacterium_73696|FMDW01000013_892,4
BaiF%fig|1950825_3_peg_1464|__L-carnitine_dehydratase_(EC_4_2_1_89)____Clostridiales_bacterium_UBA1701_|_1950825_3_,5
BaiG%MBR4017991_1_MFS_transporter__Clostridia_bacterium_,0
BaiH%Obregon-TitoAJ_2015__NO11__bin_28_fa_ODBMCAMJ_01962__NADH_oxidase,4
BaiI%QinJ_2012__CON-070__bin_41_fa_AAAKDJOM_00400__hypothetical_protein,4
