Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
12aHSDH%GENOME015584_936,-0.3010595,-1.0,1.0,-1.0,1.0,-0.48708183,0.99139416,-1.0,1.0,1.0,-1.0,-0.44614834,-1.0,1.0,0.75333095,1.0,1.0,-1.0,0.46300107,-1.0,-0.10617999,-0.6992321,-0.81126684,-1.0,1.0,-1.0,-0.55919933,1.0,0.9066696,-1.0,1.0,0.12088576,0.21291025,0.8773661,1.0,-0.6614097,-1.0,1.0
12aHSDH%GENOME077010_272,-1.0,-1.0,0.47005332,-0.37034908,0.017662447,-1.0,0.7020816,0.058974516,0.7654933,0.5246609,-0.57034904,-0.2966519,-1.0,1.0,-0.9928769,0.67575777,0.3443974,-0.9917301,0.5704201,-1.0,1.0,-0.6386298,-1.0,-1.0,1.0,1.0,-0.022988662,1.0,0.41330832,0.6763954,-1.0,-0.74699384,1.0,-0.11402451,1.0,-1.0,-1.0,-0.12455724
12aHSDH%GENOME136792_1072,1.0,-0.34601384,1.0,0.67293596,0.25258127,-0.9768263,-0.97006077,-0.72617733,0.4992265,0.56897485,-0.26032892,-0.21399239,-0.33674407,0.3633149,-0.58821994,1.0,-1.0,-0.8621501,0.2738173,-0.37541586,-0.53554416,0.012497463,-0.070971236,-0.27533334,-0.5838953,-0.17647178,-0.5930476,0.8766066,0.37007728,0.26662678,1.0,-0.4222583,0.854213,1.0,1.0,0.6890407,0.266276,1.0
12aHSDH%GENOME187328_883,0.44338542,1.0,-1.0,1.0,-1.0,-0.51375574,-0.6260936,1.0,-1.0,-1.0,1.0,1.0,1.0,-0.87622803,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-0.3133374,0.5315661,-1.0,1.0,-0.88634145,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.1371039,-1.0,0.71113354,1.0,-0.7004139
12aHSDH%GENOME211747_1057,0.49010196,0.12164943,-0.47288874,-0.4989993,-0.62131,1.0,-1.0,0.3442212,-1.0,-0.8677739,0.37565103,1.0,0.9130527,0.8496089,0.19305064,-1.0,0.32984775,-0.5081944,-0.4867095,0.5200562,-0.7690973,0.8125473,1.0,1.0,-0.13559063,-0.69408846,0.053729057,0.63456225,-0.57904816,-0.0050152214,0.385728,0.39634994,0.6053317,-0.09458907,-0.22764473,0.5742593,0.05601384,-0.0050273105
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,1.0,-0.24556671,0.974815,0.060676765,1.0,0.114849135,0.4605886,-1.0,1.0,0.35488763,-0.3433274,-0.81503934,-1.0,0.025936374,1.0,0.43368655,0.22500205,-1.0,1.0,-0.5369375,1.0,-0.18055996,0.5551616,-0.35841998,-1.0,-1.0,-1.0,-0.7700801,1.0,-0.49016562,1.0,0.40960664,0.20680821,0.24103108,-0.015638934,-0.22455776,-0.5430402,0.27926955
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,1.0,-1.0,1.0,0.57216835,0.53782845,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.17867874,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,-0.30363622,1.0,-1.0,1.0,0.014035497,0.8270089,1.0,1.0,-1.0,0.9428154,-1.0,1.0,0.2644072,1.0,-1.0,-1.0,0.96262705
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-1.0,-1.0,1.0,-1.0,1.0,-0.72040826,1.0,-0.624729,1.0,0.6160354,-1.0,0.25729606,-0.5647446,1.0,1.0,1.0,1.0,-0.7043328,0.62084985,-1.0,-0.79990166,-1.0,0.85798854,-1.0,1.0,-0.26853576,-0.17216873,1.0,1.0,-0.84337443,-0.38876164,-0.79774123,-0.16620813,0.41365755,0.90833676,-1.0,-1.0,1.0
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-1.0,0.612867,-1.0,0.9129538,-0.52784616,0.7691639,-0.267978,1.0,-1.0,-1.0,-0.1832463,0.65937096,0.72458625,0.3695303,0.503161,-0.0587807,0.8685266,0.75585765,-0.48297927,0.09990009,-0.8473882,-0.8738349,-0.31464395,0.36295736,-0.50155413,0.642343,0.6034215,1.0,-0.62445897,0.61703455,-0.9866911,-0.4628832,-0.8721211,-0.30442268,-0.7216608,-0.154501,1.0,0.058924716
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-1.0,-1.0,0.71161425,-0.2990448,1.0,1.0,1.0,-0.1623019,0.19044079,0.33165494,-0.59050614,-0.937383,-1.0,-1.0,1.0,0.86105216,1.0,-1.0,0.60661113,-1.0,0.75507915,0.19520104,0.11772824,-1.0,0.53944105,-0.12797935,-0.23002554,0.3469914,1.0,0.7369288,0.9375435,-0.9903204,1.0,-1.0,-0.87427866,-1.0,-1.0,-0.99331623
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,0.7216109,-0.16655922,1.0,-0.6210336,1.0,0.03967452,0.23328426,-0.52347845,0.4917501,-0.121909685,-0.3052815,-1.0,-1.0,-0.23250385,1.0,0.51319426,0.8749503,-1.0,1.0,0.04269471,-1.0,0.5183963,0.49426565,-0.06337472,0.37442,-0.57540256,-0.046570327,0.4922221,0.46814856,-0.111389495,-0.34286362,-0.22453968,1.0,-0.68179387,1.0,0.7803461,0.055346053,0.78151923
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,0.27883044,0.6688505,-0.48302582,0.9463106,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,0.97504413,0.53226423,0.26740772,1.0,-1.0,-1.0,-1.0,0.40890244,-0.2347862,1.0,-0.67919713,0.534328,-1.0,1.0,0.7066742,1.0,1.0,1.0,-1.0,1.0,-0.38406157,0.27283552,-1.0,0.13328522,0.43007663,0.27777547,1.0,0.5498678
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,-0.15278569,-0.801712,1.0,-0.9796575,0.94860864,0.49614373,0.19161788,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-0.7029507,0.968391,0.21222435,0.18625782,-1.0,0.99838287,-1.0,1.0,-0.29586548,0.18865195,-0.6119494,0.9555176,-0.5683169,0.18315737,0.20568316,1.0,-0.9431827,0.16940808,-0.3011381,1.0,-0.006934489,0.95875347,-1.0,-1.0,-0.108857766
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,1.0,0.5061589,-0.557131,0.92481214,-0.83149356,-0.21603268,-0.12258031,-0.24521093,-1.0,-1.0,0.7264238,-0.20811383,0.54622614,-0.57519895,-0.253349,0.6695915,-0.9484768,1.0,1.0,1.0,-1.0,1.0,-0.22359884,0.857381,-1.0,-0.20146601,-0.8226574,-0.7819219,-0.14557478,1.0,-0.5236158,-0.44884506,-0.45029438,-0.27220014,0.971482,1.0,0.9453496,1.0
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.31589127,-1.0,1.0,-1.0,0.98801064,0.72372395,0.98726904,-1.0,1.0,1.0,-1.0,-1.0,0.05070557,-0.59002453,0.9090609,1.0,1.0,-1.0,1.0,-1.0,-0.27665126,0.31277886,1.0,-0.15770103,1.0,-1.0,-0.8972552,1.0,1.0,-1.0,1.0,-1.0,1.0,0.3631359,0.7177611,-1.0,-1.0,-0.39997193
12bHSDH%GENOME225741_180,-0.31264678,1.0,-1.0,-0.9901737,-1.0,1.0,0.08096762,1.0,-1.0,-1.0,1.0,1.0,0.2393714,-0.54904985,-0.5247974,-0.75699395,-1.0,1.0,-1.0,1.0,-0.103472136,-1.0,-1.0,-0.5951909,-0.06039552,1.0,1.0,-1.0,-1.0,0.95870835,-1.0,0.3144113,-1.0,-0.6500697,-1.0,1.0,1.0,-1.0
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-0.22282328,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-0.35357252,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.2872624,-0.9296942,1.0,1.0,-0.28969944
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,1.0,0.88348883,-0.6898724,0.3191707,-0.449074,1.0,0.49990746,1.0,-1.0,-1.0,0.049684465,-0.6755381,-0.7778631,-1.0,-1.0,0.2411177,0.76637536,1.0,-0.8139894,0.0674956,-0.8287067,0.35301512,-0.44530556,1.0,-1.0,-1.0,-0.84669787,-0.99892914,0.3201218,0.9414507,-0.07525811,0.4919431,-0.39405403,0.023320861,-0.04518019,0.5968716,0.21122332,0.20304433
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,1.0,1.0,-1.0,1.0,-1.0,0.14319755,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.61392015,-1.0,0.27122334,-1.0,1.0,1.0,-0.80663955
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.8194265,-0.88566756,0.8530513,-0.6529345,0.63003594,0.18944375,1.0,-0.44122738,0.57439524,0.7691188,-0.99462354,-1.0,-1.0,0.05641687,0.5985229,0.8805589,0.8645307,0.19041511,1.0,-0.36975226,0.28389418,-0.07832009,0.43035468,0.5143876,-0.74472934,-0.4369611,0.11863195,0.15680736,1.0,-0.9868044,0.3157848,0.01966497,0.6632642,-0.0764648,0.4517087,-1.0,-0.6971357,0.4971755
3aHSDH%3aHSDH%MCI8514525_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,-0.59973955,0.49226907,-1.0,0.9665985,0.47759277,1.0,0.17197675,1.0,-0.97205734,-1.0,-0.042980902,0.6184577,1.0,-1.0,0.34192717,-0.38359147,0.04506787,1.0,-1.0,0.4627138,-1.0,0.2854631,-0.3529369,0.20461191,-0.2339351,0.076412484,0.39930117,0.46462858,-0.77644634,1.0,-0.49723074,0.7692689,-0.20518956,-1.0,-1.0,-0.21103898,0.51915187,-1.0
3aHSDH%3aHSDH%MCM1345206_1_3-oxoacyl-ACP_reductase_FabG__Muribaculaceae_bacterium_,-1.0,-0.10393883,-1.0,0.25812227,-1.0,0.45831016,0.07897118,1.0,-1.0,-0.24788891,-0.6508041,0.6127727,0.29684916,1.0,-0.88542217,-0.6903927,-0.21230967,0.62935776,-0.6885102,-0.710566,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,0.9763726,0.63291013,0.14437129,-1.0,-1.0,-1.0,-1.0,-0.7703169,-1.0
3aHSDH%3aHSDH%WP_062304377_1_SDR_family_NAD(P)-dependent_oxidoreductase__Sellimonas_intestinalis_,0.3047171,0.03332502,-0.8208144,0.6603272,-0.32608584,0.34339896,-0.04043118,-1.0,-0.28312147,-0.7387939,-0.39315766,-0.92495084,-0.073870055,-0.6638555,0.40604302,-1.0,0.23345761,-1.0,0.27234384,-0.23254697,1.0,0.52306163,-0.12831233,1.0,-1.0,-0.3773288,0.94498557,-0.47702366,-0.6599882,-0.3306683,0.9575678,-0.055379048,0.21246257,0.7388594,0.27787784,0.316848,0.5750258,1.0
3aHSDH%3aHSDH%WP_117582908_1_MULTISPECIES__SDR_family_NAD(P)-dependent_oxidoreductase__unclassified_Collinsella_,0.07823311,0.4422399,0.8005411,-1.0,0.9439319,1.0,1.0,0.08010301,0.581754,-0.85099494,-0.38135847,-0.08864049,-1.0,-0.86328524,1.0,1.0,0.9412524,0.6420736,1.0,0.44430733,-0.8542864,0.2891582,-0.60829484,-0.78462696,-0.5404209,-1.0,-0.048719715,-0.6805342,0.3697225,-0.27471596,0.5493485,0.1609525,0.72819746,-0.203858,0.28722432,0.65823627,0.21584973,-0.16010281
3aHSDH%3aHSDH%WP_226969791_1_SDR_family_oxidoreductase___Ruminococcus__lactaris_,-1.0,-1.0,0.87855214,-1.0,1.0,0.9100004,1.0,-1.0,0.26779395,-0.14610459,-1.0,-1.0,-1.0,0.9878662,0.5983571,1.0,1.0,-1.0,0.75394416,-1.0,1.0,-1.0,-0.055994466,-0.87799436,1.0,0.84402585,0.0893478,1.0,1.0,-0.50848967,1.0,-1.0,1.0,-1.0,0.7533853,-1.0,-1.0,-0.1786003
3aHSDH%GENOME060426_131,1.0,1.0,-1.0,1.0,-0.096264854,-0.8901735,0.1842284,1.0,-1.0,-1.0,1.0,-0.838601,1.0,-1.0,-0.5376667,-0.7197684,-1.0,1.0,-1.0,1.0,-0.66684717,-0.65842235,-0.05463637,0.9485082,-1.0,1.0,1.0,-0.7290238,-0.71156836,0.5697975,-1.0,-0.0110692475,-0.5699871,0.1121832,-0.7240758,1.0,1.0,-0.6517922
3aHSDH%GENOME084620_3418,-0.9305223,-0.6730925,0.931592,0.40063044,0.17915115,-1.0,-0.23370945,0.66052365,1.0,0.5022559,-0.7503452,-0.9095231,-0.72051305,-0.6698042,-0.17944233,0.35924107,0.14721379,0.53378373,0.8059003,-0.48920855,0.7324346,0.09183987,-0.31548175,0.90859646,-1.0,-1.0,-1.0,-0.6521226,0.7678078,0.5547506,1.0,0.10082625,0.6053331,0.40726155,0.5788715,-0.6146964,-0.66872656,0.5025828
3aHSDH%GENOME084674_3322,0.6765851,0.81826085,-0.4098693,-0.25135908,-0.47090468,0.7411771,0.18474257,0.90951794,-0.8217192,-0.9648249,0.94041824,0.11083841,-0.91697776,-0.9651437,-0.2904513,-0.64092106,-1.0,0.9824151,-0.63638526,1.0,-0.2820043,-0.40885952,-1.0,-0.8004192,-1.0,0.50582284,0.40848723,-1.0,-0.6602721,1.0,0.12027478,0.8132958,-0.917552,0.47724283,0.25931746,0.6469938,0.54416347,0.33208016
3aHSDH%MBQ9141038_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,-0.4317393,0.21598403,-0.86190665,0.7794206,-0.94593716,-0.13391893,-0.69759804,0.93560815,0.53578216,0.50479084,0.90595907,1.0,1.0,0.5723665,-0.45668617,-1.0,-0.14670779,0.67433673,-1.0,0.38168567,-1.0,-0.49035183,-1.0,0.03536136,1.0,1.0,1.0,-0.9010072,-1.0,0.4396077,0.30515805,1.0,-1.0,-0.56954896,-0.84080034,-0.023703603,-0.241712,-1.0
3aHSDH%MCI7742844_1_SDR_family_oxidoreductase__Clostridiales_bacterium_,-1.0,-0.43224132,-0.6409211,-0.0731647,-0.20902471,0.092212945,0.6211029,-0.04685621,-0.43372968,-0.5957141,-0.5992777,-0.5393259,-0.63593787,0.14702114,-0.73739076,0.5432293,0.23033075,0.22238404,0.8896861,-0.29062736,1.0,-0.7483592,-0.76340735,-0.94362813,-0.7169895,0.13849702,0.5537104,-1.0,0.10672075,-0.18729128,-0.5698783,0.6479694,0.6282015,-0.04792419,-0.3552328,-0.34151495,0.26437712,-0.7022382
3aHSDH%MCI8931631_1_SDR_family_oxidoreductase__Lachnospiraceae_bacterium_,1.0,1.0,0.08454482,-0.52320945,0.847996,1.0,0.07424209,-0.66171646,-1.0,-0.8545194,1.0,0.65598595,0.6786091,-1.0,1.0,-1.0,-1.0,-1.0,-0.440479,1.0,-1.0,0.9592392,0.6020918,-0.12217409,-0.093241885,1.0,1.0,0.09838241,-0.29021302,0.3633806,-0.813907,0.19784482,-0.2885257,-0.5918582,-0.8648849,1.0,1.0,-0.46517843
3aHSDH%MCM1266841_1_3-oxoacyl-ACP_reductase_FabG__Bacteroidales_bacterium_,1.0,-0.20394629,0.13621555,-0.32100376,1.0,1.0,1.0,-0.44735637,0.35520735,-0.24736582,-0.21511926,0.8373862,-0.39665952,-0.6492224,0.41179273,0.60782784,0.3167456,0.19188705,-0.49372065,0.09023411,-0.8194169,1.0,0.82502055,0.33799723,0.57623184,-0.29231948,-0.43066427,-0.92195827,0.046016797,-1.0,-0.68816847,0.41712305,0.60347253,0.241142,-0.00011830269,0.63482296,0.4501321,-0.5165406
3aHSDH%MCR4878926_1_SDR_family_NAD(P)-dependent_oxidoreductase__Bacteroidales_bacterium_,-1.0,-0.40274188,-0.20655644,0.0588132,-0.6997259,0.9230706,-0.5562015,1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,-0.2483112,0.16564305,-0.49019387,0.5389203,-0.37412786,-0.060076103,-0.28437123,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,0.00255745,-1.0,-1.0,-0.33213028,0.010859913,-1.0,-0.98315066,-0.13154513,0.1851451
