Family,3oxoDCA,3oxoLCA,7oxoDCA,Ala_DCA,Asn_CA,Asn_DCA,Asp_CA,Asp_DCA,CA,CDCA,DCA,GDCA,GLCA,GUDCA,Gln_CA,Glu_CA,Glu_CDCA,Glu_DCA,IleLeu_CA,LCA,Lys_DCA,Phe_CA,Phe_CDCA,Phe_DCA,TCDCA,TDCA,TLCA,TUDCA,Thr_CA,Thr_DCA,Trp_CA,Trp_DCA,Tyr_CA,UDCA,isoCA_aMCA,isoDCA_isoCDCA,isoLCA,isoUDCA
12aHSDH%GENOME015584_936,-0.009544294,-0.04410212,0.06600857,-0.046262633,0.037760552,-0.015441639,0.031429525,-0.067620724,0.076409906,0.046917334,-0.06254176,-0.014143951,-0.046891555,0.052347716,0.023882361,0.05030225,0.06168824,-0.04122818,0.014678222,-0.044202298,-0.0033661553,-0.0221673,-0.025719065,-0.07559858,0.03188589,-0.040718988,-0.017727934,0.03786308,0.028743558,-0.0453289,0.032079443,0.0038323628,0.0067497552,0.027814569,0.046136502,-0.020968242,-0.034165125,0.050636753
12aHSDH%GENOME077010_272,-0.056518413,-0.046502184,0.014901795,-0.011740937,0.0005599411,-0.040064875,0.022257637,0.0018696308,0.024267936,0.016632983,-0.018081406,-0.009404562,-0.07748115,0.031802267,-0.03147653,0.021423109,0.0109182075,-0.031440176,0.018083658,-0.05012649,0.072340906,-0.020246066,-0.042967428,-0.054904032,0.05578393,0.059864413,-0.0007287946,0.03277476,0.013102845,0.021443324,-0.033514503,-0.02368146,0.049139056,-0.003614845,0.040848117,-0.031783856,-0.06324309,-0.0039487574
12aHSDH%GENOME136792_1072,0.035462484,-0.010969453,0.038077544,0.021333652,0.00800742,-0.03096769,-0.030753206,-0.023021528,0.015826654,0.01803784,-0.008253039,-0.006784062,-0.010675578,0.011517936,-0.018647956,0.035652913,-0.04991756,-0.027332185,0.008680652,-0.011901565,-0.016978009,0.00039619897,-0.002249955,-0.008728715,-0.018510854,-0.0055945707,-0.018801004,0.027790489,0.011732319,0.008452696,0.034944836,-0.01338658,0.02708056,0.036517758,0.045396876,0.02184421,0.008441575,0.03660714
12aHSDH%GENOME187328_883,0.01405636,0.0362302,-0.08346867,0.07833042,-0.06134095,-0.016287265,-0.01984864,0.048413023,-0.053336572,-0.03787457,0.04147546,0.04115311,0.04106787,-0.027778488,-0.031929795,-0.0658898,-0.042231493,0.055114936,-0.04609418,0.040777307,-0.009933531,0.016851895,-0.039595675,0.060216773,-0.028099108,0.055426735,0.06778419,-0.040377244,-0.052825063,0.046146687,-0.032456562,0.05447595,-0.06278613,-0.004346516,-0.053905416,0.022544606,0.034606934,-0.022204766
12aHSDH%GENOME211747_1057,0.015537384,0.0038565728,-0.014991685,-0.01581945,-0.019696988,0.036267105,-0.07726829,0.010912621,-0.035186484,-0.027510472,0.011909021,0.036493324,0.028945915,0.0269346,0.006120159,-0.035898063,0.0104569495,-0.016110957,-0.015429836,0.016487004,-0.024382193,0.02575966,0.04143057,0.03429005,-0.0042985417,-0.022004236,0.0017033374,0.020117115,-0.018357188,-0.00015899431,0.012228484,0.012565224,0.019190438,-0.002998696,-0.007216873,0.018205369,0.0017757704,-0.00015937757
12aHSDH%MBE7001463_1_SDR_family_oxidoreductase__Oscillospiraceae_bacterium_,0.03384348,-0.007785042,0.030903928,0.0019235961,0.04667265,0.0036409877,0.014601742,-0.056618858,0.03406361,0.0112507725,-0.010884286,-0.025838664,-0.036182776,0.00082224404,0.049517855,0.013748883,0.007133094,-0.03964471,0.03682699,-0.01702218,0.044651456,-0.0057241754,0.017599927,-0.011362756,-0.056880053,-0.079712935,-0.05916306,-0.02441335,0.0411019,-0.015539402,0.03502871,0.012985493,0.0065563065,0.0076412517,-0.00049579097,-0.007119009,-0.01721565,0.008853501
12aHSDH%MBP3571641_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.034277182,-0.06429825,0.08435209,-0.05399822,0.060761828,0.018139081,0.017050426,-0.05849407,0.07705149,0.07854565,-0.046927337,-0.04848237,-0.057772808,-0.005664536,0.060032655,0.035172258,0.042614125,-0.06357029,0.042743817,-0.062423486,0.047724217,-0.0096259825,0.08269872,-0.076641135,0.05636046,0.00044495825,0.026218126,0.04541955,0.08280518,-0.07583226,0.029889466,-0.07717817,0.0389247,0.00838233,0.042773996,-0.050108608,-0.07948214,0.03051754
12aHSDH%MBR0327374_1_SDR_family_oxidoreductase__Clostridia_bacterium_,-0.08212958,-0.05502015,0.055691782,-0.06522621,0.042027917,-0.022838635,0.036379468,-0.019805377,0.042406265,0.019529771,-0.063828796,0.00815689,-0.01790373,0.058917824,0.032644786,0.03457622,0.041761994,-0.022329006,0.0196824,-0.032828886,-0.025358763,-0.06858351,0.027200254,-0.042432092,0.081517175,-0.008513215,-0.0054581533,0.06930854,0.0739639,-0.026736952,-0.012324658,-0.025290273,-0.0052691884,0.013113917,0.02879641,-0.049456023,-0.04959508,0.05209264
12aHSDH%MBR6823493_1_SDR_family_oxidoreductase__Bacillota_bacterium_,-0.03445872,0.019429324,-0.038325716,0.02894278,-0.016733965,0.024384305,-0.008495533,0.044202432,-0.05782081,-0.062128805,-0.0058093383,0.02090361,0.022971088,0.011714979,0.015951388,-0.0018634864,0.027534334,0.023962464,-0.015311578,0.0031670677,-0.026864199,-0.02770262,-0.009974953,0.011506601,-0.015900444,0.020363783,0.01912988,0.036835995,-0.019796817,0.019561445,-0.03128043,-0.014674486,-0.027648289,-0.009650915,-0.022878343,-0.004898045,0.036686867,0.0018680521
12aHSDH%WP_055231566_1_SDR_family_NAD(P)-dependent_oxidoreductase__Anaerostipes_hadrus_,-0.052226152,-0.058726493,0.022559844,-0.009480422,0.07144135,0.043320265,0.067665845,-0.005145352,0.0060374206,0.010514241,-0.018720433,-0.029717244,-0.043726478,-0.050949983,0.055478074,0.027297378,0.045159306,-0.033068832,0.019230999,-0.035388105,0.023937784,0.0061883316,0.003732262,-0.03179141,0.017101549,-0.0040572463,-0.0072923508,0.011000442,0.0550688,0.023362376,0.029722333,-0.031395484,0.0476742,-0.03831709,-0.027716689,-0.034723688,-0.042097326,-0.03149046
12aHSDH%WP_103229430_1_SDR_family_NAD(P)-dependent_oxidoreductase__Clostridium_sp__chh4-2_,0.022876762,-0.0052803187,0.041471142,-0.019688224,0.044711288,0.0012577756,0.0073956596,-0.016595498,0.015589634,-0.0038648236,-0.009678141,-0.039884027,-0.044635847,-0.0073709185,0.03579421,0.016269464,0.02773798,-0.05034057,0.042590976,0.0013535226,-0.032482356,0.016434383,0.015669383,-0.0020091275,0.011869994,-0.018241614,-0.0014763889,0.0156045975,0.01484141,-0.0035313088,-0.010869583,-0.0071184356,0.04003654,-0.021614468,0.078274384,0.024738805,0.0017546,0.024775997
12aHSDH%WP_130435990_1_SDR_family_NAD(P)-dependent_oxidoreductase__Cuneatibacter_caecimuris_,0.00883958,0.021204133,-0.015313054,0.03000027,-0.07531274,-0.05309291,-0.08479707,0.031849273,-0.049463607,-0.04709412,0.03091119,0.016874027,0.008477453,0.050186526,-0.08804031,-0.052783024,-0.08492944,0.012963168,-0.0074432744,0.040159672,-0.021532146,0.016939454,-0.043043733,0.04707748,0.022403235,0.09404342,0.08690592,0.04179564,-0.0822965,0.042085942,-0.012175655,0.008649527,-0.041204095,0.0042254548,0.0136344405,0.0088061355,0.03944821,0.017432103
12aHSDH%WP_160708750_1_SDR_family_NAD(P)-dependent_oxidoreductase__Enterorhabdus_sp__P55_,-0.0048436653,-0.025416154,0.036291644,-0.031057445,0.030073123,0.015728923,0.0060747373,-0.03696216,0.040388923,0.04793205,-0.03603913,-0.06374084,-0.040085293,-0.02228519,0.030700272,0.0067280107,0.005904811,-0.036736693,0.031651083,-0.05023655,0.06641158,-0.009379631,0.0059807105,-0.019400233,0.030292153,-0.018016981,0.005806519,0.0065206396,0.04494934,-0.02990111,0.0053706346,-0.009546786,0.03536642,-0.00021983961,0.030394739,-0.033135068,-0.045501933,-0.003451047
12aHSDH%WP_161844252_1_SDR_family_NAD(P)-dependent_oxidoreductase__Pseudoflavonifractor_sp__524-17_,0.041195318,0.016046427,-0.017662361,0.029318718,-0.026360301,-0.006848744,-0.003886084,-0.007773763,-0.042127162,-0.03745847,0.023029342,-0.0065976977,0.017316652,-0.018235158,-0.008031759,0.021227624,-0.030068943,0.03332439,0.040593486,0.03479053,-0.054629736,0.064346574,-0.0070886086,0.027180992,-0.034962147,-0.006386946,-0.026080174,-0.024788763,-0.004615063,0.0347548,-0.01659985,-0.014229444,-0.014275391,-0.008629384,0.030798262,0.054707266,0.029969804,0.034565344
12aHSDH%WP_418471294_1_SDR_family_NAD(P)-dependent_oxidoreductase__Eggerthella_sp__,-0.010014496,-0.036305267,0.07673101,-0.058482017,0.03132226,0.02294375,0.03129875,-0.051047992,0.07532637,0.09614581,-0.04116899,-0.042174164,0.0016074858,-0.018705165,0.028819367,0.03492428,0.043940187,-0.049985427,0.04761853,-0.039512776,-0.008770496,0.009915825,0.063216895,-0.0049994932,0.060811516,-0.043524407,-0.028445099,0.058883756,0.038662024,-0.099521525,0.040732227,-0.032575354,0.039752655,0.011512262,0.022754714,-0.044347186,-0.037148345,-0.012680051
12bHSDH%GENOME225741_180,-0.009911638,0.03991112,-0.039274298,-0.031390835,-0.04812971,0.047443897,0.0025668638,0.083042756,-0.03264874,-0.053391103,0.065889746,0.038495827,0.007588636,-0.017406171,-0.01663731,-0.023998488,-0.037851613,0.048381347,-0.045308962,0.07424107,-0.00328031,-0.037374936,-0.07216226,-0.01886895,-0.00191468,0.053905793,0.047299773,-0.05039651,-0.043674327,0.030393308,-0.057371277,0.009967578,-0.05115356,-0.020608738,-0.05015349,0.05764713,0.043595638,-0.042095076
3aHSDH%3aHSDH%HJB56827_1_3-oxoacyl-ACP_reductase_FabG__Candidatus_Flavonifractor_intestinipullorum_,0.06775305,0.056137934,-0.076841116,0.06165773,-0.089669086,0.03396383,-0.03654481,0.047098514,-0.06765186,-0.057039045,0.07282873,0.061517477,0.076368675,-0.0070640217,-0.055800233,-0.111863434,-0.07207308,0.06076033,-0.04359313,0.060241412,-0.06004841,-0.01120908,-0.05935744,0.0439096,-0.05239652,0.050030395,0.050481394,-0.03745926,-0.085302755,0.04954551,-0.03550099,0.10656831,-0.084152386,0.009106894,-0.029473491,0.0719353,0.048824206,-0.009184153
3aHSDH%3aHSDH%MBO5160353_1_3-oxoacyl-ACP_reductase_FabG__Lachnospiraceae_bacterium_,0.03267187,0.028008673,-0.021870576,0.010118462,-0.014236702,0.064798,0.015848242,0.06516171,-0.04300278,-0.033143096,0.0015751143,-0.021416146,-0.024660088,-0.041412544,-0.04995789,0.007643998,0.0242959,0.04427872,-0.025805378,0.0021397693,-0.02627195,0.011191409,-0.0141172325,0.033698257,-0.05784105,-0.03637293,-0.026842313,-0.031668402,0.010148614,0.0298462,-0.0023858591,0.015595753,-0.012492439,0.0007393261,-0.0014323182,0.018922234,0.006696276,0.006436982
3aHSDH%3aHSDH%MBQ7891058_1_3-oxoacyl-ACP_reductase_FabG__Erysipelotrichaceae_bacterium_,0.119000055,0.10359076,-0.09203668,0.054874863,-0.04661201,0.004539699,-0.049693394,0.050871767,-0.062546514,-0.057498626,0.13187312,0.0841319,0.09888749,-0.090978794,-0.045698646,-0.08411046,-0.10824852,0.102880076,-0.06716399,0.1335581,-0.10063371,-0.043007642,-0.04536634,0.106951825,-0.08015915,0.08131102,0.09564925,-0.06983628,-0.094178505,0.047327343,-0.069396,0.019462712,-0.09675592,0.008598417,-0.07422688,0.10983366,0.12956446,-0.02557237
3aHSDH%3aHSDH%MBR6526164_1_3-oxoacyl-ACP_reductase_FabG__Clostridia_bacterium_,-0.025977746,-0.028077744,0.027043732,-0.020699559,0.01997362,0.0060058124,0.05731161,-0.013987945,0.018209679,0.024382874,-0.031531904,-0.05687272,-0.07401618,0.0017885474,0.018974584,0.027915787,0.027407655,0.0060366066,0.05062591,-0.011722016,0.009000113,-0.0024829311,0.013643255,0.016307296,-0.023609672,-0.013852695,0.0037609118,0.004971162,0.034819428,-0.03128402,0.010011121,0.00062342576,0.021027034,-0.002424114,0.014320228,-0.03965529,-0.02210084,0.015761632
